approxkl,explained_variance,serial_timesteps,ep_reward_mean,policy_entropy,clipfrac,ep_len_mean,total_timesteps,n_updates,time_elapsed,fps,value_loss,policy_loss
0.006763813,-1.7075722217559814,200704,0.0,0.94902766,0.07763672,154.79,200704,98,478.75947546958923,399,1.7622235e-05,-0.0058421227
0.004963542,-0.22626709938049316,202752,0.0,0.9411279,0.061083984,162.9,202752,99,483.8876791000366,398,2.555459e-06,-0.0045941053
0.006703276,-0.2349916696548462,204800,0.0,0.9421468,0.089941405,168.92,204800,100,489.0266125202179,419,2.3010682e-06,-0.00646089
0.004796306,-0.4420166015625,206848,0.0,0.93995935,0.058398437,171.52,206848,101,493.91277027130127,414,5.0296273e-07,-0.0031528429
0.0064562773,-0.48291897773742676,208896,0.0,0.94042873,0.08041992,174.03,208896,102,498.85349464416504,383,2.62011e-06,-0.004193003
0.006138523,-0.3444068431854248,210944,0.0,0.9321251,0.074560545,173.72,210944,103,504.1993134021759,424,4.9484885e-07,-0.004771653
0.0064754724,-0.038802504539489746,212992,0.0,0.9170127,0.07763672,173.64,212992,104,509.0246949195862,416,1.191021e-05,-0.0042214887
0.006011868,0.13455331325531006,215040,0.0,0.9052676,0.066503905,164.05,215040,105,513.9484536647797,409,8.791134e-07,-0.006268686
0.004540571,-0.2523242235183716,217088,0.0,0.88219416,0.050634764,154.13,217088,106,518.947958946228,424,1.1144133e-06,-0.0028201125
0.0068646735,-0.24505531787872314,219136,0.0,0.8622571,0.08310547,148.48,219136,107,523.773490190506,401,4.5491806e-06,-0.0048014275
0.005499963,0.3290765881538391,221184,0.0,0.86716735,0.06713867,142.12,221184,108,528.8708550930023,410,3.234301e-05,-0.0045323162
0.0058729714,-0.32343780994415283,223232,0.0,0.8768347,0.074072264,138.32,223232,109,533.8635680675507,383,1.9859826e-07,-0.0046684393
0.00687854,-0.5684026479721069,225280,0.0,0.8787297,0.089697264,139.96,225280,110,539.2079899311066,396,3.3178466e-07,-0.006633587
0.0062504336,-2.1311631202697754,227328,0.0,0.88081706,0.07729492,142.46,227328,111,544.378199338913,409,4.7552854e-07,-0.005127563
0.0051409667,-1.4285056591033936,229376,0.0,0.8901056,0.056933593,146.15,229376,112,549.3771336078644,420,1.237097e-06,-0.0025042803
0.006796053,-0.997794508934021,231424,0.0,0.89537966,0.087451175,153.75,231424,113,554.2470002174377,410,7.7785836e-07,-0.0056189494
0.006012199,-1.6199612617492676,233472,0.0,0.8995632,0.07607422,162.37,233472,114,559.2377598285675,409,2.4457006e-06,-0.0046890383
0.005748406,-0.8676614761352539,235520,0.0,0.8986185,0.07285156,164.26,235520,115,564.2435393333435,418,1.798037e-06,-0.004539617
0.007236316,-0.5868592262268066,237568,0.0,0.90430754,0.09301758,170.01,237568,116,569.1415576934814,419,4.5880347e-06,-0.0077243536
0.0052250377,-0.12769567966461182,239616,0.0,0.90073633,0.064697266,174.18,239616,117,574.0277183055878,402,5.65672e-07,-0.0053480268
0.0035439562,0.09577518701553345,241664,0.0,0.90441877,0.041503906,179.97,241664,118,579.1144225597382,387,1.2223652e-06,-0.0010257948
0.0054571526,0.31947892904281616,243712,0.0,0.9041791,0.06801758,181.72,243712,119,584.3975162506104,411,2.9110886e-06,-0.0028772394
0.00589478,0.3205071687698364,245760,0.0,0.89732206,0.072460935,185.19,245760,120,589.376955986023,398,7.900547e-06,-0.0038088742
0.007239426,0.20842087268829346,247808,0.0,0.90073264,0.08588867,183.09,247808,121,594.5123775005341,416,1.592987e-06,-0.0063046543
0.005814102,-0.06305718421936035,249856,0.0,0.90162593,0.06923828,174.67,249856,122,599.4262101650238,429,2.836536e-06,-0.003156549
0.00672708,-0.24486196041107178,251904,0.0,0.8947071,0.0887207,166.45,251904,123,604.1966483592987,411,1.1126796e-06,-0.004959068
0.0065406077,-0.32733798027038574,253952,0.0,0.89760315,0.079833984,158.75,253952,124,609.1779837608337,424,1.6193911e-06,-0.004344054
0.009183091,-0.35287439823150635,256000,0.0,0.891537,0.11484375,153.33,256000,125,614.0092251300812,388,9.267969e-06,-0.006513639
0.006761016,-0.7346677780151367,258048,0.0,0.8795702,0.082373045,140.0,258048,126,619.2797453403473,427,5.61177e-07,-0.004419872
0.0098916795,-1.3573720455169678,260096,0.0,0.8668315,0.12568359,134.1,260096,127,624.0739893913269,392,7.650261e-06,-0.006990521
0.00511819,-0.14233112335205078,262144,0.0,0.86215603,0.06279297,134.47,262144,128,629.2875654697418,409,2.0559705e-06,-0.0009323135
0.0063649365,0.1854236125946045,264192,0.0,0.8626255,0.07788086,134.73,264192,129,634.2921822071075,405,6.9478176e-07,-0.0034421005
0.006154662,0.35459160804748535,266240,0.0,0.8644678,0.07329102,134.37,266240,130,639.3498494625092,410,5.4352506e-07,-0.0040699234
0.0050872047,0.34402763843536377,268288,0.0,0.8612089,0.061523438,134.39,268288,131,644.3391699790955,366,4.8200136e-06,-0.0034267898
0.0066161044,0.17844098806381226,270336,0.0,0.84779376,0.07529297,138.07,270336,132,649.9307293891907,426,2.591577e-06,-0.0041666906
0.0053015514,0.3873274326324463,272384,0.0,0.83895224,0.062597655,147.15,272384,133,654.7297122478485,409,7.082831e-06,-0.003997796
0.0069791554,0.5531801283359528,274432,0.0,0.824168,0.08041992,150.16,274432,134,659.7317461967468,412,4.0053474e-06,-0.0052028783
0.006977135,0.3472076654434204,276480,0.0,0.81015456,0.07197265,149.2,276480,135,664.6950535774231,426,2.529757e-06,-0.0061267754
0.0064510913,-0.06980061531066895,278528,0.0,0.81471884,0.08081055,144.28,278528,136,669.4974458217621,404,6.755435e-07,-0.0019956927
0.0057557616,0.2062222957611084,280576,0.0,0.824196,0.07216797,149.71,280576,137,674.5657074451447,406,5.952526e-07,-0.0025202301
0.008072068,0.3593928813934326,282624,0.0,0.838575,0.09926758,150.11,282624,138,679.6001873016357,405,1.0024681e-05,-0.005784757
0.00611303,-0.6721987724304199,284672,0.0,0.8664541,0.07954101,135.78,284672,139,684.6555976867676,409,2.8089065e-07,-0.003713391
0.0057260925,-0.5898357629776001,286720,0.0,0.871679,0.067871094,131.52,286720,140,689.6637532711029,406,6.5092706e-07,-0.0031789602
0.0071589733,-0.7849910259246826,288768,0.0,0.85618716,0.0875,130.87,288768,141,694.7010018825531,418,5.498215e-07,-0.0052708806
0.0059264614,-0.7054402828216553,290816,0.0,0.84491336,0.0725586,135.04,290816,142,699.5922887325287,414,1.1765735e-05,-0.0065627014
0.0065908087,0.23183733224868774,292864,0.0,0.83515406,0.07910156,138.41,292864,143,704.5405352115631,406,3.9913352e-06,-0.0041777557
0.006610495,0.3396187424659729,294912,0.0,0.8342148,0.084472656,139.59,294912,144,709.5746073722839,436,6.9766884e-07,-0.003359224
0.005551961,0.3735429644584656,296960,0.0,0.83775216,0.06621094,142.03,296960,145,714.2655301094055,424,2.345727e-07,-0.0041922126
0.0067693563,0.3523489832878113,299008,0.0,0.85559475,0.083740234,145.17,299008,146,719.0864729881287,402,1.5292412e-07,-0.0047326745
0.0057014376,0.3671131730079651,301056,0.0,0.8588192,0.06640625,148.48,301056,147,724.1775290966034,414,5.1808544e-05,-0.004166752
0.0067643607,0.14410537481307983,303104,0.0,0.8350611,0.086035155,150.5,303104,148,729.1212072372437,416,2.2096432e-07,-0.005542864
0.008410593,-0.121490478515625,305152,0.0,0.8180496,0.10522461,145.76,305152,149,734.0380625724792,428,9.5924555e-08,-0.0042004082
0.007078814,-0.5615062713623047,307200,0.0,0.81249046,0.09492187,138.6,307200,150,738.8229501247406,419,1.058234e-07,-0.0040053343
0.005908242,-2.23866868019104,309248,0.0,0.8024708,0.068115234,132.01,309248,151,743.7095785140991,426,1.11455776e-07,-0.0064431364
0.0068485565,-2.4734575748443604,311296,0.0,0.7855016,0.07792969,131.53,311296,152,748.5158545970917,408,4.8874523e-07,-0.0053250464
0.0076142065,-0.9681823253631592,313344,0.0,0.76837933,0.088574216,135.76,313344,153,753.5348348617554,404,1.6436812e-07,-0.0058952263
0.005474809,0.3020336627960205,315392,0.0,0.764247,0.06665039,131.97,315392,154,758.5985209941864,431,1.3002255e-05,-0.0019921856
0.0069493405,0.25081872940063477,317440,0.0,0.77815163,0.08862305,129.17,317440,155,763.3439536094666,427,7.9651485e-08,-0.0073858583
0.005167751,-0.11963677406311035,319488,0.0,0.78327835,0.06040039,132.93,319488,156,768.1388244628906,415,3.5941832e-07,-0.0027569053
0.006997247,0.0072786808013916016,321536,0.0,0.77039206,0.08696289,134.66,321536,157,773.0655159950256,419,1.9951851e-07,-0.002822142
0.0062081213,-0.317615270614624,323584,0.0,0.7587659,0.08154297,135.64,323584,158,777.9462697505951,383,6.1997804e-07,-0.0021181188
0.008176856,-4.8134636878967285,325632,0.0,0.7555116,0.10297851,137.89,325632,159,783.2945642471313,397,4.683105e-05,-0.00624098
0.004877677,-0.19976270198822021,327680,0.0,0.7539621,0.059814453,140.58,327680,160,788.4501190185547,409,3.599968e-07,0.00076573284
0.0062210304,-0.0038509368896484375,329728,0.0,0.757541,0.0793457,141.85,329728,161,793.4501717090607,402,1.6277885e-07,-0.0032883815
0.006202056,0.008568525314331055,331776,0.0,0.7713373,0.07670899,147.49,331776,162,798.5408499240875,402,1.3920943e-07,-0.0049932236
0.007977647,-0.34780871868133545,333824,0.0,0.7810896,0.08637695,154.2,333824,163,803.6298594474792,384,2.3376226e-07,-0.0035321377
0.0076509044,0.11934298276901245,335872,0.0,0.7919182,0.09453125,153.62,335872,164,808.9644722938538,399,8.741747e-08,-0.0018425093
0.0062468606,-0.09385430812835693,337920,0.0,0.790771,0.077978514,154.29,337920,165,814.0959100723267,412,1.2596107e-07,-0.0039293575
0.006267895,-0.3489494323730469,339968,0.0,0.7936782,0.07441406,154.9,339968,166,819.0606257915497,396,1.067596e-07,-0.004000899
0.0068633608,-0.1198805570602417,342016,0.0,0.8035722,0.08271484,149.56,342016,167,824.2307024002075,398,1.5124279e-07,-0.0027773662
0.005545889,-1.4049241542816162,344064,0.0,0.80818665,0.06293945,148.47,344064,168,829.3753147125244,398,1.2686543e-05,-0.0027412018
0.0062043997,-4.195743560791016,346112,0.0,0.80671406,0.07895508,141.56,346112,169,834.5187220573425,421,2.046776e-06,-0.00026133587
0.00600286,-0.09730541706085205,348160,0.0,0.80969334,0.07094727,133.83,348160,170,839.3757944107056,411,1.4082424e-07,-0.00030553644
0.004969874,0.5127584040164948,350208,0.0,0.81482667,0.06098633,138.15,350208,171,844.3598103523254,410,1.0085974e-07,-0.00040385555
0.0075152935,0.5829070508480072,352256,0.0,0.81299144,0.08564453,135.98,352256,172,849.3556349277496,412,1.6545837e-07,-0.0035015985
0.0064174035,0.36602383852005005,354304,0.0,0.80604345,0.07851563,137.11,354304,173,854.3196928501129,376,1.3331701e-06,-0.0050067557
0.0053341524,0.2633405923843384,356352,0.0,0.81218415,0.06757812,133.28,356352,174,859.7573337554932,434,8.7103706e-07,-0.001738278
0.0066290735,0.00866556167602539,358400,0.0,0.8153697,0.080517575,138.58,358400,175,864.4755704402924,399,1.5760078e-07,-0.005479218
0.0073176613,-2.1157779693603516,360448,0.0,0.81353617,0.09580078,144.39,360448,176,869.6024050712585,402,4.746485e-06,-0.0071735024
0.0069404603,-0.5553673505783081,362496,0.0,0.8134283,0.08779297,150.54,362496,177,874.6920936107635,391,6.1530625e-07,-0.0052198465
0.0063979714,-1.3945529460906982,364544,0.0,0.82547504,0.079638675,148.1,364544,178,879.9283308982849,391,1.34777e-06,-0.004442184
0.007460823,-0.8932591676712036,366592,0.0,0.84765613,0.08383789,144.7,366592,179,885.1665759086609,415,2.5839734e-05,-0.0023693615
0.0074119633,-0.15673303604125977,368640,0.0,0.8615502,0.09169922,142.0,368640,180,890.1008217334747,403,1.3517e-07,-0.004070054
0.005021454,-1.4028241634368896,370688,0.0,0.8610333,0.059326172,152.8,370688,181,895.1763386726379,364,2.6252764e-07,-0.0018641347
0.008381652,-0.48964476585388184,372736,0.0,0.8523947,0.102832034,142.25,372736,182,900.8020665645599,416,1.2366795e-07,-0.0054702344
0.0051309103,-0.8923745155334473,374784,0.0,0.84668636,0.06303711,145.87,374784,183,905.7200591564178,403,1.6713346e-07,-0.004149439
0.008782858,0.19038057327270508,376832,0.0,0.85279596,0.109375,141.78,376832,184,910.7987475395203,415,2.61466e-07,-0.003884301
0.00782023,0.2655618190765381,378880,0.0,0.8505019,0.09448242,143.44,378880,185,915.7298099994659,410,1.5721679e-07,-0.0036138177
0.0068699075,-0.7531040906906128,380928,0.0,0.8413868,0.08725586,146.82,380928,186,920.7161304950714,436,8.712008e-06,-0.003066608
0.0053067985,-1.1032116413116455,382976,0.0,0.8322293,0.064257815,143.26,382976,187,925.406336069107,422,9.732089e-08,-0.0017877839
0.006336146,-1.0626163482666016,385024,0.0,0.8288404,0.079589844,140.75,385024,188,930.2586176395416,419,9.144789e-08,-0.003645615
0.0061305077,0.0474204421043396,387072,0.0,0.82656944,0.06743164,142.75,387072,189,935.1450905799866,425,8.7729084e-08,-0.0023951237
0.0069601126,-0.29707276821136475,389120,0.0,0.82103956,0.08876953,135.96,389120,190,939.9555690288544,405,1.3170856e-07,-0.0037377558
0.0063689733,0.2006993293762207,391168,0.0,0.8117219,0.0715332,136.61,391168,191,945.0055661201477,423,5.1718534e-06,-0.004166197
0.005386443,0.15914201736450195,393216,0.0,0.80796146,0.06572266,135.27,393216,192,949.8411004543304,403,4.0481967e-07,0.00033318897
0.006069188,-0.25447046756744385,395264,0.0,0.8027214,0.068603516,136.94,395264,193,954.9137234687805,407,1.5880235e-07,-0.0018343076
0.0074144923,0.15581005811691284,397312,0.0,0.8012533,0.09013672,138.48,397312,194,959.9417703151703,430,2.2039596e-07,-0.0074796854
