fps,value_loss,serial_timesteps,n_updates,policy_loss,clipfrac,total_timesteps,explained_variance,policy_entropy,time_elapsed,ep_reward_mean,approxkl,ep_len_mean
294,16.624077,315392,154,-0.002988909,0.054785155,315392,0.12576889991760254,2.636234,1025.1533489227295,1128.26711231,0.0051106685,1197.09
292,17.682827,317440,155,-0.003487337,0.05317383,317440,0.018532097339630127,2.6331782,1032.1174018383026,1133.4271340799999,0.0044300742,1202.9
289,17.269808,319488,156,-0.00227126,0.026220703,319488,0.07432401180267334,2.645882,1039.1113991737366,1137.60846422,0.0028436363,1207.2
293,17.514057,321536,157,-0.0009278326,0.02216797,321536,0.08680504560470581,2.650198,1046.1975021362305,1145.5702678300001,0.0022719854,1215.75
295,17.954922,323584,158,0.00010243326,0.015625,323584,0.02921605110168457,2.6425405,1053.1813514232635,1145.63045689,0.00197177,1215.75
296,17.884563,325632,159,2.5810476e-05,0.0067382813,325632,0.04278731346130371,2.644652,1060.1080317497253,1150.1549678699998,0.00091932283,1220.62
295,17.78231,327680,160,-0.001218533,0.028271485,327680,0.07020723819732666,2.6452298,1067.0248439311981,1162.13681716,0.0032729518,1233.08
290,18.578861,329728,161,-0.0006464055,0.020361328,329728,-0.004665732383728027,2.6414337,1073.954968214035,1168.41951958,0.0022875175,1239.95
294,17.868723,331776,162,-0.0022546996,0.035107423,331776,0.09044128656387329,2.6503396,1081.0038974285126,1177.1024397200001,0.0030016918,1248.71
294,18.24664,333824,163,-0.0017238399,0.033740234,333824,0.0429079532623291,2.6645787,1087.9633085727692,1176.99867939,0.003314051,1248.71
297,18.57856,335872,164,-0.0009367688,0.02578125,335872,-0.005413413047790527,2.6698737,1094.9135019779205,1176.68334409,0.0026059889,1248.71
296,18.287989,337920,165,-0.0007090614,0.02055664,337920,0.00741887092590332,2.6683638,1101.8073587417603,1178.71714174,0.0023021246,1250.83
295,17.849476,339968,166,-0.00044978494,0.016845703,339968,0.07301074266433716,2.6847932,1108.718709230423,1183.03999811,0.00201668,1255.29
297,18.53638,342016,167,-0.0020765373,0.021582032,342016,0.7023241817951202,2.7019155,1115.6554288864136,1184.49373194,0.0022880535,1257.41
298,15.97448,344064,168,-0.002067263,0.074316405,344064,0.23634016513824463,2.716024,1122.5497937202454,1185.8679847700002,0.005771504,1259.28
291,18.75069,346112,169,-0.0057865456,0.075,346112,-0.010486960411071777,2.7306004,1129.4037175178528,1190.55335102,0.0060777506,1263.87
291,17.547306,348160,170,-0.0014922977,0.026220703,348160,0.12608873844146729,2.7510781,1136.4409415721893,1202.6443905200001,0.0026105412,1276.8
290,16.421368,350208,171,-0.0026798772,0.03779297,350208,0.2617034316062927,2.7665846,1143.4720046520233,1204.9702725800003,0.0036086817,1279.7
297,16.96282,352256,172,-0.0021730985,0.039697267,352256,0.20743083953857422,2.7790685,1150.5238659381866,1209.06188052,0.0034293476,1284.25
297,18.805645,354304,173,-0.003031815,0.04296875,354304,0.032612740993499756,2.7819955,1157.4156470298767,1209.5024217,0.003555068,1284.25
292,18.783245,356352,174,-0.0019255228,0.050146483,356352,0.02945852279663086,2.793659,1164.3005542755127,1216.60857552,0.0043663033,1291.79
