ep_len_mean,n_updates,fps,ep_reward_mean,serial_timesteps,clipfrac,total_timesteps,time_elapsed,value_loss,approxkl,explained_variance,policy_loss,policy_entropy
2026.14,451,291,1929.6688584,923648,0.006152344,923648,3058.787214040756,18.717896,0.0008382552,0.01884227991104126,-0.00018551985,4.2365804
2024.78,452,292,1928.32591847,925696,0.013964844,925696,3065.807426214218,16.780428,0.0013784169,0.20683890581130981,-0.0013600087,4.2392664
2024.78,453,297,1928.3199611999999,927744,0.01586914,927744,3072.820333957672,18.552984,0.0016926794,0.06985515356063843,-0.0003837385,4.2369285
2024.78,454,295,1928.24394864,929792,0.0018554687,929792,3079.7104637622833,18.193747,0.00064615405,0.10450887680053711,0.0005112379,4.229556
2024.78,455,293,1927.9630130599999,931840,0.0171875,931840,3086.6335475444794,18.936073,0.0020071592,0.010078608989715576,-0.002889649,4.2300367
2024.78,456,298,1927.6267387799996,933888,0.019726563,933888,3093.6022605895996,18.54136,0.001982682,0.041175901889801025,-0.0013768063,4.2320204
2024.78,457,297,1927.6254542399997,935936,0.0063476562,935936,3100.470962047577,19.025572,0.0009807853,0.020628392696380615,-7.449684e-05,4.234639
2024.78,458,296,1927.42564014,937984,0.030126953,937984,3107.3552701473236,18.408543,0.0030416632,0.06350088119506836,-0.0011426512,4.2319946
2024.79,459,298,1927.6565882600003,940032,0.078466795,940032,3114.2543954849243,19.380325,0.010245027,-0.03893899917602539,-0.006539377,4.235866
2024.79,460,293,1927.9735110700003,942080,0.014990235,942080,3121.124436855316,18.614912,0.0019495761,0.0025634765625,-0.0007385599,4.2288785
2024.79,461,293,1927.9273065600003,944128,0.030126953,944128,3128.102857351303,18.579042,0.0026082925,0.03305506706237793,-0.00034907635,4.2232447
2024.79,462,291,1927.6856207900003,946176,0.0056152344,946176,3135.0909807682037,18.50455,0.0010175408,0.07513642311096191,-0.0005808186,4.2247562
2024.79,463,291,1927.99279326,948224,0.021826172,948224,3142.1187586784363,18.344498,0.0020026118,0.056792259216308594,-0.0012907141,4.2336855
2024.79,464,292,1928.2204088600004,950272,0.010839844,950272,3149.147647857666,18.166883,0.0015966648,0.10850268602371216,-0.000507377,4.2392793
2024.79,465,299,1928.3536553800002,952320,0.037988283,952320,3156.1437888145447,18.672882,0.0033800483,0.11360061168670654,-0.005233031,4.238344
2024.79,466,294,1927.9682477400002,954368,0.030712891,954368,3162.9907162189484,18.496174,0.0028245528,0.08935612440109253,-0.0026417132,4.240123
2024.79,467,299,1928.18571391,956416,0.031640626,956416,3169.935384273529,19.178806,0.0029298966,0.04121744632720947,-0.0012458349,4.2323766
2024.79,468,295,1927.58870296,958464,0.019091796,958464,3176.77082324028,19.529291,0.0018782585,-0.011676430702209473,-0.0010342402,4.2301474
2024.79,469,295,1927.88000791,960512,0.026660156,960512,3183.695346593857,18.438423,0.0024951468,0.06708133220672607,-0.0023196705,4.239087
2024.79,470,296,1927.9630887199999,962560,0.012158203,962560,3190.6240997314453,19.35239,0.00148032,-0.03982353210449219,-0.00058246165,4.2316036
2024.79,471,296,1928.02028256,964608,0.056640625,964608,3197.533343553543,19.04962,0.004435539,0.009562194347381592,-0.004973258,4.236394
2024.79,472,294,1928.3320827900002,966656,0.041308593,966656,3204.4526901245117,18.082834,0.0037032892,0.12315517663955688,-0.0033318899,4.2380295
2006.65,473,302,1911.1217037799997,968704,0.029541016,968704,3211.4047906398773,34.24733,0.0026023423,0.12910425662994385,-0.0022134278,4.2312727
2006.65,474,298,1911.28408257,970752,0.029296875,970752,3218.1676955223083,19.01138,0.0027791315,-0.029158830642700195,-0.0011299562,4.2360926
2006.65,475,299,1911.1335441200001,972800,0.02055664,972800,3225.035356760025,18.638407,0.0023497432,0.012186288833618164,-0.0003032079,4.2342596
2006.65,476,298,1911.2247320400002,974848,0.03286133,974848,3231.8790431022644,18.973143,0.0030549706,0.006976008415222168,-0.0024863486,4.2325497
2006.65,477,297,1911.3446196900002,976896,0.029101562,976896,3238.7343118190765,18.913755,0.0027621307,0.003365457057952881,-0.001067753,4.231108
2006.65,478,292,1911.6639975300004,978944,0.012597656,978944,3245.62793469429,19.383358,0.0016675729,-0.022823691368103027,-0.0009235788,4.246314
2006.65,479,296,1911.8102258300005,980992,0.016552735,980992,3252.6246082782745,18.792933,0.0021212236,-0.0032958984375,-0.0011399575,4.252359
2006.65,480,289,1912.1926778899997,983040,0.004296875,983040,3259.5382449626923,18.724909,0.0007799872,0.03692889213562012,0.000106440086,4.246648
2006.65,481,293,1912.27567148,985088,0.0016601563,985088,3266.6114404201508,19.063944,0.0005611896,-0.04029500484466553,-0.00026008938,4.245314
2006.65,482,289,1912.48392506,987136,0.0052734376,987136,3273.582526922226,18.7365,0.00072178553,0.03469341993331909,-0.0002607874,4.249283
2006.65,483,294,1912.64089918,989184,0.016259765,989184,3280.65566778183,18.7466,0.002228646,0.03141528367996216,-0.00089701486,4.254411
2006.65,484,294,1913.0211439399998,991232,0.0020507812,991232,3287.5999722480774,18.318073,0.00071744155,0.08244967460632324,-5.7068246e-06,4.2557554
2006.65,485,297,1913.0535645899997,993280,0.02836914,993280,3294.566570997238,19.095577,0.0030766479,0.01028144359588623,-0.0020914874,4.2519007
2009.86,486,294,1916.6705219299997,995328,0.009814453,995328,3301.4617104530334,19.07303,0.001394616,0.0189439058303833,-0.0004249707,4.259244
2009.86,487,292,1916.8268238500002,997376,0.017236328,997376,3308.4221251010895,18.17967,0.001900029,0.09905928373336792,-0.0008346193,4.267432
2009.86,488,295,1916.98617154,999424,0.022558594,999424,3315.4214675426483,19.409084,0.002390265,-0.05875742435455322,-0.0010105722,4.269519
2009.86,489,291,1916.51209733,1001472,0.018701172,1001472,3322.3566868305206,17.777966,0.0019455596,0.11506229639053345,-0.0016147939,4.273576
2009.86,490,282,1916.93303335,1003520,0.03652344,1003520,3329.3732211589813,18.659924,0.0033417784,-0.006171584129333496,-0.002312535,4.2855024
2023.68,491,246,1929.96563229,1005568,0.0064453124,1005568,3336.6250116825104,17.709972,0.0010353165,0.1390647292137146,-0.0018611979,4.286927
2012.0,492,271,1919.1666336500002,1007616,0.031591795,1007616,3344.946146965027,31.723629,0.0026939646,0.2624744176864624,-0.0018996827,4.2846537
2012.0,493,293,1919.4046558700002,1009664,0.023242187,1009664,3352.494350194931,18.85831,0.0023262517,-0.011156082153320312,-0.001798333,4.28428
2009.01,494,292,1916.4239841099998,1011712,0.02841797,1011712,3359.471048116684,14.767815,0.0028248464,0.31242918968200684,-0.0022273553,4.2760973
2009.01,495,292,1915.70249189,1013760,0.0108886715,1013760,3366.479558944702,17.720951,0.0014800762,0.16923576593399048,-0.00063216285,4.2759295
2003.11,496,294,1909.7158583199998,1015808,0.014355469,1015808,3373.472203731537,31.720179,0.0017054221,0.3065759539604187,-0.0015734282,4.2704926
1980.85,497,295,1888.3272206899994,1017856,0.009716797,1017856,3380.4383504390717,25.602707,0.0010387562,0.4645039439201355,-0.00067940995,4.270545
1937.51,498,291,1846.2596576600004,1019904,0.052197266,1019904,3387.359179019928,38.9028,0.0041010506,0.44638097286224365,-0.0046743616,4.2926598
1934.57,499,297,1843.5241315100002,1021952,0.01928711,1021952,3394.3904025554657,11.52133,0.001882324,0.595922589302063,-0.0013824307,4.30757
1934.57,500,301,1843.3949990099998,1024000,0.012109375,1024000,3401.2724850177765,17.745157,0.0015655995,0.11114490032196045,-0.0010404497,4.301492
1934.57,501,298,1843.1469058499997,1026048,0.0060546873,1026048,3408.0733575820923,19.208344,0.0013155623,0.010963976383209229,-0.00042887466,4.289072
1934.57,502,289,1842.9235688399997,1028096,0.024414062,1028096,3414.92693066597,17.637203,0.0021383993,0.11700636148452759,-0.0031518072,4.2913814
1934.57,503,286,1842.8302862,1030144,0.034863282,1030144,3422.004315137863,18.919632,0.0031208163,0.028096497058868408,-0.0040029874,4.3061376
1927.22,504,298,1835.93344375,1032192,0.007080078,1032192,3429.166050672531,15.001289,0.0012278483,0.462329626083374,-0.00088776404,4.3192773
1910.47,505,296,1819.7115844199996,1034240,0.006591797,1034240,3436.02316904068,27.58191,0.0011116338,0.4445061683654785,-0.0026486167,4.3143816
1899.28,506,296,1808.7487967599998,1036288,0.0234375,1036288,3442.9413805007935,31.801342,0.0023694397,0.354688823223114,-0.0015447771,4.3060017
1896.66,507,296,1805.7473368199999,1038336,0.012304688,1038336,3449.8548016548157,10.814418,0.0015218786,0.6110424995422363,-0.0017183432,4.294984
1896.66,508,295,1806.0760802700004,1040384,0.028955078,1040384,3456.7559657096863,19.016642,0.0026819096,0.03305387496948242,-0.002154094,4.292032
1896.66,509,291,1806.7261098000004,1042432,0.0058105467,1042432,3463.6966309547424,18.330809,0.0009770074,0.09437072277069092,-0.00031183878,4.304284
1896.66,510,295,1806.4438698000001,1044480,0.021484375,1044480,3470.720123529434,18.595121,0.002217813,0.05912905931472778,-0.0011087538,4.320352
