policy_loss,total_timesteps,n_updates,serial_timesteps,explained_variance,fps,ep_reward_mean,clipfrac,policy_entropy,value_loss,approxkl,ep_len_mean,time_elapsed
-0.0030496134,190464,93,190464,0.9625189118087292,70,180.43570706000003,0.025976563,1.7026714,2.7889445,0.0025071271,279.57,1135.0572173595428
-0.005282783,192512,94,192512,0.9753979332745075,87,160.93304829,0.054296874,1.7115675,1.809733,0.0045209914,256.46,1164.207983970642
-0.0046592457,194560,95,194560,0.9225963354110718,91,160.34805550000002,0.05253906,1.7124316,4.9234314,0.0043087746,254.68,1187.6829192638397
-0.0028746596,196608,96,196608,0.7019146680831909,112,170.23534929999997,0.016162109,1.7079617,24.960056,0.0019079333,265.74,1210.172033548355
-0.004551948,198656,97,198656,0.5057756006717682,181,179.04914363,0.040625,1.7010349,26.53512,0.0038368437,276.59,1228.3535628318787
-0.0029817154,200704,98,200704,0.24542182683944702,425,195.29132524,0.03881836,1.7043079,44.343075,0.0036053204,295.16,1239.6569440364838
-0.0017322504,202752,99,202752,0.536476343870163,248,211.74106976,0.023974609,1.7071034,35.898766,0.0027988488,314.24,1244.4744515419006
-0.0040632705,204800,100,204800,0.781489685177803,232,182.65385331000002,0.03930664,1.7057059,20.899738,0.0035935882,281.74,1252.721355676651
-0.0052586854,206848,101,206848,0.4333752393722534,190,166.17315973,0.042822264,1.7011712,29.501057,0.0037087414,264.45,1261.518221616745
-0.005275314,208896,102,208896,0.5625375807285309,215,175.88417339,0.05698242,1.7001632,27.341318,0.004791963,275.93,1272.2455513477325
-0.001784749,210944,103,210944,0.8074072301387787,146,186.61873363000007,0.013574218,1.6995957,15.085019,0.0020346805,288.54,1281.745144367218
-0.0018790083,212992,104,212992,0.8584866225719452,107,193.53663514999997,0.021875,1.6987314,12.886427,0.0022182097,296.86,1295.753871679306
-0.004888082,215040,105,215040,0.8128307610750198,232,201.58806604999998,0.04560547,1.6966425,18.437542,0.0039701904,306.26,1314.7992074489594
