total_timesteps,ep_reward_mean,clipfrac,value_loss,explained_variance,fps,ep_len_mean,time_elapsed,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps
247808,0.0,0.04501953,1.9235813e-05,-0.2250535488128662,402,673.67,586.6623713970184,1.0110974,-0.001540214,0.003995271,121,247808
249856,0.0,0.042236328,4.2843308e-06,-1.7900981903076172,444,672.98,591.7526023387909,1.0063536,-0.00015434362,0.0037697647,122,249856
251904,0.0,0.051416017,2.3275027e-06,-0.4794529676437378,381,673.37,596.3662214279175,0.9952358,-0.0038598138,0.0044852044,123,251904
253952,0.0,0.05678711,2.6780393e-07,0.3874133825302124,418,677.12,601.7378251552582,0.9881872,-0.0039548837,0.0047649303,124,253952
256000,0.0,0.056103516,3.2799332e-07,-0.06631994247436523,442,680.94,606.6367294788361,0.97832936,-0.0054723676,0.0044548837,125,256000
258048,0.0,0.04873047,2.4598666e-07,-0.18789267539978027,420,687.78,611.2639391422272,0.96759856,0.0008678295,0.0041554635,126,258048
260096,0.0,0.055322267,9.445277e-07,-0.31590545177459717,412,690.93,616.1352217197418,0.96330005,-0.0023290429,0.0046506054,127,260096
262144,0.0,0.04892578,1.4821124e-05,-0.5433163642883301,429,694.15,621.0962855815887,0.96878594,-0.0012307141,0.0041859276,128,262144
264192,0.0,0.022509765,6.982964e-07,-1.938281536102295,442,698.46,625.8639180660248,0.9697038,-0.00041103348,0.0026418814,129,264192
266240,0.0,0.04472656,4.04486e-07,-0.2499983310699463,432,701.21,630.4963564872742,0.9554186,-0.0025338214,0.003890092,130,266240
268288,0.0,0.03261719,8.090054e-07,-0.18661272525787354,422,704.95,635.2294454574585,0.9451378,-1.7595337e-05,0.0031150905,131,268288
270336,0.0,0.041894533,3.078839e-07,-0.43590354919433594,424,709.89,640.0818476676941,0.92668855,-0.0006307326,0.003943851,132,270336
272384,0.0,0.046289064,1.7391155e-06,-0.8020179271697998,396,711.69,644.9119117259979,0.9130408,-0.0023807052,0.0042433077,133,272384
274432,0.0,0.03857422,2.9592144e-07,-0.2430737018585205,424,713.8,650.079466342926,0.90738857,-0.00065526395,0.0035981224,134,274432
276480,0.0,0.08754883,2.6852845e-06,-0.009171485900878906,417,718.88,654.9031298160553,0.90763915,-0.0055007013,0.006580334,135,276480
278528,0.0,0.059765626,6.534557e-07,-0.16304385662078857,431,720.05,659.8075683116913,0.92938155,-0.0020452347,0.0048600733,136,278528
280576,0.0,0.058007814,4.1832523e-06,-0.2973964214324951,434,720.07,664.5565130710602,0.9472208,-0.0015853072,0.0047785616,137,280576
282624,0.0,0.059326172,1.9000203e-07,-0.10701882839202881,407,722.95,669.2747695446014,0.9332517,-0.001794469,0.0052342573,138,282624
284672,0.0,0.053271484,2.999067e-07,-0.09460628032684326,448,724.69,674.3017935752869,0.9267995,-0.002038984,0.004453694,139,284672
286720,0.0,0.038476564,9.636782e-06,-0.028685927391052246,429,728.22,678.8701050281525,0.93296355,-0.0021967036,0.0035343268,140,286720
288768,0.0,0.03364258,2.3617238e-05,-0.3849468231201172,395,731.66,683.6408042907715,0.9333612,0.00030973207,0.0031540208,141,288768
290816,0.0,0.06318359,2.4842657e-06,-0.15953826904296875,424,735.16,688.8139917850494,0.93606603,-0.003978455,0.005216361,142,290816
292864,0.0,0.043017577,1.5415726e-06,-0.08165299892425537,418,739.76,693.6411426067352,0.9386727,-0.00025597395,0.003819319,143,292864
294912,0.0,0.06289063,5.900923e-07,-0.2113018035888672,428,744.13,698.5359334945679,0.93397176,-0.0030365265,0.005204126,144,294912
296960,0.0,0.053955078,8.030398e-07,-0.2669001817703247,424,747.09,703.3191480636597,0.9335297,-0.0005580782,0.004488435,145,296960
299008,0.0,0.03730469,2.4745276e-07,-0.2117093801498413,412,750.0,708.141309261322,0.9426621,0.00020896585,0.0035078153,146,299008
301056,0.0,0.043261718,8.396301e-08,-0.20013928413391113,392,754.09,713.1015319824219,0.9387558,-0.0012026003,0.0039826566,147,301056
303104,0.0,0.03857422,2.9612607e-07,-0.29243600368499756,413,757.61,718.3206841945648,0.924369,-0.0022924915,0.0037679158,148,303104
305152,0.0,0.0519043,2.4835612e-05,-0.508428692817688,440,760.79,723.2691082954407,0.9150791,-0.0029286272,0.004641316,149,305152
307200,0.0,0.04375,8.190333e-06,-0.40883922576904297,430,763.43,727.9206426143646,0.9139142,-0.0036951576,0.0039105685,150,307200
309248,0.0,0.07539062,1.3751361e-06,-0.17885875701904297,419,764.78,732.682737827301,0.92506665,-0.0038355384,0.005761236,151,309248
311296,0.0,0.045898438,1.179968e-06,-0.10173964500427246,410,765.8,737.5612406730652,0.9337038,-0.00028527778,0.0040585175,152,311296
313344,0.0,0.054638673,2.4746822e-07,-0.12026405334472656,409,761.83,742.5487432479858,0.92425644,-0.0036341555,0.0048514297,153,313344
315392,0.0,0.051171876,4.4460953e-07,-0.21957051753997803,448,761.04,747.5571353435516,0.9155127,-0.0015854873,0.004345569,154,315392
317440,0.0,0.0519043,1.1652962e-06,-0.6514847278594971,429,758.9,752.1227579116821,0.91520536,-0.0025569024,0.004614584,155,317440
319488,0.0,0.055761717,1.0226154e-07,-0.5049161911010742,427,754.87,756.8933274745941,0.90884876,-0.003648276,0.004809671,156,319488
321536,0.0,0.066552736,2.6715681e-05,-0.3567357063293457,428,753.19,761.689989566803,0.8971507,-0.003909531,0.0055551105,157,321536
