ep_len_mean,policy_loss,explained_variance,n_updates,time_elapsed,policy_entropy,serial_timesteps,fps,total_timesteps,value_loss,ep_reward_mean,approxkl,clipfrac
219.25,-0.0005281412,0.9876004112884402,146,897.7433888912201,0.60391355,299008,330,299008,1.0730317,63.89,0.004611921,0.052685548
220.68,-0.0021657804,0.9899704866111279,147,903.942626953125,0.6059503,301056,330,301056,1.1589153,65.98,0.0047385236,0.055859376
218.91,-0.001726977,0.9773520510643721,148,910.1332671642303,0.6028312,303104,328,303104,2.4648335,63.48,0.0041617686,0.048876952
220.56,0.00028506847,0.9734117481857538,149,916.3691916465759,0.6025065,305152,331,305152,3.6180089,64.59,0.0028005703,0.030712891
218.45,-0.0019309551,0.9863999132066965,150,922.5421628952026,0.59742796,307200,335,307200,1.8805599,63.14,0.0052318256,0.0647461
213.97,-0.00079798774,0.9777908846735954,151,928.6506206989288,0.5888524,309248,330,309248,2.4785044,58.85,0.003880384,0.043359376
214.77,-0.0009765339,0.986720691435039,152,934.8508925437927,0.5859877,311296,331,311296,2.444195,58.43,0.0042162314,0.041992188
211.91,-0.00068701926,0.984419072046876,153,941.0399961471558,0.5798813,313344,333,313344,2.2618108,56.05,0.0034748712,0.03852539
214.52,-0.0025894423,0.9909834386780858,154,947.180807352066,0.5693306,315392,330,315392,1.5466943,58.91,0.0061446447,0.07700195
214.0,-0.003496719,0.9811434093862772,155,953.3747205734253,0.5398092,317440,334,317440,2.6770387,58.59,0.0065544704,0.07578125
215.25,-0.00025771046,0.9756461717188358,156,959.4907374382019,0.52346843,319488,332,319488,2.0273604,58.55,0.0025481577,0.024658203
216.35,-0.0021103504,0.978674927726388,157,965.6607716083527,0.52479166,321536,332,321536,3.1120708,58.62,0.0042086835,0.04892578
215.54,-0.0004133767,0.9870274998247623,158,971.821249961853,0.53021824,323584,334,323584,0.87085485,57.58,0.0037533152,0.04272461
214.33,0.0005637922,0.9869996942579746,159,977.9471197128296,0.52524555,325632,331,325632,2.3244207,57.58,0.0035404316,0.03691406
216.47,-0.00052812044,0.9785686675459146,160,984.126841545105,0.51182735,327680,336,327680,1.9433104,58.73,0.006428843,0.07524414
217.23,-0.0032424226,0.9534522108733654,161,990.2205703258514,0.5123612,329728,338,329728,2.014625,57.18,0.004133732,0.049462892
219.2,0.0008068897,0.9917938988655806,162,996.2680115699768,0.5045389,331776,331,331776,1.2139812,58.95,0.003204959,0.03100586
215.41,-0.0017483557,0.9840289652347565,163,1002.4459676742554,0.48326722,333824,337,333824,1.5989776,56.41,0.006256153,0.07792969
212.41,0.00014444414,0.9903305228799582,164,1008.5171647071838,0.46935004,335872,340,335872,0.8844473,53.53,0.0036790925,0.03676758
213.08,-0.0017237852,0.9888313096016645,165,1014.5376479625702,0.46477756,337920,336,337920,1.5128552,52.27,0.004843422,0.058740236
214.13,0.0002589891,0.9790869783610106,166,1020.6324756145477,0.47469527,339968,336,339968,4.953606,53.44,0.0050640996,0.059472658
214.57,-0.00130239,0.9742674883455038,167,1026.7215933799744,0.46590072,342016,343,342016,2.594026,53.72,0.0046223137,0.05292969
217.75,0.00080958626,0.9826715309172869,168,1032.683129310608,0.46114522,344064,324,344064,5.2777014,55.77,0.0034288187,0.036328126
220.2,3.6118327e-05,0.9878215109929442,169,1039.0011434555054,0.462114,346112,325,346112,1.3529704,56.79,0.005579356,0.07006836
