approxkl,time_elapsed,policy_loss,ep_len_mean,policy_entropy,total_timesteps,serial_timesteps,n_updates,fps,ep_reward_mean,explained_variance,clipfrac,value_loss
0.0050970158,3864.417051553726,-0.0036478955,1285.29,2.70606,1103872,1103872,539,291,844.24362007,0.7585812658071518,0.059326172,10.061454
0.00611358,3871.449287414551,-0.0038314913,1302.07,2.707425,1105920,1105920,540,281,856.6817943900002,0.786828488111496,0.07895508,9.128473
0.0034136218,3878.728989839554,-0.0018532384,1318.65,2.7145836,1107968,1107968,541,266,869.17920784,0.7069224119186401,0.036230467,13.598253
0.004670509,3886.4286959171295,-0.003652387,1298.21,2.7228312,1110016,1110016,542,271,856.1009361900001,0.777806431055069,0.050732423,19.359076
0.0053708027,3893.964192390442,-0.0043984735,1298.21,2.7282288,1112064,1112064,543,274,858.15939444,0.7864427864551544,0.06845703,9.664176
0.0028740978,3901.439181804657,-0.0011839865,1298.21,2.7367523,1114112,1114112,544,272,860.57622474,0.7440144419670105,0.03178711,13.099042
0.010723219,3908.949815273285,-0.0072257766,1283.75,2.7409742,1116160,1116160,545,280,852.67977535,0.9227731004357338,0.095019534,8.580965
0.003581042,3916.2547307014465,-0.00387391,1287.1,2.7497022,1118208,1118208,546,285,856.3450146800001,0.9194983318448067,0.037060548,4.5297685
0.0048784157,3923.4260065555573,-0.003673394,1288.93,2.7310662,1120256,1120256,547,287,860.2956699500002,0.8437226265668869,0.051611327,9.184446
0.004444342,3930.545378446579,-0.007597233,1254.05,2.7274828,1122304,1122304,548,292,837.7366717100001,0.89349764585495,0.051123045,12.774744
0.0053770086,3937.5419251918793,-0.0030908156,1254.05,2.7379718,1124352,1124352,549,292,838.0630721800001,0.815787747502327,0.06992187,9.937076
0.004599852,3944.5491495132446,-0.0052407673,1238.64,2.7393973,1126400,1126400,550,296,827.08806046,0.8737656027078629,0.054541014,6.435533
0.0031528592,3951.4543352127075,-0.0011471561,1249.91,2.7423043,1128448,1128448,551,297,835.6209974799999,0.7131397426128387,0.031054687,27.733057
0.0035289458,3958.3454196453094,-0.0026367307,1233.41,2.741881,1130496,1130496,552,284,824.16531352,0.8679261654615402,0.03959961,8.662183
0.0047425176,3965.5554945468903,-0.004724809,1195.13,2.7441256,1132544,1132544,553,289,797.33318708,0.7940368503332138,0.05698242,25.128252
0.0027355272,3972.6387889385223,-0.0016703171,1204.14,2.748343,1134592,1134592,554,291,804.2426105499998,0.8458959311246872,0.027197266,12.795601
0.0076379315,3979.6592886447906,-0.00754562,1220.57,2.750494,1136640,1136640,555,284,817.0001390399999,0.7457104027271271,0.09770508,11.06715
0.007757984,3986.861097097397,-0.0034219578,1237.27,2.765896,1138688,1138688,556,280,828.1697917499998,0.6427136659622192,0.096142575,10.980886
0.0026133778,3994.1550600528717,-0.0014111261,1214.13,2.7772295,1140736,1140736,557,292,812.1568638199999,0.9249404594302177,0.025732422,7.790024
0.0043143053,4001.1662459373474,-0.008727232,1170.95,2.7919834,1142784,1142784,558,296,779.60553574,0.8631632179021835,0.054736327,14.973299
0.0042252,4008.1163659095764,-0.0039193896,1173.49,2.808579,1144832,1144832,559,283,780.75874882,0.8955260068178177,0.04560547,9.273009
0.004962177,4015.3416182994843,-0.0051087737,1176.52,2.8145118,1146880,1146880,560,296,782.9022192999998,0.8242252469062805,0.058203124,16.95617
0.0047344593,4022.2555480003357,-0.006775127,1192.65,2.812245,1148928,1148928,561,289,794.85311229,0.9246731102466583,0.055908203,7.0886545
0.0037961858,4029.325391292572,-0.0029055267,1192.65,2.8105056,1150976,1150976,562,288,794.07338322,0.7087246775627136,0.041552734,10.370214
0.0068733334,4036.4350531101227,-0.00899559,1197.01,2.8043253,1153024,1153024,563,288,797.34746763,0.7375676035881042,0.08686523,10.2516
0.0093483925,4043.528389453888,-0.0016932681,1197.01,2.802247,1155072,1155072,564,269,795.18377005,0.5906380414962769,0.109960936,12.74264
0.0035740677,4051.1338913440704,-0.00346803,1211.48,2.810789,1157120,1157120,565,292,804.86150193,0.8388052433729172,0.039746094,7.107418
0.005264206,4058.1394386291504,-0.004443175,1216.46,2.8244681,1159168,1159168,566,287,807.0962787400001,0.7796962410211563,0.058691405,19.117386
