total_timesteps,serial_timesteps,ep_len_mean,approxkl,n_updates,clipfrac,time_elapsed,fps,ep_reward_mean,policy_loss,explained_variance,value_loss,policy_entropy
315392,315392,217.55,0.0043811556,154,0.052246094,830.2161946296692,344,0.0,-0.000579165,0.8818645402789116,4.949955e-08,0.64636326
317440,317440,219.24,0.00468604,155,0.05683594,836.1690599918365,376,0.0,-0.002640396,0.823357418179512,3.6018474e-08,0.65555036
319488,319488,225.05,0.007744655,156,0.107666016,841.6082618236542,366,0.0,-0.009582134,0.3659929633140564,2.0636631e-07,0.67264533
321536,321536,225.26,0.005921946,157,0.070898436,847.1922147274017,400,0.0,-0.0041285264,0.3400803804397583,9.01529e-08,0.6857383
323584,323584,230.45,0.0045148795,158,0.052197266,852.308531999588,370,0.0,-0.0023267365,0.21202117204666138,2.7367156e-07,0.6849957
325632,325632,231.33,0.0035412125,159,0.036572266,857.8445892333984,376,0.0,-0.0014559312,0.19051456451416016,3.72754e-07,0.6701943
327680,327680,232.05,0.0052090185,160,0.06352539,863.284505367279,396,0.0,-0.0042979303,-0.5560897588729858,8.2157185e-06,0.6656426
329728,329728,233.25,0.0058414005,161,0.072753906,868.4505319595337,409,0.0,-0.0051299455,-0.26013684272766113,4.2572054e-07,0.68060637
331776,331776,233.9,0.0036152739,162,0.039355468,873.4533088207245,373,0.0,-0.0022738047,-0.5345668792724609,4.0900363e-07,0.6879536
333824,333824,233.06,0.0061490806,163,0.07651367,878.9381306171417,373,0.0,-0.0042870184,0.18175894021987915,4.5403758e-07,0.6826314
335872,335872,231.99,0.005542626,164,0.06386719,884.4274482727051,388,0.0,-0.0030774889,0.4394250512123108,6.2565086e-06,0.6717514
337920,337920,235.19,0.005623349,165,0.072460935,889.697731256485,380,0.0,-0.008457716,0.29552388191223145,6.291454e-06,0.6750198
339968,339968,238.0,0.004369787,166,0.05341797,895.0806682109833,370,0.0,-0.0053439196,0.5366311967372894,5.2423206e-06,0.7058197
342016,342016,245.58,0.0065707974,167,0.079638675,900.6106495857239,396,0.0,-0.0060836403,0.46230441331863403,5.711003e-06,0.7315714
344064,344064,247.73,0.0049645,168,0.062304687,905.7750587463379,366,0.0,-0.0040939758,0.4280644655227661,1.0234377e-06,0.72981226
346112,346112,253.92,0.005280115,169,0.066259764,911.3681116104126,380,0.0,-0.0038138404,0.47853022813796997,7.762354e-07,0.726214
