serial_timesteps,ep_reward_mean,ep_len_mean,policy_loss,approxkl,value_loss,policy_entropy,total_timesteps,clipfrac,n_updates,fps,time_elapsed,explained_variance
315392,1359.9444607200003,1442.68,-0.00019150479,0.0006591668,16.949116,2.5796857,315392,0.002734375,154,294,1029.579692363739,0.1125103235244751
317440,1376.1348812900003,1459.98,-0.0020248347,0.0028752666,17.664597,2.578713,317440,0.031542968,155,296,1036.5392305850983,0.2751044034957886
319488,1390.2693614300003,1474.83,-0.0018185594,0.0022859029,20.417456,2.578042,319488,0.017236328,156,291,1043.441261768341,0.6757887005805969
321536,1402.93698521,1488.22,-0.00097341446,0.0019510139,18.19379,2.5799077,321536,0.013769532,157,294,1050.4571146965027,0.005898773670196533
323584,1410.0209568,1495.31,-0.0042353733,0.0044305534,18.284853,2.6017253,323584,0.050927736,158,295,1057.4100213050842,0.008947551250457764
325632,1421.67708155,1507.63,-0.00088236824,0.002248509,17.93343,2.6253996,325632,0.021044921,159,292,1064.351113319397,0.07226842641830444
327680,1435.45942984,1522.23,-0.0033636536,0.0045826687,17.483347,2.6303482,327680,0.054589845,160,294,1071.3538885116577,0.124400794506073
329728,1450.3123474899996,1538.3,-0.0011827502,0.0015134215,16.019579,2.6376696,329728,0.014160156,161,291,1078.3166136741638,0.39749693870544434
331776,1468.06403651,1556.9,-0.0011395768,0.0028794457,26.993845,2.6395001,331776,0.028271485,162,294,1085.351945400238,0.5050023198127747
333824,1479.97509265,1569.45,-0.00083850865,0.0021463803,18.34008,2.6322756,333824,0.019677734,163,297,1092.3029987812042,0.009002268314361572
335872,1490.3015083499997,1580.19,-0.003283163,0.0036503382,18.241558,2.631949,335872,0.044970702,164,300,1099.1958899497986,0.018124043941497803
337920,1503.49353396,1594.35,-0.004125088,0.0039071846,17.876398,2.650574,337920,0.049560547,165,301,1106.0128407478333,0.04350167512893677
339968,1510.7077248899996,1602.69,-0.0014289597,0.001647721,6.1937857,2.6579127,339968,0.011376953,166,305,1112.8072884082794,0.8987518176436424
342016,1523.1731988799997,1615.65,-0.0033993865,0.0032209593,18.548403,2.6604977,342016,0.038427733,167,295,1119.5126776695251,-0.011489510536193848
344064,1534.7868988499997,1627.8,-0.0029137945,0.0047291177,17.870377,2.6738536,344064,0.0597168,168,302,1126.4434387683868,0.07080644369125366
346112,1542.3816367699997,1635.8,-0.0010685849,0.0032684035,18.038013,2.6787586,346112,0.035595704,169,297,1133.2191405296326,0.04015105962753296
348160,1554.2586438399999,1648.42,-0.0005408436,0.0019709521,18.410906,2.6911354,348160,0.017480468,170,298,1140.1105093955994,0.03241521120071411
350208,1562.94204245,1658.13,-0.0013085469,0.0028746906,18.133272,2.6960306,350208,0.027490234,171,292,1146.9640452861786,0.008490920066833496
352256,1567.1164642099998,1662.55,-0.0022109842,0.002259776,9.46603,2.7066717,352256,0.023144532,172,297,1153.9588203430176,0.6810816526412964
354304,1576.5458501700004,1672.3,-0.0026881655,0.0026651856,18.592228,2.713806,354304,0.033447266,173,292,1160.8458406925201,0.002889871597290039
356352,1589.57991346,1685.5,-0.0010015587,0.00322856,17.236128,2.7023664,356352,0.034179688,174,295,1167.839433670044,0.15474307537078857
358400,1602.4104947000003,1698.72,-0.0024931,0.003645522,17.620564,2.69579,358400,0.037646484,175,294,1174.7621381282806,0.09261423349380493
360448,1609.3009279300002,1705.73,-0.0013700308,0.0020105606,18.203056,2.6881309,360448,0.015966797,176,295,1181.7263543605804,0.04313492774963379
362496,1617.6925817199997,1714.34,-0.0025872183,0.0054779807,18.14488,2.687095,362496,0.068164065,177,291,1188.6576929092407,0.04492837190628052
364544,1627.08622075,1724.41,-0.0015829925,0.0030751582,18.238096,2.691167,364544,0.03691406,178,297,1195.673231124878,0.04525613784790039
366592,1634.7455497499998,1732.51,-0.0025125183,0.0030277218,18.294071,2.7015162,366592,0.0340332,179,292,1202.5698659420013,0.05738335847854614
368640,1646.92612844,1745.19,-3.9777726e-05,0.0016180867,18.099255,2.7141192,368640,0.013574218,180,292,1209.570746421814,0.07514238357543945
370688,1650.14387695,1748.25,-0.0015930503,0.0042413836,19.27886,2.7287078,370688,0.051855467,181,296,1216.5813913345337,0.03709679841995239
372736,1654.92505095,1753.53,-0.0035680768,0.00334267,17.864872,2.749521,372736,0.03701172,182,295,1223.4807515144348,0.09388130903244019
374784,1662.88875925,1761.68,-0.0034668832,0.0030196453,18.47112,2.771853,374784,0.033203125,183,290,1230.4056203365326,0.06618160009384155
376832,1672.7707433,1771.53,-0.0044783847,0.004261649,18.628187,2.7935233,376832,0.04838867,184,292,1237.4514391422272,0.05138963460922241
378880,1673.44930933,1771.53,-0.00059601536,0.0025737514,18.503841,2.8060215,378880,0.02470703,185,294,1244.4542586803436,0.0540691614151001
380928,1673.4695288199998,1771.53,-0.0011637232,0.00421811,17.88623,2.8138132,380928,0.05029297,186,294,1251.4215977191925,0.14791762828826904
382976,1679.41884262,1777.92,-0.00068841095,0.002303078,25.730017,2.8249698,382976,0.018408203,187,293,1258.3665826320648,0.5112674832344055
385024,1679.4064333000001,1777.92,-0.005446864,0.005821032,18.212606,2.8233213,385024,0.076611325,188,296,1265.3558983802795,0.12344372272491455
387072,1687.0638968799997,1785.87,-0.007951645,0.0049904007,17.220049,2.8258626,387072,0.06088867,189,294,1272.2764303684235,0.15343129634857178
389120,1687.2501749300002,1785.87,-0.0021813414,0.00512441,19.165352,2.8427653,389120,0.066503905,190,294,1279.2270002365112,0.003627181053161621
391168,1687.3059309500002,1785.87,2.4804996e-05,0.0019420597,18.03739,2.836738,391168,0.01225586,191,299,1286.1722166538239,0.12287372350692749
393216,1687.7709503699998,1785.87,-0.001273747,0.0026888703,18.930208,2.821211,393216,0.023876954,192,291,1293.0206820964813,0.006151676177978516
395264,1696.1964313400001,1794.16,-6.0480193e-05,0.0014589295,19.06651,2.8201861,395264,0.008496094,193,296,1300.0378060340881,-0.02256643772125244
