time_elapsed,explained_variance,clipfrac,total_timesteps,approxkl,policy_loss,n_updates,policy_entropy,fps,serial_timesteps,ep_reward_mean,value_loss,ep_len_mean
15007.83995938301,0.979721762239933,0.15273437,3917824,0.016419988,0.00070505834,1913,0.49272227,282,3917824,180.63512518,0.32097322,358.59
15015.09563088417,0.9748719949275255,0.14536133,3919872,0.012915455,-0.00012944164,1914,0.4773956,284,3919872,180.63512518,0.37047505,358.59
15022.304843187332,0.9288172125816345,0.15786132,3921920,0.04210586,-0.009099561,1915,0.47467065,276,3921920,486.08889683,12.734158,813.25
15029.70421051979,0.949506152421236,0.17836913,3923968,0.026429871,-0.009413501,1916,0.48748502,264,3923968,493.97441263,5.941373,830.32
15037.45060634613,0.9184590429067612,0.1373047,3926016,0.012990983,-0.0055227065,1917,0.49450293,268,3926016,494.26827953,11.606826,834.03
15045.066545963287,0.946109514683485,0.11875,3928064,0.01073568,-0.002044048,1918,0.4957765,259,3928064,496.96875035,2.72108,839.49
15052.9516415596,0.9423780031502247,0.12607422,3930112,0.012601098,-0.0032213882,1919,0.49962536,258,3930112,505.97499455,2.863989,860.47
15060.860689878464,0.9011918380856514,0.09125976,3932160,0.0077376002,-0.0050159446,1920,0.49921727,262,3932160,512.7158351799999,5.8752685,876.9
15068.667197227478,0.9511597193777561,0.10727539,3934208,0.010033337,-0.0054464117,1921,0.49319872,262,3934208,511.84407411999996,3.0916097,878.9
15076.475801467896,0.9644407406449318,0.13916016,3936256,0.013804769,-0.009148547,1922,0.49670696,261,3936256,518.92479409,1.7753181,894.69
15084.29420042038,0.962334793061018,0.15136719,3938304,0.015144694,-0.0066515394,1923,0.50199974,264,3938304,506.86476182,4.1159306,875.14
15092.044598579407,0.912112221121788,0.1331543,3940352,0.013122654,-0.010359978,1924,0.5063524,274,3940352,488.4032307199999,12.743706,846.58
15099.507056951523,0.8844334706664085,0.115625,3942400,0.011665172,-0.008449981,1925,0.50919515,264,3942400,490.4798150599998,11.593644,851.38
15107.2807700634,0.913794532418251,0.15146485,3944448,0.04695765,-0.007628308,1926,0.5227101,264,3944448,478.46513903999994,9.250257,833.34
15115.018109560013,0.9468951039016247,0.16088867,3946496,0.01746413,-0.0050156615,1927,0.53663665,259,3946496,478.46513903999994,0.34499305,833.34
15122.90706896782,0.9566607102751732,0.13066407,3948544,0.01917785,-0.0035761506,1928,0.53816664,262,3948544,489.0575862399999,3.3812385,859.79
15130.707740306854,0.9711632262915373,0.1453125,3950592,0.014715764,-0.003803712,1929,0.5344925,266,3950592,487.2422005099999,3.4998538,857.78
15138.388227701187,0.9109431728720665,0.12368164,3952640,0.013270711,-0.0055709393,1930,0.53856,265,3952640,461.95176049,12.7022915,815.55
15146.09825849533,0.8870021477341652,0.12382813,3954688,0.010807798,-0.007780737,1931,0.540794,259,3954688,467.38523625999994,3.7879925,827.57
15153.982425451279,0.9593171402812004,0.14458008,3956736,0.013675277,-0.007629583,1932,0.5420885,261,3956736,476.0766202,2.5608978,845.08
15161.8066136837,0.9693418964743614,0.11801758,3958784,0.011077007,-0.0053121014,1933,0.54240555,262,3958784,472.79352970999986,3.3471465,840.84
15169.607367992401,0.8897537812590599,0.14111328,3960832,0.015013436,-0.0047616493,1934,0.5411092,263,3960832,163.89378780000004,5.292798,382.92
