ep_reward_mean,time_elapsed,explained_variance,serial_timesteps,ep_len_mean,n_updates,fps,policy_loss,value_loss,clipfrac,policy_entropy,approxkl,total_timesteps
66.2,1049.301451921463,0.9978421132545918,401408,230.39,196,368,-0.0011078656,0.32856497,0.104199216,0.561821,0.0079904515,401408
65.95,1054.8550927639008,0.9973355035763234,403456,231.06,197,410,-0.00047303634,0.37500542,0.050585937,0.54840744,0.0044087954,403456
69.52,1059.8416743278503,0.9986534058116376,405504,235.47,198,438,-0.00060884486,0.240032,0.059814453,0.5449853,0.005066716,405504
70.74,1064.5166182518005,0.9975779864471406,407552,234.45,199,372,-0.000825624,0.5891762,0.06357422,0.5496472,0.0054887435,407552
66.53,1070.0113742351532,0.9966983853373677,409600,230.84,200,404,-0.005132715,0.43621197,0.115478516,0.5565776,0.010095602,409600
66.72,1075.079698562622,0.9969594683498144,411648,231.93,201,360,0.00022477256,0.65917486,0.055664062,0.5621595,0.004818966,411648
67.95,1080.7566585540771,0.9924219497479498,413696,232.62,202,393,-0.001221328,0.691392,0.07114258,0.5626553,0.005770287,413696
70.34,1085.9589729309082,0.9973797546699643,415744,233.77,203,404,0.0011055835,0.7506783,0.084033206,0.577577,0.006862639,415744
71.61,1091.0182490348816,0.997592190746218,417792,234.06,204,402,0.00016368306,0.363825,0.062841795,0.5796261,0.0052860742,417792
71.04,1096.1105861663818,0.9951044712215662,419840,232.23,205,396,0.0008364074,0.5913902,0.054785155,0.57611656,0.0045064664,419840
69.48,1101.2790880203247,0.992406602948904,421888,229.67,206,399,0.0023959223,0.6119942,0.10200195,0.5800002,0.007958101,421888
68.55,1106.410976409912,0.9947185139171779,423936,228.16,207,416,-0.00046446026,0.79433256,0.09267578,0.5816208,0.0073704803,423936
69.55,1111.3340013027191,0.9982707820599899,425984,227.66,208,397,0.00057789736,0.39042056,0.042529296,0.57990456,0.0038547865,425984
68.91,1116.4904086589813,0.9988102031638846,428032,226.38,209,363,-0.0022157421,0.17795648,0.07695313,0.5821894,0.0062402496,428032
68.94,1122.1281180381775,0.9981095166876912,430080,227.74,210,400,0.00272816,0.37450263,0.06538086,0.5876726,0.0053480635,430080
68.91,1127.2378838062286,0.9967845622450113,432128,227.04,211,409,-6.2650506e-06,0.53973097,0.064501956,0.5991993,0.005276652,432128
68.9,1132.2387282848358,0.9982867100043222,434176,227.57,212,369,0.0019747983,0.2766229,0.0668457,0.594057,0.0054397443,434176
67.73,1137.7763848304749,0.9984087108168751,436224,225.29,213,444,0.00034517562,0.1403281,0.084667966,0.58330876,0.0070355074,436224
64.26,1142.3847529888153,0.9971293390262872,438272,222.4,214,373,0.0011082055,0.29812127,0.06899414,0.59156114,0.0057876264,438272
64.1,1147.875670671463,0.9967078259214759,440320,222.8,215,364,-0.0014375655,0.54333216,0.0769043,0.60076827,0.00625614,440320
65.59,1153.4936015605927,0.9986504366388544,442368,223.19,216,393,0.0021098568,0.19632187,0.031152343,0.5927626,0.0031376393,442368
66.06,1158.705629825592,0.9945825673639774,444416,223.46,217,397,0.00042711623,0.78563344,0.06772461,0.5965808,0.005544965,444416
67.19,1163.8567607402802,0.9970749169588089,446464,224.53,218,367,-0.0010042319,0.6591621,0.045458984,0.5982315,0.003867977,446464
65.55,1169.4312226772308,0.993083655834198,448512,223.22,219,426,0.0008389136,0.9687727,0.042041015,0.60154045,0.003702684,448512
63.63,1174.2384889125824,0.997761179227382,450560,221.61,220,384,-0.00038069056,0.4636035,0.061328124,0.59844613,0.005388925,450560
66.3,1179.569121837616,0.9983369309920818,452608,220.52,221,336,-0.0009978503,0.42988557,0.0637207,0.58287066,0.0051986324,452608
69.49,1185.649292230606,0.9974199123680592,454656,222.78,222,403,-3.882135e-05,0.89465487,0.068359375,0.5673724,0.005590127,454656
68.33,1190.720758676529,0.9979376047849655,456704,220.0,223,415,0.0019632198,0.25759372,0.0887207,0.5714253,0.007344681,456704
69.25,1195.6558537483215,0.9974257813300937,458752,222.89,224,389,-0.0002279144,0.2822799,0.09428711,0.57608443,0.007395043,458752
69.59,1200.9155972003937,0.9980187590699643,460800,222.22,225,407,0.0013041188,0.29799867,0.052246094,0.57652915,0.0043683564,460800
69.4,1205.9404737949371,0.9983157404931262,462848,221.14,226,371,0.00031779843,0.35188884,0.058251955,0.57494426,0.0048276945,462848
70.46,1211.452125787735,0.9981281374348328,464896,222.72,227,399,-0.00034469442,0.2816357,0.1199707,0.5685981,0.010848803,464896
71.04,1216.579220533371,0.9948446769267321,466944,220.64,228,394,-0.0026460758,0.9060825,0.12060547,0.561071,0.010196404,466944
71.56,1221.7671263217926,0.9976185583509505,468992,216.72,229,413,-0.0004012428,0.6631955,0.05180664,0.56096345,0.004375416,468992
74.69,1226.7245054244995,0.9966398221440613,471040,218.61,230,410,-0.0016527331,0.67108405,0.07460938,0.56438124,0.0058891,471040
75.18,1231.711963891983,0.9959152997471392,473088,216.57,231,386,-0.005784431,0.8364132,0.10830078,0.5823628,0.009243706,473088
70.77,1237.0133271217346,0.9984081881120801,475136,211.14,232,396,-0.0007738741,0.25822002,0.07944336,0.58565223,0.006397088,475136
71.6,1242.173799753189,0.998343649553135,477184,210.94,233,379,-0.0008836943,0.2978986,0.06533203,0.5762946,0.005624928,477184
71.17,1247.5704536437988,0.9985716593218967,479232,206.37,234,423,0.0018109365,0.21883655,0.07290039,0.5666739,0.006331274,479232
74.68,1252.413367986679,0.9977559219114482,481280,207.75,235,373,-0.0013376686,0.6265262,0.065136716,0.55988926,0.0052263015,481280
72.74,1257.9043757915497,0.9978276211768389,483328,203.74,236,419,0.0017401647,0.3671034,0.115234375,0.5423081,0.009734893,483328
72.26,1262.784332036972,0.998958251089789,485376,200.55,237,389,0.0003946905,0.20377564,0.07314453,0.53079605,0.0061100353,485376
72.92,1268.0437071323395,0.9982487409142777,487424,201.51,238,372,0.00018976636,0.43059936,0.047802735,0.5293119,0.0042485185,487424
73.35,1273.540453672409,0.9987097898265347,489472,199.97,239,421,0.00072353677,0.29762167,0.045166016,0.52976096,0.0040051127,489472
73.4,1278.4013903141022,0.9991439958103001,491520,199.03,240,382,-0.004736804,0.16724458,0.080078125,0.5321617,0.0065447986,491520
70.27,1283.7621479034424,0.9987952320370823,493568,193.83,241,338,-0.0010430255,0.17096284,0.09609375,0.54015934,0.007689883,493568
68.94,1289.8068442344666,0.9974305431824178,495616,190.04,242,402,-0.007113884,0.46098524,0.097998045,0.5581827,0.0076514133,495616
71.87,1294.890566110611,0.9986678436398506,497664,189.67,243,391,0.00063799304,0.4149506,0.05317383,0.566442,0.004568792,497664
71.38,1300.1258163452148,0.9977680596057326,499712,186.39,244,401,-0.0001903947,0.5785272,0.047705077,0.5575821,0.0043579065,499712
73.74,1305.2310764789581,0.9979878251906484,501760,185.29,245,396,-0.001708556,0.5086493,0.079638675,0.5463131,0.006283339,501760
74.74,1310.3935413360596,0.9987204479984939,503808,182.69,246,412,-0.001497351,0.28713876,0.07299805,0.5514216,0.0058005033,503808
73.72,1315.3629615306854,0.9986446098191664,505856,177.2,247,357,-0.0027141203,0.27395028,0.13461915,0.55598205,0.010825573,505856
75.72,1321.0931777954102,0.9987490291241556,507904,178.57,248,348,-0.006849458,0.32580996,0.08427735,0.5596036,0.006695303,507904
73.93,1326.9737174510956,0.998698077746667,509952,173.76,249,391,0.0019800495,0.24623938,0.08242188,0.5605767,0.0066305334,509952
77.95,1332.2079105377197,0.997019978472963,512000,177.3,250,394,0.0015516861,0.97028637,0.07446289,0.5546861,0.0061668297,512000
75.2,1337.406928062439,0.9989109947346151,514048,174.33,251,372,0.0032090757,0.1934647,0.082617186,0.55193985,0.0065547535,514048
71.71,1342.911503314972,0.997279095929116,516096,170.68,252,394,-0.006299569,0.44770113,0.1319336,0.56614,0.010730668,516096
73.73,1348.1086120605469,0.9968937060330063,518144,173.65,253,345,0.0020532007,1.0602243,0.043164063,0.57160467,0.003921896,518144
74.66,1354.0419359207153,0.9968440423253924,520192,174.74,254,377,-0.00049244764,1.076268,0.06137695,0.5622781,0.0050028986,520192
75.13,1359.4658222198486,0.9978802078403533,522240,175.28,255,358,0.0029842302,0.36800838,0.06538086,0.5702723,0.0053790496,522240
71.38,1365.18350148201,0.9992863948573358,524288,172.62,256,403,-0.006625917,0.11033912,0.1331543,0.5753396,0.010128971,524288
69.93,1370.2654840946198,0.9969883237499744,526336,170.62,257,376,-0.001092853,0.6873025,0.059912108,0.5687827,0.0051740515,526336
69.39,1375.707183122635,0.9990487556206062,528384,170.27,258,412,-0.0072721005,0.2668605,0.089501955,0.56148136,0.0068323202,528384
68.99,1380.6795399188995,0.9979277334641665,530432,168.32,259,358,0.0018655125,0.2288193,0.09116211,0.55343634,0.0074708564,530432
70.72,1386.3861615657806,0.9980585746234283,532480,169.92,260,388,-0.002143074,0.51191556,0.07563476,0.544183,0.005935905,532480
70.43,1391.658215522766,0.9978665167000145,534528,168.51,261,418,0.00026621073,0.6990034,0.037841797,0.542012,0.003535517,534528
67.12,1396.5541439056396,0.9982521666679531,536576,164.53,262,360,0.0003873458,0.14099075,0.115722656,0.5362997,0.010249019,536576
63.96,1402.2427425384521,0.9931765352375805,538624,160.9,263,416,-0.00053956895,1.514173,0.13603516,0.5286859,0.011434594,538624
68.16,1407.1651051044464,0.9903703257441521,540672,164.68,264,406,0.0015441574,2.759505,0.07099609,0.52838385,0.005632094,540672
67.0,1412.2028183937073,0.9907596623525023,542720,162.73,265,404,0.0032266187,1.6623707,0.058984376,0.5382588,0.005000188,542720
65.21,1417.27108168602,0.9914074754342437,544768,160.95,266,414,0.0022337702,1.555091,0.07841797,0.5450171,0.0060023675,544768
64.99,1422.2103476524353,0.995385913643986,546816,160.73,267,388,-0.0014917635,0.8058753,0.08022461,0.53984725,0.0064215073,546816
64.08,1427.4854791164398,0.9980002797674388,548864,158.44,268,367,-0.0012862234,0.340929,0.072460935,0.52621967,0.006271818,548864
62.44,1433.0607426166534,0.9973564769607037,550912,156.85,269,420,-0.0001702978,0.37822422,0.06303711,0.5207182,0.005718154,550912
64.26,1437.9307720661163,0.9974675686098635,552960,157.84,270,399,0.00084187445,0.5006684,0.06601562,0.5199145,0.005426692,552960
64.69,1443.060940504074,0.9951951107941568,555008,158.02,271,386,0.0008122463,0.8162322,0.083789065,0.5171367,0.006604966,555008
65.27,1448.3605151176453,0.9983827971154824,557056,158.34,272,422,0.0028395006,0.30624348,0.08173828,0.51431197,0.006481965,557056
67.6,1453.211498260498,0.9978151433169842,559104,160.48,273,413,0.00062610407,0.72517645,0.047949217,0.5009745,0.004319927,559104
67.83,1458.160808801651,0.9987458195537329,561152,160.14,274,381,-0.00046618126,0.22131911,0.0769043,0.49061662,0.006381939,561152
68.38,1463.536190032959,0.9978121900931001,563200,160.58,275,392,0.00061941054,0.4945603,0.072509766,0.4871126,0.0060376497,563200
67.46,1468.755829334259,0.9978175188880414,565248,159.33,276,360,0.0013237057,0.36495012,0.055859376,0.4749466,0.004742161,565248
69.4,1474.432398557663,0.9980901685776189,567296,160.8,277,442,0.0023002743,0.38506156,0.110644534,0.465908,0.009053358,567296
72.18,1479.0618891716003,0.9979893323034048,569344,163.24,278,375,0.00044466363,0.56716514,0.05673828,0.45248565,0.0049132323,569344
73.0,1484.5247197151184,0.9987970369402319,571392,163.84,279,407,-0.0022782837,0.28942186,0.103564456,0.44184336,0.007932429,571392
72.64,1489.555843114853,0.9981962901074439,573440,162.96,280,408,0.0010235945,0.23366466,0.09350586,0.43674836,0.007507113,573440
69.8,1494.5705182552338,0.9983103711856529,575488,160.03,281,366,0.002096021,0.32732448,0.06020508,0.43333688,0.004880724,575488
68.67,1500.1635255813599,0.9985975053859875,577536,158.65,282,385,0.00044775428,0.25141513,0.054638673,0.43161267,0.004498643,577536
69.93,1505.4812104701996,0.9990695014712401,579584,159.65,283,391,-0.003666732,0.30923814,0.10620117,0.43070728,0.008437692,579584
75.93,1510.7207288742065,0.9975186064839363,581632,164.92,284,381,0.0018812573,0.82522094,0.06547852,0.42370588,0.005492066,581632
72.97,1516.0970766544342,0.9975749680306762,583680,161.63,285,385,0.0017192789,0.26184648,0.09086914,0.42408484,0.007449288,583680
70.1,1521.4133005142212,0.9977765241637826,585728,158.36,286,363,0.0018695442,0.5568011,0.056396484,0.4184876,0.005151994,585728
70.42,1527.0527911186218,0.9987635922152549,587776,157.52,287,403,0.00040264186,0.20212507,0.10664062,0.42159852,0.008408459,587776
71.68,1532.1251554489136,0.998483638628386,589824,158.17,288,378,-0.0009152711,0.41614538,0.074560545,0.42481965,0.0060934294,589824
71.49,1537.5350074768066,0.9989781907061115,591872,157.25,289,423,0.001251342,0.15994222,0.103466794,0.42595154,0.009080921,591872
73.04,1542.3763744831085,0.9985426147468388,593920,158.57,290,397,-0.0021532695,0.29533607,0.11210938,0.43565091,0.008787829,593920
68.9,1547.5317375659943,0.998545901151374,595968,154.44,291,373,-0.00041531437,0.391414,0.07724609,0.4422384,0.0061060702,595968
68.42,1553.010447025299,0.9979414567351341,598016,154.13,292,382,0.00255712,0.3350022,0.07895508,0.4394977,0.0064106025,598016
73.29,1558.3643922805786,0.9980190319474787,600064,158.33,293,375,9.879732e-05,0.4945355,0.0959961,0.44047672,0.0074892165,600064
71.46,1563.8234236240387,0.9981135614216328,602112,157.34,294,431,-0.002598068,0.40545577,0.083740234,0.44572693,0.0068843104,602112
68.9,1568.5674936771393,0.9979115962050855,604160,156.08,295,369,0.00076393853,0.36919242,0.086035155,0.45230976,0.00715328,604160
68.9,1574.1048736572266,0.9982757772086188,606208,155.77,296,378,-0.00044160482,0.3539813,0.084375,0.4483357,0.0070197233,606208
68.73,1579.5205273628235,0.997883737552911,608256,156.45,297,399,0.0024880092,0.33757716,0.08964844,0.44614697,0.0076316097,608256
67.28,1584.646398305893,0.9988101981580257,610304,155.46,298,357,0.00073319237,0.27251986,0.047949217,0.4519914,0.004329789,610304
68.4,1590.3843705654144,0.9989933841861784,612352,156.77,299,403,0.0014014076,0.20488775,0.09121094,0.45203608,0.0072877617,612352
70.17,1595.4599459171295,0.9992390428669751,614400,158.37,300,431,0.0005524814,0.1660055,0.054736327,0.4512689,0.0044572046,614400
67.49,1600.2125554084778,0.9995196815871168,616448,156.27,301,427,0.0016000329,0.0837114,0.09443359,0.44959712,0.00737302,616448
71.12,1605.0100219249725,0.9979565227404237,618496,159.04,302,397,0.0014271392,0.71709913,0.07324219,0.43945614,0.006130427,618496
69.53,1610.1640157699585,0.99851253349334,620544,157.25,303,387,-0.0034185655,0.24172509,0.107617185,0.43988457,0.007948815,620544
70.95,1615.4459948539734,0.9992961268872023,622592,157.99,304,350,-0.00051215134,0.15921807,0.11416016,0.4435497,0.009429048,622592
73.56,1621.284982919693,0.999248806387186,624640,159.24,305,341,0.0017891073,0.14544661,0.097509764,0.43597072,0.0076385117,624640
72.72,1627.2874562740326,0.9988223962718621,626688,157.6,306,399,0.00254829,0.22108662,0.11772461,0.4274293,0.009522829,626688
69.8,1632.4188301563263,0.9984666443197057,628736,154.24,307,411,0.003501737,0.24335606,0.097558595,0.41433558,0.0080986265,628736
71.73,1637.3996217250824,0.9958129674196243,630784,155.35,308,383,0.0017484352,1.2013975,0.11557617,0.40488204,0.009594709,630784
69.77,1642.7365789413452,0.9981872246135026,632832,152.95,309,386,-0.0054553174,0.19743763,0.12719727,0.4068212,0.01035277,632832
68.29,1648.0344231128693,0.9993235479923896,634880,150.4,310,394,-0.001796402,0.14327523,0.1203125,0.41372353,0.0099220555,634880
70.03,1653.2269332408905,0.9982655365020037,636928,152.3,311,370,0.0012964748,0.3366676,0.09140625,0.4164125,0.007437045,636928
69.32,1658.7540712356567,0.9985149594722316,638976,152.04,312,342,0.0030037698,0.3469055,0.04741211,0.42117673,0.004192212,638976
71.9,1664.7294256687164,0.996857887133956,641024,154.92,313,398,-0.00093242247,1.0772575,0.07998047,0.41896397,0.006124323,641024
71.53,1669.8728613853455,0.9990125932963565,643072,154.52,314,384,-0.00020203537,0.15892644,0.09711914,0.41752905,0.007893781,643072
67.89,1675.1945497989655,0.9968790314160287,645120,151.43,315,384,-0.0020677962,0.46650356,0.096191406,0.42919928,0.007827037,645120
