fps,value_loss,explained_variance,total_timesteps,policy_loss,serial_timesteps,time_elapsed,n_updates,ep_len_mean,ep_reward_mean,approxkl,policy_entropy,clipfrac
232,8.787355,0.9930211585015059,194560,-0.0021123055,194560,691.4191699028015,95,697.78,669.8659883,0.002395385,2.3891664,0.018945312
168,13.568136,0.8835526406764984,196608,-0.00024987137,196608,700.2150948047638,96,717.56,689.0315757100001,0.0026862617,2.3787127,0.02866211
224,8.500569,0.9879929339513183,198656,-0.002568834,198656,712.3430280685425,97,728.56,699.65787431,0.004871301,2.3837,0.061865233
203,21.042995,0.3838428258895874,200704,-0.0014686289,200704,721.4494948387146,98,748.25,718.8594023999999,0.0034874945,2.4066386,0.03852539
182,11.530269,0.6806901693344116,202752,-0.000352043,202752,731.518385887146,99,755.66,726.00260235,0.0018574425,2.417045,0.016308594
311,24.077824,0.5571729838848114,204800,-4.867724e-05,204800,742.7195889949799,100,771.74,741.4853272099999,0.0018209517,2.4245026,0.014941406
307,12.924115,0.7634914517402649,206848,-0.008792749,206848,749.3051028251648,101,782.32,751.64956202,0.0062929117,2.4412875,0.08427735
274,9.824533,0.7046770453453064,208896,-0.0002717894,208896,755.9751198291779,102,787.46,756.5582677300001,0.0025576581,2.459706,0.022802735
289,15.365125,0.6825080811977386,210944,-0.00057570165,210944,763.4451217651367,103,806.7,774.8720202899999,0.0014501822,2.4632735,0.011767578
306,16.028267,0.18830657005310059,212992,-0.0029268463,212992,770.5098078250885,104,821.93,789.5670165600001,0.0056893686,2.4606545,0.06865235
310,16.331451,0.00942927598953247,215040,-0.000121351724,215040,777.1995368003845,105,838.14,805.5056656600001,0.0015845917,2.4599907,0.012988281
316,16.26978,0.10836827754974365,217088,-9.196358e-05,217088,783.7951507568359,106,851.61,818.55676933,0.0027732954,2.4634774,0.025585938
311,10.686467,0.5789062082767487,219136,-0.0015339617,219136,790.2656810283661,107,864.7,831.2383238200001,0.00256633,2.4703062,0.0234375
314,10.828352,0.6824453473091125,221184,0.00031432186,221184,796.840491771698,108,878.73,844.5236880799999,0.0019407909,2.4829507,0.015576172
320,7.8670473,0.7886231243610382,223232,-0.006722591,223232,803.349093914032,109,890.53,855.9407901100001,0.0034944986,2.4895234,0.031347655
306,14.400393,0.1827404499053955,225280,-0.00022391943,225280,809.7329938411713,110,902.5,867.61053053,0.0034229555,2.5025525,0.034960937
320,13.5477295,0.25547802448272705,227328,-0.0012422993,227328,816.4069998264313,111,914.74,879.4226201500001,0.0019895174,2.511937,0.019921875
305,5.716526,0.8802027180790901,229376,-0.005694292,229376,822.8077449798584,112,926.55,890.9023552099998,0.00330817,2.5186422,0.035253905
312,15.730431,0.015834927558898926,231424,0.0009492398,231424,829.5042130947113,113,940.67,904.7346749899999,0.003021694,2.5226312,0.026953125
304,11.806139,0.5090803802013397,233472,-0.0065373955,233472,836.0516591072083,114,954.65,918.3878610799999,0.009161153,2.514992,0.11787109
303,16.097017,0.02331322431564331,235520,-0.001553481,235520,842.7691910266876,115,967.38,930.9518246399999,0.004634809,2.522293,0.052978516
308,13.059959,0.42301690578460693,237568,-0.002229127,237568,849.5136280059814,116,979.26,942.5011588899999,0.004573719,2.529613,0.049951173
305,16.04601,0.027293920516967773,239616,-0.0012132956,239616,856.1554040908813,117,992.35,955.53661156,0.0026298515,2.5236557,0.029736329
311,16.552944,-0.009373664855957031,241664,-0.0016798651,241664,862.854621887207,118,1007.23,970.1764960200001,0.0027931104,2.534493,0.030761719
307,13.956746,0.2824297547340393,243712,-0.0009243178,243712,869.4367458820343,119,1020.54,983.1130097500001,0.0030934997,2.5458484,0.02993164
302,15.12631,0.15097743272781372,245760,-0.002966055,245760,876.1038610935211,120,1033.91,996.2607213800001,0.0029317248,2.5368292,0.028173828
305,8.4758215,0.8288812339305878,247808,-0.0041561564,247808,882.8717589378357,121,1046.73,1008.6763848200003,0.004212262,2.5394378,0.049707033
303,15.891615,0.09435063600540161,249856,-0.0005258272,249856,889.5741608142853,122,1059.89,1021.7055912700001,0.0014561637,2.5527756,0.011523438
303,7.33489,0.8941014856100082,251904,-0.005296427,251904,896.3174548149109,123,1065.39,1027.00522328,0.0015922308,2.5586536,0.013671875
302,12.857374,0.4873191714286804,253952,-0.0006521047,253952,903.0646181106567,124,1079.44,1040.91434727,0.002601699,2.5600975,0.02631836
303,17.271122,0.014361977577209473,256000,9.565798e-05,256000,909.8467798233032,125,1092.43,1054.11631895,0.0033050023,2.5673633,0.031396486
302,11.857776,0.5191234350204468,258048,-0.0050988784,258048,916.6103219985962,126,1101.65,1063.2612961999998,0.004700912,2.5801904,0.055859376
304,7.7203894,0.8526238799095154,260096,-0.0004571241,260096,923.3874387741089,127,1106.53,1067.9252096999999,0.0023012005,2.5950704,0.017675782
301,18.082865,-0.0017539262771606445,262144,-0.00027860267,262144,930.1193649768829,128,1120.02,1081.45629007,0.0013639798,2.598418,0.005859375
302,18.07333,-0.000958561897277832,264192,-0.0011711946,264192,936.9037449359894,129,1134.69,1096.1692678999998,0.0032169535,2.598527,0.031445313
302,12.390571,0.5295166075229645,266240,-0.00092520064,266240,943.6835579872131,130,1148.72,1109.86296844,0.002792044,2.613642,0.031591795
303,17.174063,0.08202779293060303,268288,-0.0024199304,268288,950.451388835907,131,1162.53,1123.4624316799998,0.0048306156,2.6299164,0.06088867
302,18.08611,0.025119781494140625,270336,-0.0015267341,270336,957.2110018730164,132,1177.62,1138.5540904499999,0.0036761798,2.6404386,0.03881836
296,7.535713,0.8230224698781967,272384,0.00023817815,272384,963.9916670322418,133,1192.61,1153.4453236499999,0.0024313238,2.6510186,0.024365235
303,9.622202,0.9420550316572189,274432,-9.283357e-05,274432,970.9008069038391,134,1207.11,1167.59261348,0.0020955163,2.6577556,0.016064454
304,5.375744,0.9571516625583172,276480,0.0001893212,276480,977.6514918804169,135,1216.78,1177.0065801,0.00095843413,2.6506553,0.0046875
303,4.5886416,0.9567852430045605,278528,-0.0005751181,278528,984.3800950050354,136,1226.56,1186.4207419200002,0.003512824,2.6438506,0.034277342
304,14.797022,0.3888136148452759,280576,-0.001834473,280576,991.1259047985077,137,1241.17,1200.88650063,0.0023090034,2.641867,0.023535157
305,17.478619,0.9733244497328997,282624,-0.0005235594,282624,997.8506970405579,138,1251.51,1210.8601917400001,0.0015335601,2.6326585,0.009277344
303,18.929583,0.02903592586517334,284672,-0.0017463655,284672,1004.5475997924805,139,1266.11,1225.5077013,0.005187045,2.627948,0.06538086
303,18.80393,0.10394799709320068,286720,0.0010115542,286720,1011.2985019683838,140,1279.21,1238.68646426,0.0017173454,2.6473107,0.014550781
301,9.932895,0.8218596279621124,288768,-0.0017297557,288768,1018.0444889068604,141,1294.29,1253.4396611900002,0.0016548127,2.6489873,0.011279297
301,16.749483,0.24674344062805176,290816,-0.0017495125,290816,1024.8343098163605,142,1310.46,1269.45221592,0.0033196758,2.657011,0.032128908
302,19.63706,0.00544506311416626,292864,4.3476826e-05,292864,1031.6324858665466,143,1328.44,1287.34845104,0.0022421994,2.6744971,0.023876954
302,19.659472,0.013168811798095703,294912,-0.007937258,294912,1038.4152629375458,144,1343.12,1302.1367210399999,0.0049156374,2.6766417,0.06088867
273,19.044083,0.0743291974067688,296960,-0.0028169174,296960,1045.1808650493622,145,1358.68,1317.4737593299997,0.0051529505,2.674481,0.061328124
255,19.926184,-0.0013535022735595703,299008,-0.0021168804,299008,1052.6775259971619,146,1374.38,1333.2497075799997,0.004795105,2.6788979,0.057958983
262,19.83955,0.007668495178222656,301056,-0.0021473444,301056,1060.6943879127502,147,1390.71,1349.59272537,0.0046268553,2.6935787,0.049707033
285,19.994196,8.130073547363281e-05,303104,9.2571776e-05,303104,1068.5026848316193,148,1405.5,1364.37766654,0.0035679308,2.6969278,0.032177735
287,19.487192,0.029813408851623535,305152,-0.0042552403,305152,1075.6672048568726,149,1423.15,1382.01193949,0.008852452,2.6945279,0.12631837
280,20.056013,-0.008182644844055176,307200,-0.00057617156,307200,1082.7934069633484,150,1438.45,1397.21727433,0.004999275,2.6949577,0.058544923
295,19.995134,0.0011446475982666016,309248,-0.0016480281,309248,1090.0904579162598,151,1452.17,1411.0262347800003,0.002645981,2.7006798,0.023095703
298,17.933002,0.16510677337646484,311296,-0.0019077737,311296,1097.030869960785,152,1469.59,1428.18111496,0.004658219,2.7068307,0.054980468
287,19.157007,0.07585585117340088,313344,-0.0012679497,313344,1103.8951518535614,153,1485.38,1443.6645493400001,0.002379647,2.704954,0.024560547
298,19.314,0.05357658863067627,315392,-0.0021987234,315392,1111.0155849456787,154,1498.21,1456.42516703,0.004402054,2.7055738,0.046142578
297,20.030165,-0.005046963691711426,317440,-0.0013739198,317440,1117.880474805832,155,1514.08,1472.2247313599999,0.0031043855,2.703174,0.033447266
287,19.983313,-0.0019025802612304688,319488,-0.00067673373,319488,1124.7724719047546,156,1527.3,1485.52448544,0.0037799112,2.700811,0.040966798
297,19.984863,0.0014085173606872559,321536,-0.0015025965,321536,1131.8926877975464,157,1543.24,1501.47192331,0.003646064,2.7088683,0.040527344
