fps,explained_variance,policy_loss,n_updates,ep_reward_mean,serial_timesteps,value_loss,policy_entropy,approxkl,total_timesteps,time_elapsed,clipfrac,ep_len_mean
305,0.919958658516407,-0.0014550954,81,58.16,165888,8.944258,0.9716797,0.0027748216,165888,469.7984473705292,0.026660156,213.71
303,0.9301165789365768,-0.002764114,82,57.64,167936,4.712104,0.9671229,0.003436643,167936,476.5074987411499,0.031835936,210.68
322,0.9453255645930767,0.00021754329,83,57.35,169984,4.578882,0.9645219,0.002352944,169984,483.25086092948914,0.020410156,208.68
320,0.9485439993441105,-0.0014851128,84,56.81,172032,3.3605156,0.96342087,0.004310573,172032,489.59737157821655,0.048535157,206.55
327,0.9150795415043831,-0.0012478859,85,57.55,174080,11.307279,0.96642095,0.003002427,174080,495.98404121398926,0.029248048,205.81
321,0.9107445552945137,-0.001121929,86,58.21,176128,8.202293,0.9650707,0.0034916303,176128,502.2473006248474,0.033984374,203.56
305,0.9405480772256851,-0.0006756328,87,56.82,178176,5.040805,0.9597907,0.0025130124,178176,508.62155747413635,0.02241211,202.61
311,0.927514836192131,-0.00091218937,88,58.51,180224,9.955667,0.95890486,0.003010535,180224,515.3234419822693,0.032470703,205.09
300,0.9233983382582664,-0.0013802799,89,59.85,182272,14.710813,0.9638661,0.004207104,182272,521.9029974937439,0.0453125,206.67
296,0.9362090080976486,-0.0008143887,90,63.38,184320,9.44397,0.9619395,0.0037223347,184320,528.7184691429138,0.03754883,209.21
281,0.9444689713418484,0.00026740876,91,63.25,186368,7.4987516,0.9501087,0.0023601626,186368,535.6324269771576,0.020507812,207.9
322,0.9459317214787006,-0.0023543,92,63.19,188416,3.540959,0.9431305,0.0047314945,188416,542.9009575843811,0.05908203,207.05
322,0.9297851398587227,7.149294e-05,93,62.37,190464,5.6940837,0.942499,0.0032322444,190464,549.255006313324,0.030957032,205.78
323,0.9360347092151642,-0.0013338353,94,64.71,192512,11.157463,0.9335264,0.0032944228,192512,555.617045879364,0.032128908,206.4
319,0.9432570859789848,-0.0004253569,95,65.54,194560,6.554934,0.92674494,0.002640502,194560,561.9489321708679,0.025830079,207.43
