explained_variance,serial_timesteps,approxkl,value_loss,ep_reward_mean,n_updates,fps,time_elapsed,policy_entropy,total_timesteps,clipfrac,policy_loss,ep_len_mean
0.998676675488241,399360,0.014118302,0.22501235,67.21,195,411,972.8170146942139,0.58250964,399360,0.14765625,0.0017065501,143.63
0.9983785550575703,401408,0.006866207,0.27358192,64.17,196,413,977.7910556793213,0.5804715,401408,0.087695315,0.002609233,140.61
0.998974394518882,403456,0.0065116473,0.23587266,67.98,197,414,982.751131772995,0.57859254,403456,0.080273435,0.00089402095,144.51
0.9988710908219218,405504,0.012777308,0.12603019,68.63,198,398,987.6963531970978,0.57707494,405504,0.15058593,-0.0014163868,145.19
0.9983431135769933,407552,0.007829627,0.15147774,61.37,199,414,992.8423767089844,0.5986368,407552,0.09414063,0.002941088,138.09
0.9985851666424423,409600,0.0067976573,0.24868274,61.07,200,414,997.7844614982605,0.61368024,409600,0.08500977,-0.0013209786,137.75
0.9982503082137555,411648,0.008652455,0.35899878,62.37,201,414,1002.7279274463654,0.6144788,411648,0.10805664,-0.0014975517,139.01
0.9992504369001836,413696,0.007289174,0.1169513,62.44,202,412,1007.6743838787079,0.6179298,413696,0.092480466,0.0006431754,138.85
0.9986840559868142,415744,0.007974552,0.26405433,63.16,203,411,1012.6396312713623,0.6180464,415744,0.1027832,-0.0012365364,139.33
0.9985730752814561,417792,0.0064287335,0.34153736,61.71,204,412,1017.620857000351,0.61502373,417792,0.07729492,0.003316462,137.64
0.9965895984787494,419840,0.007144574,1.126037,66.05,205,412,1022.5917465686798,0.6028359,419840,0.085351564,0.002981017,141.98
