total_timesteps,value_loss,clipfrac,fps,policy_entropy,serial_timesteps,approxkl,n_updates,explained_variance,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed
208896,2.8270707,0.07011719,326,0.84563667,208896,0.0055890013,102,0.9670151695609093,60.08,-0.0016767826,228.15,643.3213708400726
210944,3.701226,0.025732422,323,0.84952223,210944,0.0025524516,103,0.9557773470878601,58.79,-0.003608323,226.76,649.6074740886688
212992,4.5200944,0.04765625,326,0.8382303,212992,0.0041958867,104,0.9643543772399426,58.51,-0.0019847206,227.04,655.9390065670013
215040,4.1877856,0.030566406,323,0.836098,215040,0.003002975,105,0.9630643501877785,58.61,-0.00089721,227.43,662.2131254673004
217088,5.7781425,0.039013673,321,0.84124786,217088,0.0037162534,106,0.964198537170887,62.15,-0.0015501867,232.21,668.5422916412354
219136,6.9122987,0.030810546,321,0.83147496,219136,0.0030082308,107,0.9441090598702431,63.21,-0.0026413172,232.55,674.9074032306671
221184,6.865847,0.04873047,322,0.82398957,221184,0.004241402,108,0.9470643922686577,65.83,-0.002118343,233.67,681.2713289260864
223232,5.512866,0.037890624,322,0.82537603,223232,0.0035466868,109,0.962876208126545,66.59,-0.0009222866,235.58,687.6199736595154
225280,6.7464166,0.026660156,329,0.8269879,225280,0.0030433054,110,0.9455228038132191,65.14,-0.00035058233,234.5,693.9739592075348
227328,3.5093079,0.059814453,317,0.8316097,227328,0.005141995,111,0.9586171768605709,66.48,-0.0029151605,236.08,700.1911234855652
229376,3.8810303,0.042236328,323,0.83155155,229376,0.004200385,112,0.9669194929301739,68.6,-0.0017589564,240.2,706.640974521637
231424,3.9864323,0.026757812,322,0.8230632,231424,0.0027509595,113,0.9644672386348248,64.91,-0.00058012025,236.45,712.972531080246
233472,5.560103,0.030029297,320,0.8184573,233472,0.0032291966,114,0.9606915861368179,65.45,-0.0027361442,237.09,719.3253061771393
235520,3.2631855,0.019824218,331,0.8074695,235520,0.0022701616,115,0.9728354532271624,66.52,-0.00017843589,238.45,725.7120981216431
237568,4.025299,0.0296875,321,0.80100137,237568,0.0029085753,116,0.9561154246330261,64.89,-0.0011984629,238.67,731.8840820789337
239616,4.1053166,0.07670899,325,0.7929965,239616,0.006010819,117,0.9493259936571121,63.49,-0.0055391053,235.75,738.2608134746552
241664,2.5154674,0.03676758,321,0.7867657,241664,0.0033403374,118,0.9769864343106747,62.37,-0.0006784904,235.05,744.5609586238861
243712,6.367286,0.040527344,322,0.79243547,243712,0.0037654717,119,0.966188196092844,63.52,-0.0009278114,237.73,750.9429321289062
245760,1.2719924,0.036230467,322,0.78727794,245760,0.003579444,120,0.9820481352508068,61.34,-0.0017425546,237.55,757.2956609725952
247808,1.2819993,0.02866211,321,0.7786971,247808,0.0027723783,121,0.9852481354027987,60.52,-0.00016951426,236.16,763.6398215293884
249856,5.4045653,0.058447264,319,0.7756563,249856,0.004999089,122,0.9675290994346142,60.54,-0.0019263529,235.48,770.0165553092957
251904,3.3998153,0.03466797,322,0.77778244,251904,0.0032661762,123,0.9765836969017982,60.4,-0.00046837848,233.42,776.4298253059387
253952,2.306305,0.035839844,323,0.7755474,253952,0.0035540839,124,0.9760346822440624,60.83,-0.0018834412,234.53,782.7903802394867
256000,6.671833,0.038085938,320,0.77032506,256000,0.003528662,125,0.9686367511749268,63.44,-0.0011148185,237.83,789.1270899772644
258048,1.3755057,0.07426758,329,0.7780827,258048,0.005810445,126,0.9847047394141555,62.76,-0.0018992551,237.2,795.5263257026672
260096,1.0836037,0.030712891,326,0.78642166,260096,0.0032067993,127,0.9848511163145304,62.52,-0.0002889208,237.11,801.7347660064697
262144,4.084216,0.020703126,324,0.7820345,262144,0.0023501152,128,0.9746531136333942,63.12,0.00021885475,236.62,808.0179986953735
264192,5.3385286,0.056933593,319,0.7864421,264192,0.0049213734,129,0.9672807790338993,65.91,-0.0017165072,239.96,814.3265414237976
266240,2.2377288,0.060791016,327,0.78700936,266240,0.0050349943,130,0.9744583610445261,62.42,-0.0028838909,234.6,820.7483384609222
268288,4.0360928,0.02368164,323,0.7811409,268288,0.0025953744,131,0.9608964659273624,62.35,-0.0015188229,231.21,827.0043494701385
270336,2.945025,0.02319336,324,0.77713954,270336,0.0023683654,132,0.9732903856784105,61.11,-0.00085450924,229.0,833.345550775528
272384,4.754865,0.032128908,326,0.7773713,272384,0.0029932286,133,0.9664801880717278,58.58,-0.00087692856,225.01,839.6655848026276
274432,1.6561205,0.027685547,322,0.7780811,274432,0.002668925,134,0.9719346798956394,57.97,-0.0013072381,223.64,845.9331738948822
276480,4.2659492,0.044970702,323,0.77105105,276480,0.0040966133,135,0.9740074891597033,58.01,-9.093989e-05,221.24,852.2784881591797
278528,3.4202876,0.065820314,326,0.7595908,278528,0.0057565277,136,0.9644290991127491,54.43,-0.00087309943,217.01,858.6055610179901
280576,2.7603946,0.06728516,331,0.74163103,280576,0.0060043773,137,0.9745093248784542,54.06,-0.0027329032,215.96,864.8887476921082
282624,3.1912644,0.038671874,324,0.7303693,282624,0.0036034908,138,0.9752473887056112,55.07,-0.0015471829,216.56,871.0752367973328
284672,1.9539992,0.059277344,327,0.7319576,284672,0.0049606995,139,0.9765770621597767,53.39,-0.0027305435,213.59,877.3865382671356
286720,1.8201408,0.024804687,320,0.7258848,286720,0.0027605735,140,0.9834044948220253,50.94,-0.00033244689,211.8,883.6335935592651
288768,6.3507314,0.029589843,321,0.71517444,288768,0.0032210413,141,0.9759817719459534,54.03,-0.0024986076,215.82,890.0284643173218
290816,3.7428799,0.051171876,327,0.7101843,290816,0.0043843174,142,0.9796956367790699,59.21,-0.0025870113,219.43,896.4085812568665
292864,3.920459,0.035351563,323,0.70153224,292864,0.003336702,143,0.9835177324712276,60.99,-0.00077732274,220.17,902.6555824279785
294912,2.9865215,0.042919923,322,0.6984136,294912,0.0037972338,144,0.9818612523376942,61.9,-0.00054349675,222.07,908.9884626865387
296960,1.1857586,0.07075195,328,0.7000628,296960,0.0056722537,145,0.982873197644949,62.91,-0.0030786665,222.56,915.3386352062225
299008,4.4346056,0.04472656,326,0.697142,299008,0.0039416337,146,0.9798592571169138,64.99,-0.001795765,223.09,921.58371758461
301056,3.9219794,0.044628907,324,0.6966023,301056,0.0038602464,147,0.9813461545854807,68.3,-0.0016929398,224.69,927.859452009201
303104,5.0870123,0.07299805,327,0.7101654,303104,0.006002835,148,0.9720526486635208,69.73,-0.00095117296,223.45,934.1659913063049
305152,4.7356634,0.052001953,326,0.7126443,305152,0.0042560976,149,0.9769905377179384,70.08,-0.0012711668,222.66,940.4238283634186
307200,6.617959,0.03803711,327,0.69308555,307200,0.0037782765,150,0.9704721570014954,73.81,-0.0013397093,226.05,946.6915559768677
309248,1.0701096,0.040625,329,0.6650671,309248,0.0037191869,151,0.9903064519166946,73.61,-0.0025839203,224.59,952.9484219551086
311296,3.3005397,0.053466797,326,0.6613904,311296,0.0046613994,152,0.9788484312593937,69.96,-0.0028071313,219.51,959.1666088104248
313344,3.763452,0.017431641,323,0.66017187,313344,0.0020828168,153,0.9726547226309776,69.12,-0.001141547,220.01,965.438601732254
315392,3.4694405,0.017138671,328,0.6634139,315392,0.0020902653,154,0.9800846595317125,68.49,0.00013083131,215.92,971.770015001297
317440,2.2073932,0.06455078,332,0.66605324,317440,0.0051143602,155,0.9805109575390816,67.05,-0.0027170936,213.26,978.0125277042389
319488,2.6574545,0.027539063,325,0.6500479,319488,0.0029343474,156,0.9818132650107145,64.6,0.00094555074,210.5,984.1792221069336
321536,4.821349,0.07104492,322,0.6470602,321536,0.0055098385,157,0.9738662224262953,64.21,-0.0024127455,210.7,990.4642362594604
323584,5.4768867,0.03330078,324,0.6548253,323584,0.0030473566,158,0.9777691159397364,64.58,-0.00011623213,211.2,996.8246386051178
325632,1.3289102,0.047265626,324,0.6612756,325632,0.0041711307,159,0.9875943828374147,62.99,0.0005129747,211.35,1003.1410353183746
327680,5.7557793,0.03378906,324,0.6599396,327680,0.0031985964,160,0.9835949763655663,62.94,-0.000919307,210.05,1009.4574649333954
