n_updates,fps,ep_len_mean,explained_variance,time_elapsed,serial_timesteps,policy_loss,ep_reward_mean,clipfrac,total_timesteps,value_loss,policy_entropy,approxkl
82,203,466.44,0.7875854223966599,576.8526148796082,167936,-0.0014362261,448.75214282,0.0045898436,167936,19.861748,2.268177,0.0008233385
83,203,480.36,0.8659579455852509,586.8980858325958,169984,-0.0025904158,462.13611181,0.017480468,169984,15.503664,2.2851796,0.001756743
84,203,493.93,0.8775096759200096,596.9402930736542,172032,-0.0006143878,475.27230807,0.01508789,172032,14.731895,2.3020477,0.00171568
85,205,505.69,0.934066966176033,606.9893958568573,174080,-0.0035225216,486.53451093999996,0.01669922,174080,13.362422,2.3064265,0.0018956866
86,205,514.72,0.8306595683097839,616.9640319347382,176128,-0.005899808,495.31338602999995,0.046923827,176128,15.677954,2.3078458,0.0040267743
87,195,531.23,0.7898646891117096,626.9374949932098,178176,-0.00051466067,511.5146692099999,0.017724609,178176,17.700062,2.3197417,0.002064299
88,266,544.47,0.7867755591869354,637.431382894516,180224,-0.0055710627,524.43752677,0.041992188,180224,19.2469,2.3237932,0.0038564731
89,280,553.59,0.9077062383294106,645.1062619686127,182272,-0.0034166127,533.3394928100001,0.03769531,182272,12.570589,2.330368,0.0031919652
90,281,562.1,0.9142450094223022,652.4095768928528,184320,-0.0035470508,541.75736094,0.035351563,184320,12.11923,2.339409,0.0032930977
91,283,570.46,0.6510477960109711,659.6844589710236,186368,-0.000491345,549.83680635,0.015673827,186368,18.435482,2.3477714,0.0016186109
92,274,583.93,0.919917032122612,666.9161329269409,188416,-0.0030711005,562.93633478,0.023583984,188416,10.36155,2.34052,0.0025457935
93,287,595.39,0.9234402030706406,674.3860337734222,190464,-0.0017119112,574.1946925,0.022607422,190464,9.827278,2.3519702,0.0021852448
94,287,609.46,0.94585882127285,681.522579908371,192512,-0.0026986036,588.0066333,0.040039062,192512,8.777795,2.365266,0.003374891
95,286,613.43,0.9376433417201042,688.6421658992767,194560,-0.0030536822,591.81626106,0.038916014,194560,8.074292,2.3721428,0.003650371
96,286,624.27,0.9600790366530418,695.7836349010468,196608,-0.00069974957,602.4274285199999,0.016455078,196608,8.011857,2.379837,0.002248462
97,293,641.45,0.9489117227494717,702.9237229824066,198656,-0.00385922,619.0543491100001,0.023535157,198656,7.9463973,2.3863964,0.0024006478
98,289,654.42,0.9645610600709915,709.9008538722992,200704,-0.0022312005,631.53664477,0.008886719,200704,7.7752166,2.3897004,0.0014817385
99,285,655.45,0.9646760821342468,716.9818649291992,202752,-0.0040019588,632.42404569,0.031689454,202752,6.7293267,2.3995414,0.0027282664
100,291,675.1,0.9615231230854988,724.1643898487091,204800,-0.003485985,651.24609285,0.026953125,204800,8.022845,2.408513,0.0026143084
101,286,679.05,0.9650873020291328,731.2065999507904,206848,-0.0039913594,654.95423993,0.02368164,206848,5.92472,2.3991718,0.0024665096
102,292,694.41,0.9634474702179432,738.3677299022675,208896,-0.0021350342,669.4132439599999,0.012402344,208896,7.184569,2.4005923,0.0019149935
103,286,715.53,0.9139783903956413,745.3622031211853,210944,-0.0043475786,689.7689133600002,0.039160155,210944,8.586673,2.3917177,0.0038877942
104,290,718.8,0.9239346534013748,752.5220987796783,212992,-0.00520826,693.07140342,0.02446289,212992,6.2965074,2.3924575,0.0027795455
105,292,741.26,0.9268027022480965,759.5823929309845,215040,-0.004172443,714.6631038499999,0.012109375,215040,8.0567875,2.4030843,0.0014711764
106,284,751.84,0.7852165848016739,766.576379776001,217088,-0.0003704552,724.9043345299999,0.01225586,217088,8.431568,2.4089262,0.0016318744
107,231,765.79,0.6893425285816193,773.7859089374542,219136,-0.0023989195,738.41936216,0.020068359,219136,10.131079,2.4174457,0.0021748682
108,282,781.19,0.01180112361907959,782.6217539310455,221184,-0.001276976,753.7064302200001,0.033154298,221184,16.179033,2.4253504,0.0036554714
109,283,797.9,0.1120004653930664,789.8644678592682,223232,-0.00038753595,769.8571329800002,0.014013672,223232,14.794626,2.4313924,0.0016326606
110,286,809.36,0.9152628779411316,797.0906810760498,225280,-0.0031886944,780.65505689,0.03466797,225280,6.0212994,2.4350815,0.003598179
111,284,826.94,-0.00017178058624267578,804.2325389385223,227328,-0.00048017091,797.83743793,0.01928711,227328,16.23568,2.4290187,0.0022847971
112,282,843.55,-0.0015960931777954102,811.425206899643,229376,0.0003894109,814.22065951,0.0026855469,229376,16.328285,2.4251342,0.001005824
113,287,860.19,0.2135227918624878,818.6855280399323,231424,-0.005216206,830.4382770599998,0.042089842,231424,14.19649,2.439797,0.0036909934
114,289,866.64,0.5353476405143738,825.8086597919464,233472,-0.0011780307,836.3868779899999,0.019580077,233472,18.7048,2.4635956,0.0019018365
115,289,880.19,0.5480371415615082,832.8901789188385,235520,-0.00012971506,849.5302318299998,0.014404297,235520,10.713647,2.4735897,0.0017974486
116,296,881.59,0.7477743327617645,839.9688949584961,237568,-0.002505726,850.9320865199999,0.015576172,237568,9.817916,2.4735594,0.0018196807
117,286,891.35,0.9466725587844849,846.8711159229279,239616,-0.005759231,860.4776039099999,0.032080077,239616,3.1045072,2.4937212,0.0030557313
118,286,902.32,0.02424490451812744,854.0132420063019,241664,-0.0030330322,871.3002886499997,0.04638672,241664,13.955215,2.5230598,0.0041853497
