ep_reward_mean,policy_loss,total_timesteps,policy_entropy,explained_variance,n_updates,approxkl,ep_len_mean,serial_timesteps,time_elapsed,clipfrac,value_loss,fps
67.84,-0.0029292344,368640,0.43073946,0.9890074795112014,180,0.007752312,280.46,368640,1119.7112300395966,0.093164064,1.4445922,329
67.41,-0.00040946327,370688,0.44380292,0.9913581674918532,181,0.005650451,280.98,370688,1125.9249448776245,0.061083984,0.9909955,335
66.77,-0.0012570738,372736,0.45839825,0.9740760084241629,182,0.0050009447,282.16,372736,1132.0325713157654,0.05629883,4.006669,327
63.87,-0.0017975947,374784,0.4658328,0.9831108525395393,183,0.0069723865,278.98,374784,1138.2929372787476,0.08510742,1.5715293,330
61.72,-0.0008501974,376832,0.47119278,0.9754706732928753,184,0.004290857,276.86,376832,1144.4905412197113,0.04560547,1.379319,332
61.89,-0.0049624676,378880,0.48346385,0.9880905877798796,185,0.0067953416,278.68,378880,1150.6591036319733,0.08706055,2.7087262,324
61.02,0.00010812264,380928,0.48895496,0.9706105869263411,186,0.0065805623,277.89,380928,1156.969012260437,0.08134766,2.4519837,331
60.27,-0.0025318027,382976,0.47899032,0.9946585665456951,187,0.0076750545,275.82,382976,1163.145471572876,0.0909668,0.5896274,337
57.97,-0.0010841781,385024,0.47817713,0.989929586648941,188,0.0049150633,272.33,385024,1169.2093784809113,0.058447264,0.48514384,331
59.11,-0.00039928593,387072,0.4725396,0.9934226628392935,189,0.0040457807,273.4,387072,1175.38249874115,0.0418457,1.0383903,329
61.84,-4.4419598e-05,389120,0.4632461,0.9889229815453291,190,0.003410342,276.56,389120,1181.607807636261,0.038134765,1.6473672,329
61.41,-0.0009317085,391168,0.45717835,0.9868751084432006,191,0.00499116,276.3,391168,1187.8298015594482,0.05810547,3.893819,327
64.1,-0.0019866074,393216,0.45202366,0.9920442458242178,192,0.0061277836,278.89,393216,1194.0887792110443,0.074804686,1.8807783,330
63.58,-0.0032671527,395264,0.46194276,0.9864691942930222,193,0.0040271813,279.49,395264,1200.2931394577026,0.043359376,1.1092343,333
63.27,-0.00086902734,397312,0.4715692,0.9789275657385588,194,0.0060258145,279.04,397312,1206.4369850158691,0.07216797,1.7840395,335
62.56,-0.002209667,399360,0.47088867,0.9904644088819623,195,0.0040029865,279.27,399360,1212.5523936748505,0.045898438,1.469106,330
64.53,0.00016276732,401408,0.4581922,0.9861357286572456,196,0.0048202295,280.96,401408,1218.7438144683838,0.054003906,1.0936373,333
65.69,-0.0014366414,403456,0.44393787,0.9923106413334608,197,0.0051907348,282.84,403456,1224.885807275772,0.0637207,1.1884859,335
67.63,0.0008062169,405504,0.4357428,0.991112232208252,198,0.004392249,284.99,405504,1230.994348526001,0.051708985,1.7474775,332
67.58,-0.0008662574,407552,0.4350297,0.9879289595410228,199,0.004787593,284.84,407552,1237.163158416748,0.059814453,2.3351476,323
66.4,9.478297e-05,409600,0.44306594,0.9768941439688206,200,0.0048677637,284.66,409600,1243.486473083496,0.059033204,0.78851104,333
65.56,-0.0006536172,411648,0.43719873,0.9855957264080644,201,0.0047134757,286.74,411648,1249.632969379425,0.05292969,1.8700365,327
65.04,-0.0014249377,413696,0.42714936,0.974801417440176,202,0.0042877756,288.81,413696,1255.8954887390137,0.052734375,1.2792996,326
65.84,-0.0019126066,415744,0.43100947,0.9938278193585575,203,0.0052456013,289.65,415744,1262.16956949234,0.06293945,1.2119577,327
65.88,-0.0013928155,417792,0.4218329,0.9933497379533947,204,0.0046449197,288.75,417792,1268.4261379241943,0.05180664,1.1931638,333
