time_elapsed,n_updates,ep_len_mean,value_loss,fps,policy_entropy,clipfrac,ep_reward_mean,serial_timesteps,policy_loss,approxkl,total_timesteps,explained_variance
398.7880389690399,72,435.11,26.842297,310,1.9568208,0.012158203,404.92591534999997,147456,7.122844e-05,0.0015059924,147456,0.6949275434017181
405.3795440196991,73,433.87,20.65401,298,1.9559578,0.039794922,403.69504974999995,149504,-0.0026635888,0.0034552547,149504,0.7478333115577698
412.24018120765686,74,441.92,17.986107,303,1.9611237,0.037890624,411.48426042999984,151552,-0.0022356927,0.0034157243,151552,0.9442696496844292
418.99468779563904,75,452.25,16.779308,303,1.9623768,0.027880859,421.1506302099999,153600,-0.002723383,0.0030731661,153600,0.9633259437978268
425.74791049957275,76,469.02,21.689915,306,1.9797264,0.050732423,437.1850387,155648,-0.005301823,0.004104592,155648,0.04311370849609375
432.42354130744934,77,470.58,14.807317,309,1.9961128,0.022070313,438.61045283000004,157696,-0.0013481479,0.002381521,157696,0.9371896460652351
439.04096698760986,78,466.72,17.195454,297,1.9951731,0.007861328,435.15655830000003,159744,-0.0014395316,0.001293215,159744,0.8976877555251122
445.9168360233307,79,465.36,14.538286,312,1.9978797,0.03691406,433.74664321000006,161792,-0.0031003845,0.0034698374,161792,0.9212625697255135
452.4633991718292,80,473.73,12.0190525,304,2.0015502,0.029345702,441.45958539,163840,-0.0029176343,0.0028867233,163840,0.9552756771445274
459.1975293159485,81,484.17,19.089046,310,2.002059,0.01303711,451.04614819999995,165888,-0.0015049467,0.0014330754,165888,0.8306128829717636
465.792781829834,82,490.48,16.476318,315,2.0080142,0.044628907,456.92724645999994,167936,-0.005402423,0.004040196,167936,0.8468632996082306
472.2886769771576,83,494.3,12.835279,308,1.9977554,0.01850586,459.91571942,169984,-0.0020007906,0.002319754,169984,0.9291364178061485
478.9389181137085,84,507.17,12.732174,310,1.9868939,0.019873047,472.06024753,172032,-0.0030593507,0.002230759,172032,0.9587864801287651
485.5444746017456,85,521.29,13.876089,305,2.0061078,0.027539063,485.89527268,174080,-0.0022656093,0.0026876663,174080,0.9392612837255001
492.24131536483765,86,530.98,14.729268,308,2.0265782,0.019335937,494.62218586999995,176128,-0.003324917,0.0020715878,176128,0.8726058006286621
498.87384033203125,87,544.47,10.2294035,304,2.0177073,0.026464844,507.59292913999997,178176,-0.003406807,0.0027785976,178176,0.9662390202283859
505.5915892124176,88,553.36,10.674619,308,2.0141788,0.02055664,516.2175537700001,180224,-0.0017473061,0.0024325917,180224,0.9468105621635914
512.241204738617,89,573.08,12.501306,308,2.033738,0.056347657,534.70743764,182272,-0.008387986,0.004963837,182272,0.9031918942928314
518.8831958770752,90,582.19,9.611885,305,2.067516,0.031982422,543.2459819200001,184320,-0.0046291808,0.0029585247,184320,0.9642270393669605
525.5936944484711,91,591.79,15.584613,307,2.0875125,0.016748047,552.32540167,186368,-0.0020724996,0.0018027391,186368,0.8487527817487717
532.2611374855042,92,602.22,16.477951,313,2.0944993,0.026757812,562.17973475,188416,-0.0008561909,0.0026791072,188416,0.80802321434021
538.7883865833282,93,609.54,12.015566,305,2.1075444,0.026464844,569.55948517,190464,-0.0023795746,0.0026632752,190464,0.8953217193484306
545.5000531673431,94,626.28,21.858288,311,2.1110845,0.025976563,585.5275712199999,192512,-0.0031997315,0.002696952,192512,0.693147748708725
552.0811545848846,95,638.72,8.9336605,302,2.1106296,0.026416015,597.52704937,194560,-0.0030626473,0.0026809522,194560,0.9740438908338547
558.8445248603821,96,644.48,9.055172,306,2.0976837,0.034521483,602.75594667,196608,-0.004766743,0.0034222044,196608,0.9606010466814041
565.5322017669678,97,669.41,10.123222,306,2.0967176,0.015771484,626.77933879,198656,-0.0005223548,0.0017298849,198656,0.9425850510597229
572.2165095806122,98,684.97,9.535977,304,2.1070964,0.045214843,641.63549877,200704,-0.0058327257,0.0038415354,200704,0.9362951442599297
578.9432678222656,99,698.76,7.3265457,306,2.122622,0.0715332,654.5596906,202752,-0.006153964,0.005447525,202752,0.9276267290115356
585.6267476081848,100,709.71,10.50454,315,2.1528957,0.030517578,664.77571813,204800,-0.0009974194,0.0026017383,204800,0.604402631521225
592.1283535957336,101,731.67,7.4539957,307,2.158397,0.010205078,685.4615792,206848,-0.0006556989,0.0016588084,206848,0.9754866324365139
598.7851626873016,102,744.21,6.8940773,307,2.156136,0.023486327,697.0724453200002,208896,-0.0015224878,0.0024655978,208896,0.8995010033249855
605.4373829364777,103,757.53,6.515878,306,2.1607223,0.005126953,709.7721608200002,210944,-0.00041363863,0.0010863356,210944,0.9552133195102215
612.1281242370605,104,772.88,4.2755566,302,2.1556659,0.018847656,724.3782357900002,212992,-0.00073060207,0.0021233966,212992,0.9789562560617924
