serial_timesteps,policy_entropy,total_timesteps,ep_reward_mean,ep_len_mean,policy_loss,clipfrac,fps,approxkl,n_updates,explained_variance,value_loss,time_elapsed
219136,2.4933407,219136,926.78143215,988.3,-0.0014503279,0.013818359,300,0.001610415,107,0.8254922181367874,10.7568245,697.7099380493164
221184,2.4963593,221184,931.60856453,993.84,-0.00074047653,0.008154297,300,0.0010606488,108,0.8367467075586319,14.132048,704.5384740829468
223232,2.5005004,223232,935.7420944599997,998.96,-0.0028268509,0.050732423,305,0.0039743455,109,0.9214588478207588,7.957235,711.3651328086853
225280,2.5103955,225280,922.70019648,985.86,-0.0024868469,0.02109375,313,0.0020556967,110,0.6207216680049896,25.970648,718.0674426555634
227328,2.5133328,227328,934.8187943600001,999.01,-0.0019194866,0.019482423,304,0.0023638983,111,0.8236887156963348,7.7403955,724.5946941375732
229376,2.5033255,229376,936.19999579,1000.75,-0.0027259297,0.021923829,298,0.0024415678,112,0.9157624617218971,5.7232084,731.3302366733551
231424,2.5010781,231424,949.5473927099999,1014.56,-0.0008832404,0.039746094,304,0.0036864833,113,-0.0010082721710205078,15.236204,738.2015228271484
233472,2.5103533,233472,959.3989852299998,1025.15,-0.0044340855,0.05522461,313,0.0046136817,114,0.0825350284576416,15.256182,744.937549829483
235520,2.5262985,235520,972.85252272,1039.86,-0.005087488,0.033154298,302,0.003396516,115,0.46803170442581177,10.515637,751.4798383712769
237568,2.548318,237568,983.1832178899999,1051.14,-0.003193215,0.04399414,301,0.0035771895,116,0.015213847160339355,14.886487,758.2456858158112
239616,2.5654492,239616,997.6189542,1066.56,-0.00037531328,0.0440918,304,0.0034513813,117,-0.0002446174621582031,15.059656,765.0349049568176
241664,2.5767217,241664,1010.5279455599999,1080.1,-0.00363958,0.09145508,302,0.006884391,118,-0.019786953926086426,15.307256,771.7577657699585
243712,2.5830064,243712,1026.0943351800001,1096.8,-0.0011601401,0.03461914,318,0.0032519526,119,0.08656799793243408,53.086174,778.5366652011871
245760,2.6096158,245760,1024.71798252,1096.04,-0.002062874,0.04121094,315,0.003607078,120,0.44094616174697876,39.686646,784.9630715847015
247808,2.6370027,247808,1030.02345401,1101.77,-0.0047143423,0.018115234,305,0.0020547104,121,0.3486664891242981,12.760392,791.4488942623138
249856,2.6419208,249856,1037.8911764600002,1110.18,-0.0030198437,0.02368164,309,0.0024155893,122,0.188571035861969,26.557888,798.1621494293213
251904,2.6546178,251904,1028.78548037,1100.96,-0.0017739839,0.016210938,321,0.0018411301,123,0.43912243843078613,41.416237,804.7857601642609
253952,2.6663115,253952,1019.6159053,1091.62,-0.00040194896,0.021240234,311,0.0023712718,124,0.1271144151687622,28.632782,811.1598742008209
256000,2.674102,256000,1026.2103497800001,1098.81,-0.0014995463,0.019140625,310,0.0021712766,125,0.4169812798500061,30.243729,817.7420241832733
258048,2.6869345,258048,1028.3471125499998,1100.87,-0.00028579947,0.03491211,304,0.0035532205,126,0.18446964025497437,14.4071455,824.3354260921478
260096,2.6927965,260096,1041.63382647,1114.22,-0.0020715964,0.04248047,302,0.0037371733,127,-0.02159750461578369,15.84518,831.0650210380554
262144,2.6891036,262144,1051.11261382,1124.09,-0.0020477527,0.040722657,307,0.0033668582,128,0.07765442132949829,14.960228,837.8279097080231
264192,2.6998708,264192,1057.3971918099999,1131.11,-0.0009954667,0.012792969,313,0.0014523532,129,0.11011862754821777,28.231451,844.4861710071564
266240,2.713654,266240,1071.44249967,1145.54,-0.003332137,0.025488282,306,0.0026329574,130,0.5131915807723999,15.86904,851.0305788516998
268288,2.7134697,268288,1072.79385449,1146.85,-0.0048546074,0.05239258,309,0.004349644,131,0.7110120356082916,9.416659,857.7234201431274
270336,2.7227266,270336,1085.7765243200001,1160.85,-0.0017110028,0.034277342,299,0.0033335178,132,0.3567275404930115,11.33723,864.3413872718811
272384,2.7215786,272384,1103.6048047499999,1180.25,-0.002709825,0.02993164,303,0.0029184187,133,0.6914038956165314,20.205242,871.1839654445648
274432,2.7208045,274432,1114.7973802299998,1192.13,-0.001174111,0.031542968,298,0.002792736,134,0.07330447435379028,15.270416,877.9414472579956
276480,2.7343743,276480,1131.2429879899998,1209.53,-0.0021571827,0.039941408,300,0.0035272413,135,0.10122328996658325,15.439013,884.8026170730591
278528,2.7363057,278528,1142.8374169099998,1221.14,-0.00074877933,0.010693359,301,0.0012840431,136,-0.0002930164337158203,16.497942,891.6268365383148
280576,2.7422836,280576,1155.74665363,1234.86,-0.0003717728,0.008007812,302,0.0011769817,137,0.01666390895843506,16.399422,898.4332795143127
282624,2.7516437,282624,1167.21640448,1247.15,-0.00023886046,0.02084961,303,0.0022032498,138,0.07563954591751099,16.155127,905.2011706829071
284672,2.7654338,284672,1175.21996519,1255.08,-0.0017116985,0.03666992,303,0.0032413858,139,0.017526984214782715,16.352491,911.9397304058075
286720,2.774185,286720,1189.70683966,1270.12,-0.0010050893,0.006982422,303,0.0014914297,140,-0.012442946434020996,16.68856,918.6822776794434
288768,2.7799275,288768,1203.38760204,1284.61,-0.0014394596,0.0453125,307,0.0037992224,141,0.005065202713012695,16.805363,925.4282717704773
290816,2.787466,290816,1213.65316181,1295.33,0.0005556274,0.013134765,305,0.0017630007,142,-0.019243955612182617,17.166786,932.0921740531921
292864,2.7899292,292864,1226.42926838,1308.65,-0.007991725,0.058935545,301,0.00459765,143,0.017139136791229248,16.887646,938.800833940506
294912,2.7959962,294912,1240.5784513,1323.48,-0.0009793573,0.008203125,303,0.0013347168,144,0.0030498504638671875,17.342999,945.6063232421875
296960,2.7841601,296960,1254.77975469,1337.87,-0.0017610401,0.017822266,304,0.002292019,145,0.20596003532409668,14.791204,952.3583691120148
299008,2.7757442,299008,1270.42302461,1354.28,-0.0012158356,0.01694336,303,0.0019049968,146,0.03183239698410034,17.265642,959.0858917236328
301056,2.7764335,301056,1282.26226606,1366.32,-8.8389286e-05,0.017675782,308,0.0018612441,147,-0.022246718406677246,17.625027,965.82657289505
303104,2.7794023,303104,1290.41215117,1374.85,-0.00060899125,0.014404297,303,0.0020175155,148,0.13163167238235474,16.095297,972.4740881919861
305152,2.7804008,305152,1298.86922815,1384.02,-0.0011956111,0.04042969,298,0.00378996,149,-0.0015631914138793945,17.604086,979.2221932411194
307200,2.782308,307200,1312.1425468300001,1397.92,-0.0009588925,0.037353516,305,0.0033183056,150,0.014671266078948975,17.575365,986.0912525653839
309248,2.791222,309248,1314.8555892800002,1400.65,-0.00023422934,0.0036132813,306,0.0007931307,151,-0.00447535514831543,17.64895,992.7909970283508
