value_loss,policy_entropy,ep_reward_mean,fps,time_elapsed,explained_variance,total_timesteps,serial_timesteps,n_updates,policy_loss,clipfrac,ep_len_mean,approxkl
6.1483355,1.1376173,59.97,379,451.08119225502014,0.9308530539274216,174080,174080,85,-0.0029642533,0.064453125,221.8,0.0058984486
7.499511,1.1309278,61.58,362,456.4790894985199,0.9308645874261856,176128,176128,86,-0.00036716653,0.035742186,224.73,0.003435328
1.2603104,1.1328998,62.07,378,462.1245617866516,0.9691442064940929,178176,178176,87,-0.004225912,0.06547852,226.36,0.0053895786
5.7913604,1.1293131,61.8,357,467.53811717033386,0.939831331372261,180224,180224,88,-0.0014976069,0.03701172,227.04,0.003468922
6.236644,1.1299601,62.37,372,473.26514887809753,0.9346790984272957,182272,182272,89,-0.0008834704,0.032421876,229.46,0.0033537906
12.967781,1.12519,66.93,360,478.7673840522766,0.9295025691390038,184320,184320,90,-0.0016977184,0.039941408,235.38,0.0039012586
10.988345,1.1131226,66.54,355,484.44253277778625,0.9246957302093506,186368,186368,91,-0.0020720798,0.035839844,238.94,0.003553075
4.284161,1.1088495,64.4,381,490.2044131755829,0.9486701861023903,188416,188416,92,-0.000104149025,0.03149414,238.44,0.002920394
6.8193026,1.1120048,65.87,353,495.5683813095093,0.9404723607003689,190464,190464,93,-0.0035635703,0.05698242,242.79,0.005092637
3.0302022,1.0994036,65.07,362,501.36341738700867,0.9504078291356564,192512,192512,94,-0.0008764986,0.04111328,245.61,0.003715864
5.2288737,1.0933535,62.13,375,507.0204427242279,0.9379587881267071,194560,194560,95,-0.0019673854,0.038085938,246.11,0.003522437
1.8743212,1.0909047,60.93,370,512.4810705184937,0.944189790636301,196608,196608,96,-0.00066117937,0.053857423,245.62,0.0045993747
2.766835,1.0798732,59.19,368,518.0087502002716,0.9603524804115295,198656,198656,97,-0.003463439,0.043017577,244.09,0.0039690295
4.814078,1.0757763,57.73,389,523.5715658664703,0.9354749917984009,200704,200704,98,-0.00089097524,0.02993164,243.56,0.0028544888
3.225254,1.0724779,57.81,382,528.8246405124664,0.9546961411833763,202752,202752,99,-0.0016016703,0.039257813,246.18,0.0037738439
2.3679786,1.0473062,56.62,352,534.1757552623749,0.9603293314576149,204800,204800,100,-0.002855809,0.049560547,246.16,0.004683058
8.79338,1.0255165,57.55,365,539.9816720485687,0.9427404664456844,206848,206848,101,-0.0036742496,0.06928711,246.15,0.006017912
8.903261,1.0326436,56.61,375,545.5922660827637,0.9410287514328957,208896,208896,102,0.00023756115,0.03178711,247.01,0.0028377043
4.8730917,1.0547305,56.17,385,551.0416011810303,0.9533142559230328,210944,210944,103,-0.0003000105,0.0690918,246.65,0.0056190467
7.5701942,1.0599104,57.64,389,556.3505122661591,0.949867807328701,212992,212992,104,-0.0044387393,0.05581055,249.14,0.0050032446
1.1949226,1.0561706,57.33,390,561.6111450195312,0.9797917362302542,215040,215040,105,-0.0023040092,0.059326172,249.6,0.005212878
4.012759,1.0538623,57.53,380,566.8539175987244,0.9658709168434143,217088,217088,106,-0.0004856768,0.031982422,250.14,0.0031700928
10.510567,1.0567532,62.87,377,572.2435076236725,0.9544941075146198,219136,219136,107,-0.00078206614,0.035302736,255.4,0.0031312245
5.7054625,1.061027,64.74,394,577.67249584198,0.9648498222231865,221184,221184,108,-0.0014636099,0.0519043,257.13,0.004441803
2.5480084,1.0589745,65.67,383,582.86021733284,0.9682768024504185,223232,223232,109,-0.0019631775,0.03696289,259.56,0.0036089574
3.711306,1.0524131,67.09,398,588.202912569046,0.9679329618811607,225280,225280,110,-0.0028177663,0.057177734,261.24,0.0049293595
6.7804976,1.0395901,69.41,382,593.3375101089478,0.9534237459301949,227328,227328,111,-0.004064666,0.06015625,264.36,0.0052108355
4.196047,1.0317976,71.33,358,598.6915833950043,0.9647153466939926,229376,229376,112,-0.002274219,0.03959961,266.34,0.0035887272
1.1075143,1.0262533,70.79,402,604.401792049408,0.9805655349045992,231424,231424,113,-0.0010042539,0.042919923,265.74,0.0036384594
2.0925086,1.0265496,69.2,398,609.4956805706024,0.9755334258079529,233472,233472,114,-0.00023663518,0.036230467,264.82,0.0033078124
1.1394722,1.0274255,67.32,384,614.6409664154053,0.9804774429649115,235520,235520,115,-0.0020777923,0.06977539,262.24,0.0058526355
3.7017264,1.0170872,66.66,405,619.9751830101013,0.9656326957046986,237568,237568,116,8.5641725e-05,0.05805664,262.31,0.004903135
1.560232,1.0146351,63.81,386,625.0258164405823,0.9613119773566723,239616,239616,117,-7.620096e-05,0.023486327,259.45,0.0025620474
1.2943275,1.0152725,63.49,366,630.3273887634277,0.9769678171724081,241664,241664,118,-0.0008588896,0.04453125,259.43,0.004069123
4.158005,1.0077999,61.03,388,635.9232413768768,0.9723197761923075,243712,243712,119,-0.002752381,0.050390624,258.09,0.004645849
4.883464,0.9888895,61.54,407,641.2002427577972,0.9656366817653179,245760,245760,120,0.0011224084,0.032080077,259.68,0.0034765664
3.5930603,0.96755856,59.61,392,646.230432510376,0.9727312996983528,247808,247808,121,0.0005472241,0.024267578,258.15,0.0028993974
5.6002746,0.956983,62.37,397,651.4521367549896,0.9597084075212479,249856,249856,122,-0.0008599177,0.036132812,263.98,0.0036362796
2.2723784,0.9602032,61.45,384,656.6078479290009,0.9702486898750067,251904,251904,123,-0.001976801,0.04526367,264.15,0.0039847707
1.606052,0.9576335,60.45,361,661.929972410202,0.9816412627696991,253952,253952,124,0.0009801851,0.035107423,263.99,0.0033549857
2.5824444,0.9575952,60.42,369,667.5900120735168,0.9759061634540558,256000,256000,125,0.00043346832,0.014941406,264.94,0.0019422977
1.707052,0.96233433,59.82,370,673.1379408836365,0.9767367746680975,258048,258048,126,-0.0016386304,0.087646484,266.09,0.0068634846
2.04872,0.96322453,60.78,368,678.6602244377136,0.9829298332333565,260096,260096,127,-0.0003919963,0.05629883,267.78,0.004883024
2.622828,0.9641553,62.02,399,684.220502614975,0.9780681002885103,262144,262144,128,-9.276665e-05,0.04082031,269.74,0.0037885148
5.363272,0.96212816,64.68,374,689.3468418121338,0.9681056216359138,264192,264192,129,-0.0009114252,0.045214843,273.23,0.0039370623
0.68421733,0.9577349,64.34,386,694.8111934661865,0.9883040124550462,266240,266240,130,-0.001322158,0.058398437,273.93,0.0048017236
0.2866002,0.9574006,64.95,376,700.1154696941376,0.9941414068453014,268288,268288,131,-0.000756884,0.07314453,276.32,0.0059195873
2.9938056,0.96308565,63.82,349,705.5509126186371,0.9724106378853321,270336,270336,132,-0.0009129291,0.044433594,275.61,0.0040132822
2.266077,0.9576143,63.48,368,711.4066917896271,0.9822321310639381,272384,272384,133,6.803729e-05,0.0171875,276.67,0.0021868881
0.8621255,0.93795425,60.61,410,716.9646003246307,0.9833399299532175,274432,274432,134,-0.0013205727,0.04560547,273.72,0.0042971773
1.5912416,0.92051315,59.76,396,721.9494662284851,0.9814041219651699,276480,276480,135,-0.0010512357,0.06738281,271.03,0.005667894
4.149642,0.9192651,61.29,371,727.110023021698,0.9777455255389214,278528,278528,136,-0.0014429054,0.037158202,271.32,0.0035057436
0.9269748,0.91792077,60.63,401,732.6306111812592,0.9859862495213747,280576,280576,137,-0.0010469706,0.049902342,270.47,0.0041884766
1.3202459,0.9132196,61.62,382,737.7314257621765,0.9886826938018203,282624,282624,138,-0.0022609853,0.046240233,270.74,0.0042370865
2.3581505,0.9004738,60.49,379,743.0893433094025,0.9744077697396278,284672,284672,139,-0.00068026956,0.046191406,267.72,0.003923291
1.6000183,0.9060298,58.89,392,748.4905350208282,0.9675876051187515,286720,286720,140,-0.0006699105,0.051953126,265.89,0.0043055904
1.5812767,0.9159525,58.65,369,753.7093214988708,0.9845219505950809,288768,288768,141,2.723193e-05,0.030957032,264.51,0.0029637055
1.4582288,0.9040251,55.65,391,759.2589075565338,0.9800627771764994,290816,290816,142,0.0008457535,0.053857423,260.18,0.0048353905
3.7147388,0.8877491,58.11,359,764.4856333732605,0.9780423007905483,292864,292864,143,-0.0013790133,0.06665039,261.79,0.0056385063
1.8319314,0.88407767,58.31,394,770.185112953186,0.9855606174096465,294912,294912,144,-0.0016705053,0.0675293,260.79,0.0054103574
0.77061,0.873182,60.07,397,775.3823466300964,0.9911158783361316,296960,296960,145,-0.0017674171,0.056152344,259.37,0.004803638
1.3808701,0.86098003,59.97,416,780.541478395462,0.9887314569205046,299008,299008,146,-0.0055002132,0.09272461,257.34,0.007665243
1.8315525,0.8504027,60.69,352,785.4608497619629,0.9832285828888416,301056,301056,147,-0.0014257354,0.064257815,256.0,0.0050881156
1.7246611,0.856027,59.23,391,791.2718784809113,0.9874559864401817,303104,303104,148,0.00052348827,0.050195314,253.63,0.0048856996
3.2305787,0.86486083,61.02,396,796.5061798095703,0.9844850217923522,305152,305152,149,-0.0008278818,0.03173828,253.2,0.002940657
1.6142986,0.8710638,61.78,372,801.6746351718903,0.9880983736366034,307200,307200,150,-0.0018887615,0.054052733,253.08,0.0045940573
0.8271554,0.86380565,62.34,407,807.1788990497589,0.9884731443598866,309248,309248,151,-0.004868499,0.07094727,251.61,0.0058044232
0.79892117,0.8542722,61.6,390,812.2022113800049,0.9907877435907722,311296,311296,152,5.154815e-05,0.038623046,250.58,0.0036027774
2.2936487,0.850763,62.06,399,817.4489874839783,0.9877857938408852,313344,313344,153,0.00046962447,0.05366211,249.09,0.004681381
2.608454,0.8496895,64.37,356,822.581033706665,0.9832128062844276,315392,315392,154,-0.0023599654,0.07851563,247.94,0.005990211
0.9853142,0.8396842,62.15,406,828.3227243423462,0.9879697915166616,317440,317440,155,-0.002546263,0.038964845,244.2,0.0040171295
1.1876875,0.829305,61.18,366,833.364245891571,0.9826590809971094,319488,319488,156,0.000799286,0.053710938,242.38,0.0045810584
1.2495401,0.83103734,60.79,371,838.959445476532,0.9870900809764862,321536,321536,157,-0.0014433124,0.043164063,242.82,0.0038569416
0.9066905,0.83171433,60.27,386,844.4749855995178,0.9924999424256384,323584,323584,158,0.00081226754,0.03466797,242.71,0.0030792807
1.0260854,0.83070374,61.35,380,849.7722086906433,0.9932530228979886,325632,325632,159,-0.0006422726,0.039111327,244.85,0.0037197745
2.4926915,0.8296549,60.14,382,855.1528432369232,0.9830759409815073,327680,327680,160,0.0003359969,0.04350586,243.82,0.0042737317
0.924813,0.83110744,58.21,387,860.5078740119934,0.9926654323935509,329728,329728,161,-0.0023814053,0.06567383,242.78,0.0052480963
0.8654792,0.8315172,57.1,394,865.8003096580505,0.9891850426793098,331776,331776,162,-0.00041058223,0.030126953,242.45,0.0029172176
0.86974657,0.83404505,57.49,381,870.9993977546692,0.9932966958731413,333824,333824,163,-0.0049951663,0.05214844,244.57,0.004538811
2.8516595,0.82510173,59.64,375,876.3657174110413,0.9857721403241158,335872,335872,164,-0.000712023,0.039404295,246.41,0.0037129037
0.83830565,0.8222243,58.9,381,881.816269159317,0.9927662531845272,337920,337920,165,6.4991924e-05,0.05263672,246.71,0.004460273
0.98303986,0.81842184,57.54,389,887.1868252754211,0.9921282473951578,339968,339968,166,0.00022648608,0.06391601,247.25,0.005505306
0.8338979,0.8034612,57.71,397,892.4470040798187,0.9939637235365808,342016,342016,167,0.0009860407,0.046191406,247.73,0.004310874
0.8540541,0.79487723,57.44,420,897.5991923809052,0.9915064182132483,344064,344064,168,-2.8345476e-05,0.055419922,248.47,0.004993816
1.9174639,0.7855679,59.55,385,902.4682419300079,0.9895779546350241,346112,346112,169,-0.0015821063,0.044628907,250.02,0.0041413475
0.96463585,0.7790762,61.29,376,907.7849988937378,0.9933766941539943,348160,348160,170,-0.0003285276,0.06367187,251.45,0.005489801
0.58499944,0.7758733,58.43,414,913.2203977108002,0.9901443850249052,350208,350208,171,0.00078534306,0.042285156,248.22,0.003927989
1.0162705,0.7719153,60.03,393,918.1634755134583,0.9940980421379209,352256,352256,172,-9.091989e-05,0.027441407,249.13,0.0027648737
3.148799,0.77551526,61.23,392,923.3631818294525,0.9812988694757223,354304,354304,173,0.0008350987,0.033691406,249.79,0.00325832
0.58017886,0.7900432,60.77,403,928.5838105678558,0.9893945008516312,356352,356352,174,0.00094783155,0.046240233,248.55,0.0039859614
0.61369115,0.8083662,60.39,371,933.657947063446,0.9929797300137579,358400,358400,175,-0.0013018872,0.0496582,246.91,0.0042343317
1.3480246,0.80869865,61.34,332,939.1691234111786,0.9933211854659021,360448,360448,176,0.00070194545,0.035351563,247.71,0.003546528
1.8106334,0.80222785,63.17,379,945.3249652385712,0.9880726486444473,362496,362496,177,-0.002340208,0.06948242,249.5,0.0055983732
1.7946455,0.79998,62.49,395,950.7288417816162,0.9878213498741388,364544,364544,178,0.00031182525,0.042529296,247.75,0.004026656
1.6640062,0.78929704,62.41,392,955.9138255119324,0.9883762691169977,366592,366592,179,-0.0009803843,0.0296875,246.61,0.0032091767
1.7243904,0.7714565,64.14,350,961.1271860599518,0.9912135852500796,368640,368640,180,-0.003141035,0.047607422,247.41,0.0041882945
3.1662612,0.75627327,62.8,395,966.9762468338013,0.9862941559404135,370688,370688,181,0.00023239227,0.05102539,245.68,0.0045470716
0.95310915,0.744873,62.65,376,972.151328086853,0.9938168134540319,372736,372736,182,-0.00081908645,0.04194336,244.12,0.0037565485
1.3687689,0.7423017,66.36,400,977.5993773937225,0.9919396787881851,374784,374784,183,-0.0011485267,0.07758789,247.55,0.006565865
1.7653582,0.74122727,66.4,400,982.7141528129578,0.9920320101082325,376832,376832,184,-0.00063928694,0.046435546,247.03,0.004255169
0.8981698,0.7339549,63.69,387,987.8283665180206,0.9906899770721793,378880,378880,185,0.0010740611,0.028710937,242.61,0.0029160623
1.1527791,0.72546875,65.75,416,993.112699508667,0.9903598045930266,380928,380928,186,-0.00016864939,0.02993164,243.56,0.0030201473
1.1973964,0.7252152,64.51,384,998.0370843410492,0.9811192061752081,382976,382976,187,-0.00070094067,0.06279297,242.43,0.0053158654
0.9010375,0.72463644,62.6,404,1003.3717668056488,0.9926705649122596,385024,385024,188,-0.0010367876,0.030664062,240.35,0.0032110114
