serial_timesteps,ep_reward_mean,fps,value_loss,time_elapsed,n_updates,policy_loss,clipfrac,policy_entropy,ep_len_mean,total_timesteps,explained_variance,approxkl
294912,580.9937372700001,257,19.839613,2046.307584285736,144,-0.00052120443,0.01826172,1.6112884,749.91,294912,0.06623601913452148,0.0019656124
296960,597.76010178,361,19.686903,2054.270300388336,145,-0.0029516811,0.040478516,1.6133324,768.74,296960,0.058310747146606445,0.0036413292
299008,607.94164011,210,22.081837,2059.932400226593,146,-0.0015877623,0.047607422,1.6145799,780.43,299008,0.09415990114212036,0.004066627
301056,618.0481501500001,311,21.573406,2069.6506571769714,147,-0.003036061,0.04799805,1.6193155,791.88,301056,0.2545716166496277,0.004040625
303104,634.42604653,311,19.09733,2076.2357432842255,148,-0.0021273412,0.03803711,1.6276029,810.75,303104,0.17084211111068726,0.0033742965
305152,652.30658662,272,21.871853,2082.8019454479218,149,-0.0032627615,0.038085938,1.6444557,830.77,305152,0.20417511463165283,0.003452558
307200,669.02829635,315,18.897795,2090.3171751499176,150,-0.002036125,0.046289064,1.6667154,849.61,307200,0.21729224920272827,0.004144464
309248,695.1457782100001,218,22.093195,2096.8021552562714,151,-0.0026631872,0.04033203,1.6788695,879.09,309248,0.23939627408981323,0.0034984585
311296,711.8390425000001,397,18.691402,2106.1691992282867,152,-0.0030017686,0.03173828,1.6882906,897.93,311296,0.09283560514450073,0.0028758566
313344,728.4968796800001,284,17.210003,2111.325456380844,153,-0.0036372277,0.039453126,1.6953766,916.84,313344,0.2489640712738037,0.0034076958
315392,745.3751704900001,371,17.512115,2118.5136959552765,154,-0.0027965943,0.041064452,1.6955535,935.85,315392,0.19342583417892456,0.004022812
317440,753.86010746,133,38.374928,2124.028072118759,155,-0.0030353875,0.039257813,1.6971972,945.61,317440,0.09781020879745483,0.003271355
319488,758.4698431799999,250,23.217037,2139.317097425461,156,-0.00416327,0.025195312,1.6944199,950.82,319488,0.17665064334869385,0.0025753642
321536,778.49614778,187,26.837719,2147.5069496631622,157,-0.0015705833,0.01669922,1.6875147,973.48,321536,0.2342156171798706,0.0019897697
323584,789.1328721599999,277,23.119057,2158.4090225696564,158,-0.0039988467,0.039501954,1.6791408,985.87,323584,0.18101882934570312,0.0038200025
325632,805.8769116999999,291,16.85123,2165.79522895813,159,-0.0053896345,0.076171875,1.6805454,1004.78,325632,0.23325800895690918,0.0058305976
327680,821.01690358,72,83.12355,2172.8296246528625,160,-0.0049769073,0.04350586,1.6986353,1020.58,327680,0.1885606050491333,0.003722685
329728,803.6949565599998,76,84.301956,2201.062154531479,161,-0.0014449463,0.02602539,1.7152779,998.83,329728,0.1740570068359375,0.0027292434
331776,771.0848601700001,79,70.54651,2227.9786262512207,162,-0.0038913593,0.049365234,1.7294586,959.66,331776,0.2828436493873596,0.004201436
333824,562.81521759,107,53.171623,2253.775953769684,163,-0.0010495516,0.027148437,1.7307873,713.46,333824,0.5185910761356354,0.002863184
335872,429.08288273,119,42.69738,2272.7965581417084,164,-0.0042927274,0.06357422,1.7185662,556.5,335872,0.5954391062259674,0.005013301
337920,303.08909085000005,106,30.794033,2289.8838396072388,165,-0.0012443061,0.021582032,1.705692,412.46,337920,0.6801708042621613,0.0024582695
339968,189.86367443999998,99,29.389893,2309.1348764896393,166,-0.0008593155,0.014697266,1.6955038,283.46,339968,0.7382782697677612,0.0021015857
342016,189.71204979999996,361,18.953701,2329.788088083267,167,-0.0048968084,0.07895508,1.6935087,283.46,342016,0.2470947504043579,0.0063498234
344064,187.96703684000005,177,20.602066,2335.455078125,168,-0.0030758036,0.03666992,1.6983652,281.45,344064,0.6409611403942108,0.0033526428
346112,114.74328914,81,29.360266,2346.969028711319,169,-0.0077689486,0.06958008,1.7250316,198.5,346112,0.7958597987890244,0.0053331587
348160,131.51556279,328,18.791988,2371.9564204216003,170,-0.0023774924,0.04350586,1.7352434,217.7,348160,0.27692586183547974,0.003846902
350208,148.03938179,298,18.023857,2378.199760198593,171,-0.005932351,0.030371094,1.7416414,236.62,350208,0.3649621605873108,0.0031558846
352256,148.94258652,108,34.06791,2385.057472229004,172,-0.0042901267,0.07651367,1.76089,238.38,352256,0.7705673575401306,0.005766414
354304,150.30504646,84,23.622839,2403.999315738678,173,-0.0030327274,0.061669923,1.7874607,240.35,354304,0.8396922796964645,0.005280451
356352,150.01592164000002,142,18.500757,2428.248783826828,174,-0.0012649229,0.021044921,1.8043401,239.84,356352,0.8226256519556046,0.0024997217
358400,166.34562845000005,98,19.371292,2442.6399326324463,175,-0.0034911819,0.022802735,1.8030857,258.85,358400,0.8365027606487274,0.0025913103
360448,166.48079365,317,12.800156,2463.491977453232,176,-0.002729259,0.02236328,1.8007787,259.11,360448,0.8456691205501556,0.0021676668
362496,180.21212263,75,22.68227,2469.9499366283417,177,-0.0017730609,0.026367188,1.7982924,275.23,362496,0.8286167830228806,0.0026769084
364544,196.43814097000003,234,15.396075,2497.1669261455536,178,-0.0036124487,0.023046875,1.799565,294.1,364544,0.7382548153400421,0.0026349898
366592,190.99621304000001,86,18.372765,2505.899367570877,179,-0.0022127987,0.02709961,1.8013598,287.73,366592,0.9024453088641167,0.0028765164
368640,190.93431969999997,261,11.367308,2529.4441187381744,180,-0.0021405555,0.019677734,1.8041029,287.7,368640,0.8545714169740677,0.0021274972
370688,173.19999312,70,19.176672,2537.274858236313,181,-0.0038385515,0.0484375,1.8132007,267.91,370688,0.8788935169577599,0.0042706793
372736,173.25136112999996,155,13.517786,2566.209825515747,182,-0.0018890345,0.023486327,1.8147898,267.99,372736,0.8861871063709259,0.0024368311
