policy_entropy,time_elapsed,serial_timesteps,approxkl,clipfrac,explained_variance,fps,value_loss,policy_loss,ep_reward_mean,n_updates,total_timesteps,ep_len_mean
1.2730192,1598.7080421447754,626688,0.0076811276,0.088134766,0.9743296094238758,391,0.4431025,-0.0047600428,566.8191832800001,306,626688,1022.41
1.2825263,1603.935426235199,628736,0.0063645565,0.07460938,0.9603678062558174,438,0.54677445,-0.0013323592,566.8191832800001,307,628736,1022.41
1.2900589,1608.611848115921,630784,0.0058226855,0.06201172,0.9650925919413567,366,0.5253675,-0.0024745166,566.8191832800001,308,630784,1022.41
1.2913095,1614.1952846050262,632832,0.0045637735,0.05356445,0.9721810389310122,381,0.43162328,-0.004830415,566.8191832800001,309,632832,1022.41
1.2919174,1619.560893535614,634880,0.009890052,0.11049805,0.8240735679864883,395,7.275819,-0.005514118,758.54069858,310,634880,1312.41
1.2919948,1624.7434694766998,636928,0.0055294717,0.063769534,0.981301587074995,404,0.24715707,-0.0046497965,758.54069858,311,636928,1312.41
1.2806485,1629.8097698688507,638976,0.0067469836,0.08339844,0.9804466050118208,369,0.20616248,-0.006483414,758.54069858,312,638976,1312.41
1.2807039,1635.3530662059784,641024,0.0056960518,0.06728516,0.7863822281360626,379,8.493656,-0.008912391,796.2758203600001,313,641024,1369.27
1.2853073,1640.7458612918854,643072,0.006444765,0.07138672,0.980369571596384,424,0.16487409,-0.0038925528,796.2758203600001,314,643072,1369.27
1.2904545,1645.5689260959625,645120,0.0060338634,0.07001953,0.7634258568286896,393,8.676119,-0.0035633934,817.7873687899998,315,645120,1403.28
1.296119,1650.7790994644165,647168,0.0067429976,0.076123044,0.9752605929970741,400,0.25845584,-0.005819996,817.7873687899998,316,647168,1403.28
1.2919133,1655.8910348415375,649216,0.008023912,0.084375,0.9759948588907719,400,0.40100822,-0.006043988,817.7873687899998,317,649216,1403.28
1.2930621,1661.0108437538147,651264,0.0073279953,0.091748044,0.9793177433311939,371,0.65729284,-0.005919081,817.7873687899998,318,651264,1403.28
1.2944951,1666.5218193531036,653312,0.0062656887,0.0690918,0.9814168866723776,413,0.27044988,-0.0034605681,817.7873687899998,319,653312,1403.28
1.2839456,1671.470537662506,655360,0.0062990105,0.0737793,0.9823767971247435,421,0.40975127,-0.0022285976,817.7873687899998,320,655360,1403.28
1.2690928,1676.3337445259094,657408,0.0060601896,0.07060547,0.9838024340569973,378,0.31317872,-0.0047935317,817.7873687899998,321,657408,1403.28
1.2659571,1681.743766784668,659456,0.005201745,0.058789063,0.9882610598579049,383,0.13650793,-0.0029220742,817.7873687899998,322,659456,1403.28
1.2684968,1687.0910506248474,661504,0.0064619794,0.07670899,0.9846699452027678,415,0.18558624,-0.005552615,817.7873687899998,323,661504,1403.28
1.270101,1692.0171122550964,663552,0.0067297025,0.08515625,0.9838101230561733,408,0.2984007,-0.0050777635,817.7873687899998,324,663552,1403.28
1.2719682,1697.0367481708527,665600,0.006153677,0.08081055,0.9864807687699795,372,0.1664916,-0.007105413,817.7873687899998,325,665600,1403.28
1.2699902,1702.5323781967163,667648,0.006333757,0.07695313,0.9577675722539425,416,0.34403223,-0.0036213386,817.7873687899998,326,667648,1403.28
1.2649965,1707.4514381885529,669696,0.0060543,0.06953125,0.976689413189888,374,0.24219581,-0.00515183,817.7873687899998,327,669696,1403.28
1.2592262,1712.9202723503113,671744,0.006285927,0.07470703,0.9829471614211798,375,0.17838065,-0.0056249853,817.7873687899998,328,671744,1403.28
1.2548006,1718.3708171844482,673792,0.0044343905,0.051513672,0.9676696434617043,410,0.35682088,-0.0030070625,817.7873687899998,329,673792,1403.28
1.2519135,1723.3596501350403,675840,0.006465922,0.07524414,0.9853913513943553,413,0.1935307,-0.004321697,817.7873687899998,330,675840,1403.28
1.2476873,1728.3179528713226,677888,0.005591627,0.06518555,0.981586242094636,415,0.25441775,-0.0048513757,817.7873687899998,331,677888,1403.28
1.2437773,1733.2459173202515,679936,0.0073126117,0.08017578,0.972902026027441,391,0.26820377,-0.0065967925,817.7873687899998,332,679936,1403.28
1.2335856,1738.4792935848236,681984,0.005825398,0.0659668,0.9822286069393158,395,0.2890786,-0.003743577,817.7873687899998,333,681984,1403.28
1.2255433,1743.6638073921204,684032,0.0073435446,0.084423825,0.9736728332936764,394,0.34470946,-0.00681623,817.7873687899998,334,684032,1403.28
1.2127396,1748.8585002422333,686080,0.006828257,0.080566406,0.968557458370924,418,0.49787036,-0.0026342194,817.7873687899998,335,686080,1403.28
1.200588,1753.750599861145,688128,0.0059380266,0.06928711,0.9751369338482618,343,0.2836191,-0.0060067666,817.7873687899998,336,688128,1403.28
1.1942409,1759.7156040668488,690176,0.006153007,0.06958008,0.9737014677375555,395,0.24811006,-0.0017747062,817.7873687899998,337,690176,1403.28
1.1949573,1764.8942186832428,692224,0.0097409915,0.10390625,0.8237900286912918,414,8.015247,-0.0012049606,1146.21567086,338,692224,1877.17
1.2002051,1769.8349413871765,694272,0.0065897047,0.07880859,0.9827560484409332,399,0.27732807,-0.004095006,1146.21567086,339,694272,1877.17
1.1866925,1774.9592988491058,696320,0.00677869,0.08520508,0.9808395933359861,425,0.17528866,-0.0040079756,1146.21567086,340,696320,1877.17
1.1819812,1779.7703142166138,698368,0.007758872,0.091552734,0.9819588400423527,380,0.26291373,-0.0036582556,1146.21567086,341,698368,1877.17
1.1834054,1785.1584582328796,700416,0.0064475974,0.07163086,0.98317482881248,417,0.17936394,-0.0032508944,1146.21567086,342,700416,1877.17
1.1714453,1790.0628740787506,702464,0.007625786,0.08671875,0.9847183283418417,375,0.17223088,-0.004447905,1146.21567086,343,702464,1877.17
1.1597016,1795.5109536647797,704512,0.0062492075,0.0725586,0.9701826628297567,422,0.47561282,-0.0062650912,1146.21567086,344,704512,1877.17
1.1409342,1800.3643169403076,706560,0.009852349,0.09887695,0.9594111405313015,406,0.5250864,-0.006131515,1146.21567086,345,706560,1877.17
1.1274204,1805.4023394584656,708608,0.008982575,0.09516601,0.8085398524999619,392,8.803902,-0.008682967,1246.9511513499997,346,708608,2023.62
1.1314356,1810.621779680252,710656,0.00710619,0.08779297,0.9747820887714624,433,0.29539436,-0.0070823496,1246.9511513499997,347,710656,2023.62
1.1205058,1815.345363855362,712704,0.006813342,0.08071289,0.9837244097143412,415,0.27828985,-0.0039088703,1246.9511513499997,348,712704,2023.62
1.1097944,1820.2761261463165,714752,0.0060553583,0.072509766,0.9865195592865348,408,0.10167301,-0.0020174058,1246.9511513499997,349,714752,2023.62
1.0953909,1825.2876241207123,716800,0.008140088,0.0959961,0.9876015465706587,402,0.104297936,-0.009244895,1246.9511513499997,350,716800,2023.62
1.0895171,1830.3748924732208,718848,0.0073485128,0.09125976,0.9784800112247467,405,0.3006719,-0.0068903454,1246.9511513499997,351,718848,2023.62
1.0873467,1835.43070602417,720896,0.0062661013,0.076660156,0.9780379924923182,380,0.3053601,-0.005714593,1246.9511513499997,352,720896,2023.62
1.075989,1840.81587433815,722944,0.006225331,0.07768555,0.9856584826484323,442,0.2150769,-0.003803511,1246.9511513499997,353,722944,2023.62
1.0764449,1845.4472703933716,724992,0.007964604,0.100048825,0.9878541799262166,365,0.17809752,-0.007963517,1246.9511513499997,354,724992,2023.62
1.0763227,1851.0555357933044,727040,0.0060304343,0.072705075,0.9746982138603926,399,0.3003266,-0.007161133,1246.9511513499997,355,727040,2023.62
1.0799978,1856.1883192062378,729088,0.0071438598,0.079394534,0.9528698809444904,346,0.88768137,-0.008664033,1246.9511513499997,356,729088,2023.62
1.0828458,1862.1071331501007,731136,0.0066062002,0.07543945,0.9778541903942823,396,0.33490995,-0.0043076584,1246.9511513499997,357,731136,2023.62
1.0799669,1867.2758920192719,733184,0.008934243,0.09345703,0.977698614820838,405,0.34381434,-0.005905748,1246.9511513499997,358,733184,2023.62
1.0937282,1872.3271267414093,735232,0.007746788,0.09355469,0.9773686844855547,393,0.3934993,-0.0046339375,1246.9511513499997,359,735232,2023.62
1.1181839,1877.5346367359161,737280,0.0071185604,0.08681641,0.967459037899971,341,0.41974387,-0.008139769,1246.9511513499997,360,737280,2023.62
1.1332325,1883.5366215705872,739328,0.006694241,0.07749023,0.9747946280986071,400,0.32143798,-0.005561575,1246.9511513499997,361,739328,2023.62
1.1191003,1888.6529984474182,741376,0.007894045,0.0890625,0.9736705832183361,396,0.5466626,-0.0046729567,1246.9511513499997,362,741376,2023.62
1.108247,1893.8165895938873,743424,0.009549669,0.109716795,0.8050120025873184,407,9.185995,0.0013839032,1490.3173183799997,363,743424,2377.16
1.1160367,1898.8380160331726,745472,0.0075869625,0.08989258,0.7806034088134766,380,10.041736,-0.0054713213,1495.60231389,364,745472,2385.02
