ep_len_mean,total_timesteps,approxkl,ep_reward_mean,policy_loss,fps,policy_entropy,n_updates,explained_variance,time_elapsed,clipfrac,value_loss,serial_timesteps
1188.12,2443264,0.0028349007,910.1477245500001,-0.0009270925,375,4.1964245,1193,0.954141266644001,6525.767230272293,0.027490234,6.4442225,2443264
1195.26,2445312,0.0043428587,917.53867859,-0.00526475,363,4.2028794,1194,0.8422392457723618,6531.222623348236,0.0515625,27.372128,2445312
1215.17,2447360,0.0034862887,935.1669260400001,-0.00392803,366,4.203624,1195,0.8443213254213333,6536.864725112915,0.036035158,17.51298,2447360
1215.48,2449408,0.004452354,937.16015386,-0.003282606,355,4.181698,1196,0.8572886288166046,6542.456119060516,0.04477539,18.239948,2449408
1232.01,2451456,0.0023292094,947.0938059100001,-0.0031575249,376,4.1779156,1197,0.6582716107368469,6548.210494756699,0.02709961,16.255287,2451456
1242.63,2453504,0.0037062329,958.2135459399999,-0.0045519723,354,4.1781807,1198,0.8293736726045609,6553.653211355209,0.04091797,17.597696,2453504
1245.13,2455552,0.0034471687,959.1741151199999,-0.00473515,388,4.1776094,1199,0.9126118496060371,6559.436846256256,0.03305664,14.54714,2455552
1227.98,2457600,0.002788966,944.23539286,-0.001918057,379,4.18573,1200,0.9002337530255318,6564.715124845505,0.030908203,25.569828,2457600
1242.93,2459648,0.002836131,956.80253088,-0.0031546846,383,4.1903143,1201,0.8271684348583221,6570.119571208954,0.027490234,19.730644,2459648
1181.49,2461696,0.003395027,901.7552837399999,-0.0046138684,404,4.1895494,1202,0.5467083156108856,6575.458475828171,0.03720703,43.301968,2461696
1105.01,2463744,0.002202827,837.9167008299999,-0.0017097477,407,4.196888,1203,0.6045760214328766,6580.519707202911,0.025,40.937897,2463744
1105.01,2465792,0.004800425,837.6195249,-0.006531935,354,4.214316,1204,0.8538922816514969,6585.5499839782715,0.058300782,17.578835,2465792
1091.35,2467840,0.0041907504,826.3569453499999,-0.006268973,366,4.225513,1205,0.9568807408213615,6591.333490848541,0.047802735,5.4451137,2467840
1082.1,2469888,0.0031791304,818.6955197899999,-0.001261065,375,4.232912,1206,0.8985429927706718,6596.923130750656,0.035058595,21.344063,2469888
1044.58,2471936,0.0022030198,785.1638810800001,-0.0038312157,410,4.243431,1207,0.8326384425163269,6602.3771142959595,0.024169922,35.726532,2471936
1051.92,2473984,0.002372284,791.4595136100002,-0.0025856264,376,4.2415714,1208,0.82644122838974,6607.366080999374,0.02470703,19.158321,2473984
1069.85,2476032,0.0038296897,807.55678505,-0.0052178293,375,4.239152,1209,0.8330706208944321,6612.811579942703,0.047509767,18.960587,2476032
1069.85,2478080,0.002615042,806.9484408600001,-0.002484638,388,4.241561,1210,0.8260077387094498,6618.272046804428,0.028857421,19.299137,2478080
1069.85,2480128,0.0034569618,806.2513751600001,-0.003308881,353,4.242829,1211,0.8365255147218704,6623.546389102936,0.03330078,18.2115,2480128
1076.07,2482176,0.0014393367,809.3240474400002,-0.0021315855,372,4.2447844,1212,0.7253697216510773,6629.334186553955,0.011669922,19.838568,2482176
1073.74,2484224,0.003850992,808.79511734,-0.0042073536,369,4.241887,1213,0.8688462376594543,6634.83206987381,0.044287108,22.579641,2484224
