time_elapsed,serial_timesteps,ep_len_mean,ep_reward_mean,policy_loss,value_loss,clipfrac,n_updates,fps,policy_entropy,approxkl,explained_variance,total_timesteps
1294.0687472820282,542720,170.14,89.22,0.00036197522,0.46841946,0.12456055,265,435,0.3931955,0.010591766,0.9977627543266863,542720
1298.775485277176,544768,169.7,88.12,-0.008183284,0.9754375,0.09726562,266,436,0.38576335,0.0075372816,0.9967030908446759,544768
1303.468903541565,546816,164.86,82.83,-0.0015495645,0.5937274,0.08916016,267,437,0.3839369,0.0071749315,0.9965026180725545,546816
1308.15518784523,548864,164.71,83.36,0.00028012512,0.93180543,0.07333984,268,433,0.38713795,0.00608073,0.9972263209056109,548864
1312.8774564266205,550912,159.49,78.17,0.002727515,0.47942048,0.09296875,269,441,0.38305637,0.007894963,0.9965488140005618,550912
1317.520895242691,552960,155.57,74.08,0.0007566958,0.5621774,0.09189453,270,434,0.36992484,0.0075284443,0.9980343468487263,552960
1322.2385711669922,555008,157.22,75.97,-0.0068594767,0.4924515,0.11323242,271,438,0.35534537,0.008381834,0.9983197865076363,555008
1326.913155078888,557056,155.06,73.0,0.0018977716,0.96589386,0.07290039,272,437,0.35216162,0.0057927337,0.997589027043432,557056
1331.5945570468903,559104,156.45,74.62,-0.0052871173,0.6620857,0.103125,273,437,0.35858116,0.0083783865,0.998161994619295,559104
1336.2800493240356,561152,156.0,73.95,-0.0014930281,1.3070316,0.089697264,274,435,0.3613528,0.0076885456,0.9943049387075007,561152
1340.9801979064941,563200,160.35,78.04,-0.00020765638,1.0792409,0.119580075,275,430,0.36008248,0.009518701,0.9975216244347394,563200
1345.7472276687622,565248,163.4,81.43,-0.0026572805,1.5187123,0.10473633,276,434,0.35880774,0.008378868,0.9964481634087861,565248
1350.4581818580627,567296,165.49,84.28,-0.0017409691,0.76348037,0.07695313,277,434,0.3581631,0.006213356,0.9964955721516162,567296
1355.1686506271362,569344,167.24,85.93,0.0003208706,1.1819266,0.09233399,278,437,0.36221987,0.0076215575,0.9956029918976128,569344
1359.8536853790283,571392,168.23,86.44,-0.002093241,1.6629915,0.093652345,279,434,0.36795193,0.007475109,0.9942539962939918,571392
1364.5670266151428,573440,162.8,80.22,-0.0029121966,1.9632734,0.10625,280,437,0.37738928,0.008229593,0.990040953271091,573440
1369.2554454803467,575488,163.47,81.45,-3.4511853e-05,1.0300988,0.05883789,281,431,0.37966517,0.004910952,0.9973153017926961,575488
1374.002571105957,577536,166.34,85.54,-3.6270172e-05,1.0333256,0.09038086,282,432,0.38570842,0.007321676,0.9978459912817925,577536
1378.74418592453,579584,165.51,85.41,-0.0024199332,1.3257445,0.07832031,283,433,0.3874555,0.006128658,0.9974561296403408,579584
1383.4709661006927,581632,167.52,86.96,-0.0025129898,1.8646882,0.09506836,284,430,0.38451126,0.008312894,0.9974892348982394,581632
1388.2330627441406,583680,169.48,88.47,-0.0010827013,1.6764643,0.06352539,285,434,0.38708302,0.0052804025,0.9966312909964472,583680
1392.944085597992,585728,175.88,94.53,0.00046872237,2.360314,0.073632814,286,434,0.38899526,0.005943234,0.9945637905038893,585728
1397.6637589931488,587776,181.77,98.53,-0.00030904447,3.6960983,0.07070313,287,428,0.38163716,0.0059275297,0.9934526775032282,587776
1402.4501566886902,589824,186.08,101.05,-0.0003451399,3.852714,0.059277344,288,432,0.38182634,0.004939939,0.9909593341872096,589824
1407.1893937587738,591872,192.99,106.86,0.00036287832,3.879847,0.05131836,289,428,0.3819342,0.0045950124,0.9924344997853041,591872
1411.969971895218,593920,199.0,112.41,-0.0008973459,5.0603533,0.06113281,290,431,0.37818426,0.0052400334,0.9877423457801342,593920
1416.7204039096832,595968,203.4,111.89,0.00061565335,5.2966056,0.059765626,291,433,0.37220663,0.0050868723,0.9863537214696407,595968
1421.4412801265717,598016,205.49,110.02,-7.748871e-06,5.834853,0.059667967,292,429,0.36382303,0.004896466,0.986876929178834,598016
1426.2095000743866,600064,215.84,119.33,-0.0017603294,3.6871066,0.051367186,293,421,0.35346192,0.0044236574,0.9940189216285944,600064
1431.0716817378998,602112,220.87,120.41,-0.0011916306,5.6972084,0.08681641,294,428,0.34913006,0.00754147,0.9884350672364235,602112
1435.8539714813232,604160,225.71,120.55,0.0026428776,7.45837,0.08461914,295,430,0.3554774,0.0068025133,0.9799951463937759,604160
1440.6125614643097,606208,232.32,124.75,-0.0016969461,4.068903,0.085351564,296,423,0.35054606,0.007206387,0.993037008214742,606208
1445.4486784934998,608256,232.88,121.54,0.0023841097,4.0944433,0.10507812,297,430,0.3411303,0.008813439,0.99330267123878,608256
1450.2075307369232,610304,240.29,126.56,0.0014128613,5.8176956,0.030371094,298,428,0.3362407,0.0030506765,0.9875856721773744,610304
1454.9905965328217,612352,234.95,119.64,-0.000534234,4.5965123,0.07880859,299,433,0.32872602,0.006590425,0.9860343635082245,612352
1459.7200281620026,614400,236.99,119.2,-0.0013956414,4.838269,0.101220705,300,433,0.3206698,0.008360219,0.9914792822673917,614400
1464.4482641220093,616448,239.98,117.35,-0.00018698156,5.8933835,0.050048828,301,432,0.31585103,0.0046052434,0.9781007003039122,616448
1469.1855792999268,618496,238.14,115.28,0.00037157992,4.0607786,0.069726564,302,430,0.32011062,0.0058766287,0.9937594272196293,618496
1473.9479281902313,620544,240.91,119.9,-0.0033543564,4.3161125,0.077978514,303,432,0.3283992,0.0064968327,0.9915963979437947,620544
1478.6855254173279,622592,253.9,131.21,-0.010269917,7.5279846,0.11630859,304,416,0.32506254,0.0084258,0.98826262075454,622592
1483.6040573120117,624640,259.6,133.07,-0.004256945,2.965867,0.12036133,305,424,0.3052428,0.010355856,0.9950663805939257,624640
1488.4293322563171,626688,264.86,134.3,-0.0026073167,5.928916,0.04243164,306,418,0.2895421,0.003871641,0.9880106821656227,626688
1493.3195505142212,628736,272.81,135.71,-0.0037009553,3.2680752,0.12016602,307,415,0.27386397,0.009721005,0.9950239849276841,628736
1498.2497899532318,630784,278.43,146.18,-0.0066582924,1.5734826,0.13706055,308,431,0.26656556,0.010606189,0.9976880510803312,630784
1502.9989864826202,632832,286.46,152.76,-0.0021370195,10.099531,0.041308593,309,419,0.26651913,0.0036032374,0.9876490123569965,632832
1507.8881261348724,634880,306.92,171.03,-0.0035775087,9.228894,0.064941406,310,412,0.26578912,0.005655716,0.9860714431852102,634880
1512.8548319339752,636928,306.46,170.53,-0.0100948615,8.644957,0.19438477,311,407,0.2569271,0.015183508,0.9643660597503185,636928
1517.880110502243,638976,341.42,206.13,-0.01058596,3.4262042,0.10410156,312,416,0.2486208,0.008113807,0.9936307673342526,638976
1522.8002455234528,641024,341.42,206.13,-0.0043196953,4.331464,0.15527344,313,412,0.23261218,0.0110715935,0.989964734762907,641024
1527.7662377357483,643072,362.22,226.77,-0.011195282,2.344449,0.13168946,314,412,0.20846942,0.010729877,0.9780273474752903,643072
1532.7310526371002,645120,362.22,226.77,-0.0077239284,1.8071592,0.12578125,315,410,0.17439577,0.009684272,0.8993392884731293,645120
1537.7254631519318,647168,362.22,226.77,-0.022140907,1.1896927,0.2086914,316,409,0.15597913,0.0146017475,0.6109746694564819,647168
1542.7320809364319,649216,362.22,226.77,-0.008615626,0.80228984,0.11606445,317,411,0.12852603,0.00971666,0.7461186945438385,649216
1547.7052743434906,651264,362.22,226.77,-0.0035573088,0.28857106,0.10600586,318,410,0.09852968,0.0085860295,-0.15082037448883057,651264
1552.6905455589294,653312,362.22,226.77,-0.0030279565,0.20056589,0.08540039,319,408,0.07399027,0.006673916,-1.552973985671997,653312
1557.699292898178,655360,362.22,226.77,-0.005888029,0.18770987,0.13046876,320,409,0.052068777,0.010256178,-0.028889060020446777,655360
1562.695927143097,657408,362.22,226.77,-0.018235702,0.17389582,0.23208007,321,412,0.038656343,0.017960165,0.28564876317977905,657408
1567.6627776622772,659456,362.22,226.77,-0.0039066705,0.1275009,0.114550784,322,409,0.028305624,0.008811155,-0.6614841222763062,659456
1572.6674144268036,661504,362.22,226.77,-0.018079,0.10924902,0.22358398,323,412,0.014035875,0.016372746,-0.5315483808517456,661504
1577.6385083198547,663552,362.22,226.77,-0.011992582,0.12558092,0.14521484,324,411,0.0012361075,0.010307608,-0.38496410846710205,663552
1582.6172308921814,665600,362.22,226.77,-0.0029840036,0.066619165,0.14433594,325,414,-0.014100561,0.011844666,0.0057367682456970215,665600
1587.5576145648956,667648,362.22,226.77,-0.0033968557,0.054466862,0.08408203,326,419,-0.034352865,0.007180108,-0.5593504905700684,667648
1592.4424533843994,669696,362.22,226.77,0.0015749764,0.037241243,0.07783203,327,415,-0.05329019,0.006512633,-1.6069669723510742,669696
1597.3764917850494,671744,362.22,226.77,-0.010219648,0.038719922,0.1572754,328,414,-0.06332366,0.011476198,-1.1215882301330566,671744
1602.3196485042572,673792,362.22,226.77,-0.00012208846,0.019642055,0.11054687,329,415,-0.074244864,0.008736958,-1.101959466934204,673792
1607.2502608299255,675840,362.22,226.77,-0.0026610324,0.014312429,0.1272461,330,419,-0.09362392,0.009635671,0.014723122119903564,675840
1612.1315624713898,677888,362.22,226.77,-0.01141016,0.009862853,0.17597656,331,417,-0.108435616,0.013201845,-0.21323096752166748,677888
1617.0376777648926,679936,362.22,226.77,-0.0030410788,0.004757043,0.101416014,332,420,-0.12518351,0.00784271,-0.48733460903167725,679936
1621.9097700119019,681984,362.22,226.77,-0.011004425,0.009003142,0.21230468,333,419,-0.14588013,0.017612683,0.3064514398574829,681984
1626.795538187027,684032,362.22,226.77,-0.004455564,0.0020681252,0.15385742,334,417,-0.16518775,0.012424975,-1.1686930656433105,684032
1631.7010245323181,686080,362.22,226.77,-0.005600134,0.0020270534,0.14340821,335,425,-0.17726141,0.011076563,-0.6339654922485352,686080
1636.516057252884,688128,362.22,226.77,-0.010451152,0.0018280663,0.17939453,336,417,-0.18712421,0.013776558,-2.2526774406433105,688128
1641.4182748794556,690176,362.22,226.77,-0.013322765,0.002295448,0.21225587,337,419,-0.188952,0.016211677,-0.030709147453308105,690176
1646.2959957122803,692224,362.22,226.77,-0.011653614,0.0036557843,0.20629883,338,422,-0.195534,0.01628855,-0.7802934646606445,692224
1651.1455919742584,694272,362.22,226.77,0.0011665488,0.000579135,0.12856445,339,428,-0.21697108,0.0103976205,-1.9701218605041504,694272
1655.9284646511078,696320,362.22,226.77,0.0009855437,0.0005418521,0.10600586,340,424,-0.24774595,0.008555985,-3.0828113555908203,696320
1660.7547869682312,698368,362.22,226.77,0.0019631325,0.0003322483,0.19135742,341,423,-0.2721502,0.01704561,-1.105712652206421,698368
1665.5916955471039,700416,362.22,226.77,-0.0026564617,0.00026856808,0.1640625,342,426,-0.2897858,0.013613015,-0.6160829067230225,700416
1670.4005300998688,702464,362.22,226.77,-0.002631464,0.00063297065,0.22128907,343,420,-0.2976772,0.022424689,-2.029230833053589,702464
1675.2752830982208,704512,362.22,226.77,-0.000302402,0.0009585523,0.1584961,344,425,-0.30767274,0.013464215,-0.5678658485412598,704512
1680.090844154358,706560,362.22,226.77,0.007084398,0.00031979714,0.15952149,345,424,-0.32764062,0.014231955,-2.859030246734619,706560
1684.91264295578,708608,362.22,226.77,-0.008833696,0.00090916606,0.22299805,346,422,-0.3422585,0.019555192,-1.2815518379211426,708608
