n_updates,approxkl,time_elapsed,serial_timesteps,explained_variance,policy_entropy,policy_loss,fps,total_timesteps,ep_reward_mean,ep_len_mean,clipfrac,value_loss
74,0.001843866,482.7076723575592,151552,0.9734271429479122,2.0477068,-0.00244373,304,151552,564.63558357,601.01,0.017675782,12.526599
75,0.0040330584,489.4338493347168,153600,0.8066761791706085,2.058823,-0.0044165263,307,153600,571.07615618,608.29,0.049707033,18.12515
76,0.0026473755,496.1017348766327,155648,0.9586251825094223,2.0606303,-0.0028603245,306,155648,571.77852883,608.82,0.026123047,11.329386
77,0.0031563141,502.78369331359863,157696,0.456468403339386,2.0549283,-0.0031659517,306,157696,572.70160015,610.14,0.029785156,15.956594
78,0.0015296706,509.46528220176697,159744,0.7606351524591446,2.0602095,-0.00092865416,305,159744,588.79692105,626.75,0.012597656,17.782007
79,0.00443553,516.1679666042328,161792,0.9678715355694294,2.0595174,-0.0043482897,306,161792,601.38602027,640.11,0.050146483,10.897695
80,0.0035377636,522.8607535362244,163840,0.7923630923032761,2.0534377,-0.0035330344,305,163840,609.2711047799999,649.35,0.041064452,15.535052
81,0.002821905,529.5627901554108,165888,0.6782233715057373,2.0471513,-0.001830165,304,165888,623.1230046,664.21,0.02578125,16.774382
82,0.004105106,536.2995738983154,167936,0.8006794899702072,2.0497057,-0.0041843215,314,167936,634.65733711,677.01,0.05229492,14.127698
83,0.00413081,542.8108315467834,169984,0.7603242844343185,2.0682862,0.00019015065,317,169984,642.7816215299999,685.95,0.048876952,11.163474
84,0.0016888954,549.2575354576111,172032,0.7402793169021606,2.069979,-0.0012846629,310,172032,656.52971908,701.14,0.0125488285,14.82738
85,0.0019231376,555.8628425598145,174080,0.03746086359024048,2.0740323,-0.0012352426,307,174080,667.8234102399999,713.81,0.016992187,14.987691
86,0.0020225127,562.5154945850372,176128,0.0020496249198913574,2.0734253,-0.0003336835,308,176128,682.3746506599999,729.78,0.017285157,16.269087
87,0.0022401323,569.1599867343903,178176,-0.0036956071853637695,2.06715,-0.0006104011,307,178176,697.73287425,746.18,0.01953125,16.640816
88,0.0035124323,575.8310945034027,180224,0.01701676845550537,2.073298,-0.0019314463,303,180224,713.11659454,762.81,0.042919923,15.8734255
89,0.0033005527,582.5832579135895,182272,0.013224899768829346,2.0947545,-0.0018227116,303,182272,726.2431883300001,776.88,0.03769531,15.805697
90,0.0039197286,589.3280618190765,184320,0.8918721750378609,2.1063452,-0.0042956425,304,184320,733.2925556100002,784.85,0.04711914,8.792118
91,0.003689651,596.0490002632141,186368,0.013098061084747314,2.113314,-0.0013509815,298,186368,743.2270124400001,795.46,0.03881836,15.894208
92,0.003284727,602.9055931568146,188416,0.9225481078028679,2.1256435,-0.0038327866,303,188416,748.66236416,801.35,0.034326173,7.092139
93,0.004512569,609.6606483459473,190464,0.14780372381210327,2.1491113,-0.0010369831,306,190464,761.0633561800001,814.5,0.053222656,14.303058
94,0.0024525155,616.3518445491791,192512,0.07084119319915771,2.1640828,-0.0033333239,309,192512,776.2642726400003,830.79,0.022070313,25.13898
95,0.0030323223,622.9599235057831,194560,0.7505722343921661,2.161745,-0.00096865196,308,194560,785.9876503800001,841.3,0.030517578,8.836806
96,0.0022629926,629.594978094101,196608,0.574808806180954,2.16192,-0.0002685719,310,196608,795.93007603,851.72,0.020947266,15.834852
97,0.00356695,636.2018280029297,198656,0.19289344549179077,2.1576753,-0.0025701015,305,198656,797.26304914,853.03,0.039648436,14.22717
