time_elapsed,clipfrac,explained_variance,value_loss,ep_len_mean,policy_loss,n_updates,fps,policy_entropy,approxkl,serial_timesteps,total_timesteps,ep_reward_mean
2130.306319952011,0.05605469,0.7935279756784439,9.166932,1664.62,-0.0020935624,422,420,2.2839856,0.0049920827,864256,864256,1079.04757838
2135.176567554474,0.058691405,0.6899588406085968,12.264247,1664.62,-0.0031285263,423,403,2.2783866,0.0050831265,866304,866304,1079.2844431800002
2140.25195980072,0.065820314,0.7718252837657928,8.761523,1682.64,-0.0036667683,424,376,2.2818396,0.0052061547,868352,868352,1092.2273673299999
2145.693256855011,0.0734375,0.6949786841869354,13.968946,1682.64,-0.0041603325,425,405,2.2935398,0.006039956,870400,870400,1092.90841202
2150.7466225624084,0.06386719,0.712078332901001,11.997818,1700.7,-0.0043141907,426,409,2.3011818,0.005441002,872448,872448,1105.87358361
2155.7442157268524,0.076123044,0.7942291796207428,9.39234,1700.7,-0.0011094725,427,394,2.3020792,0.0072380453,874496,874496,1107.30497915
2160.939178943634,0.05517578,0.7156493663787842,11.439096,1700.7,-0.0020821092,428,377,2.3086581,0.005522926,876544,876544,1107.5006812200002
2166.3598573207855,0.053710938,0.7775636315345764,9.869892,1718.75,-0.0027996046,429,411,2.3142004,0.0045240927,878592,878592,1120.6202925
2171.332302570343,0.08154297,0.5079469084739685,13.83301,1718.75,6.6953726e-05,430,372,2.3330426,0.0068278187,880640,880640,1121.09604229
2176.8267805576324,0.064208984,0.7966642826795578,10.108843,1721.23,-0.0062991977,431,353,2.339605,0.005832077,882688,882688,1122.9384969500002
2182.6223092079163,0.066992186,0.7403137683868408,9.649221,1739.35,-0.0017869506,432,407,2.328407,0.0057992227,884736,884736,1136.19713743
2187.6498777866364,0.054052733,0.7377198040485382,10.645746,1739.35,-0.003923391,433,379,2.315661,0.004630513,886784,886784,1137.0874436099998
2193.0449318885803,0.03334961,0.7670346796512604,15.586014,1764.04,-0.0021982463,434,411,2.310117,0.0032645098,888832,888832,1155.87864509
2198.022770881653,0.04160156,0.7695946395397186,15.358412,1746.51,-0.00078335433,435,409,2.3093286,0.0038538903,890880,890880,1145.62400516
2203.0222356319427,0.04536133,0.9078044518828392,4.791154,1749.82,-0.003959005,436,418,2.3168852,0.004610087,892928,892928,1148.01126072
2207.917193889618,0.057861328,0.7603429853916168,9.513182,1766.6,-0.0012227173,437,395,2.328622,0.005157198,894976,894976,1161.2037084400001
2213.0935089588165,0.034814455,0.8864445015788078,5.7355366,1766.35,-0.003985617,438,395,2.3295445,0.0032615787,897024,897024,1161.5964963200001
2218.268043279648,0.06137695,0.785463273525238,9.040048,1766.35,-0.0033825748,439,370,2.3162236,0.005050722,899072,899072,1163.0551674300002
2223.7985146045685,0.083300784,0.6943621039390564,11.998556,1782.14,-0.0048167193,440,434,2.3098195,0.0065335482,901120,901120,1175.03413382
2228.5125222206116,0.05180664,0.7484292387962341,16.345428,1781.21,-0.0018766545,441,417,2.3190646,0.004661971,903168,903168,1175.91153522
2233.422206401825,0.08046875,0.770868331193924,9.243165,1795.8,-0.003666242,442,417,2.328823,0.0065023215,905216,905216,1186.9593671
2238.3233003616333,0.06411133,0.8669642060995102,5.6107926,1788.58,-0.0068973564,443,389,2.3358347,0.0054523787,907264,907264,1182.89064054
2243.58359003067,0.058691405,0.7552078813314438,20.779394,1778.61,-0.003117763,444,398,2.3414207,0.005194681,909312,909312,1176.37325591
2248.719256877899,0.039111327,0.7763389050960541,9.879414,1778.61,-0.0013906006,445,401,2.34662,0.0034727952,911360,911360,1178.30106271
2253.8258669376373,0.037841797,0.6969689428806305,13.834453,1778.61,-0.0019389486,446,369,2.3427093,0.0035107278,913408,913408,1179.73642712
2259.37416267395,0.06748047,0.9066020250320435,4.3549423,1763.31,-0.007125359,447,432,2.346815,0.0065798587,915456,915456,1169.76960069
2264.1100556850433,0.0915039,0.6627335548400879,11.880003,1763.31,-0.0033092902,448,394,2.364367,0.007818816,917504,917504,1170.25782385
2269.3076610565186,0.043554686,0.7330298721790314,9.402161,1778.73,-0.0011519929,449,403,2.3764803,0.0038563616,919552,919552,1181.2232557
2274.3882763385773,0.056005858,0.7452443242073059,23.009974,1792.43,-0.0071463026,450,386,2.3809638,0.004782038,921600,921600,1191.43393049
2279.684359073639,0.054736327,0.9094316214323044,4.5112824,1775.77,-0.0026708785,451,417,2.3780816,0.0050132317,923648,923648,1180.32059522
2284.5931322574615,0.09213867,0.6247531175613403,10.348032,1775.77,-0.0015729403,452,391,2.3817344,0.010080281,925696,925696,1181.26661979
2289.825084209442,0.06123047,0.7782828360795975,14.700328,1771.21,-0.0025567077,453,399,2.3919258,0.0049087633,927744,927744,1176.99627547
2294.9496099948883,0.031396486,0.6842188537120819,11.595387,1771.21,-0.0053565456,454,384,2.3957798,0.0030780358,929792,929792,1178.25953614
2300.275650501251,0.05810547,0.6680388152599335,13.402952,1771.21,-0.0035382626,455,432,2.3983195,0.0050169704,931840,931840,1178.8645598499998
2305.011905193329,0.05756836,0.7778429239988327,9.406317,1771.21,-0.001966256,456,406,2.4010403,0.004717556,933888,933888,1179.8023136000002
2310.048135280609,0.064013675,0.6916655004024506,12.939186,1771.21,-0.003469613,457,377,2.401942,0.0056331167,935936,935936,1180.24865538
2315.468926668167,0.052490234,0.7552085518836975,16.725573,1756.96,-0.0031608376,458,408,2.3959954,0.0047001285,937984,937984,1170.8633107300002
2320.4860615730286,0.07211914,0.7383161783218384,9.411271,1756.96,-0.0033924058,459,394,2.4039397,0.0058712205,940032,940032,1171.06818647
2325.68457531929,0.04243164,0.7006073296070099,11.800447,1756.96,-0.0014560648,460,375,2.4093945,0.0036585163,942080,942080,1171.61116145
2331.1358795166016,0.043603517,0.7548677772283554,11.842379,1756.96,-0.0040772473,461,400,2.4011571,0.0046078917,944128,944128,1172.6828812899998
2336.2511785030365,0.043945312,0.8192131221294403,13.068797,1734.98,-0.0034832857,462,386,2.3831835,0.004485653,946176,946176,1157.5718405
2341.5542459487915,0.049316406,0.6994797587394714,11.341553,1734.98,-0.00086030085,463,399,2.3731055,0.004283185,948224,948224,1158.01746029
2346.681702375412,0.031689454,0.7531212568283081,9.069771,1734.98,-0.0026080627,464,425,2.368815,0.0029719318,950272,950272,1158.24824725
2351.4945483207703,0.06987305,0.6277049779891968,13.346019,1734.98,-0.0012191994,465,387,2.3697674,0.0059342915,952320,952320,1157.6573345000002
2356.777641057968,0.07709961,0.7318866848945618,10.213392,1734.98,-0.003638018,466,407,2.3768277,0.006261506,954368,954368,1158.1229112199999
2361.803685426712,0.06147461,0.908257320523262,5.2997184,1718.6,-0.0062863356,467,409,2.3777032,0.005149051,956416,956416,1145.5056300899998
2366.8088710308075,0.0703125,0.7348855137825012,9.4218855,1718.6,-0.0028749218,468,395,2.3766656,0.0059335874,958464,958464,1146.13704053
2371.99396276474,0.043261718,0.7676041573286057,15.781209,1702.4,-0.0023000618,469,401,2.3745666,0.004139746,960512,960512,1135.16301076
2377.096914291382,0.07954101,0.7294254004955292,9.983728,1702.4,-0.0041891667,470,427,2.374998,0.006496012,962560,962560,1134.7465080499999
2381.886735677719,0.05,0.9456697404384613,3.1003,1697.95,-0.004382287,471,388,2.3811321,0.0047002397,964608,964608,1131.85086239
2387.166281938553,0.072753906,0.7844071388244629,10.559874,1697.95,-0.005717581,472,416,2.3837497,0.005945027,966656,966656,1133.5590292200002
2392.084217309952,0.06289063,0.6437259912490845,13.552458,1697.95,-0.0017296292,473,368,2.3807483,0.005581432,968704,968704,1134.7980327300002
2397.6437730789185,0.04575195,0.7907123267650604,15.396177,1684.0,-0.0048494725,474,408,2.3883753,0.004037358,970752,970752,1125.7506658900002
2402.6575770378113,0.040136717,0.8375133723020554,14.381673,1679.33,-0.004200797,475,400,2.4033883,0.003776186,972800,972800,1123.0654145100002
2407.7704792022705,0.05678711,0.7506230175495148,10.442815,1679.33,-0.00369079,476,420,2.405891,0.0049612047,974848,974848,1124.75328895
2412.6415600776672,0.06777344,0.6741108894348145,12.82268,1679.33,-0.008716256,477,422,2.397119,0.01164968,976896,976896,1126.0836666500002
2417.492479324341,0.079882815,0.7164938449859619,12.243451,1694.84,-0.0015223932,478,393,2.3990207,0.007123499,978944,978944,1136.9996401200003
2422.693545818329,0.05654297,0.8085969388484955,13.565829,1678.28,-0.004005598,479,398,2.4079514,0.004728153,980992,980992,1127.1677722700001
2427.8292529582977,0.09448242,0.6322328448295593,10.390987,1678.28,-0.0016842202,480,378,2.4163823,0.008402242,983040,983040,1126.09572269
2433.2480103969574,0.089257814,0.7828150391578674,9.626895,1689.82,-0.004017284,481,378,2.4217947,0.0074492143,985088,985088,1135.34647017
2438.65673327446,0.06435547,0.7040024995803833,13.39918,1689.82,-0.0041326447,482,400,2.4259944,0.005239166,987136,987136,1136.5617111799997
2443.777806997299,0.085839845,0.7048608958721161,9.909464,1689.82,-0.004379437,483,386,2.4221659,0.0070955963,989184,989184,1136.08267495
2449.0795793533325,0.055078126,0.6942191123962402,12.791307,1689.82,-0.0012445132,484,396,2.4294126,0.0052597625,991232,991232,1136.67578802
2454.249655723572,0.06708984,0.7479491233825684,9.749528,1689.82,-0.0011812609,485,398,2.4325747,0.0052469224,993280,993280,1137.2779706499998
2459.388060569763,0.05234375,0.7693759053945541,9.309996,1689.82,-0.0021617655,486,426,2.4262996,0.0044598756,995328,995328,1137.52472704
2464.1954007148743,0.050195314,0.7339195907115936,9.996435,1689.82,-0.0052046455,487,432,2.4174361,0.0044686636,997376,997376,1138.2265535
2468.927523136139,0.04638672,0.9054590612649918,5.191886,1686.4,-0.006383763,488,372,2.4232554,0.004679305,999424,999424,1136.44842714
2474.431531906128,0.045166016,0.7987694144248962,20.132008,1686.24,-0.0075112195,489,393,2.4296098,0.004314953,1001472,1001472,1136.8644342500002
2479.6335320472717,0.07490234,0.5742734670639038,12.598066,1702.87,-0.00066607055,490,415,2.4433591,0.0063351034,1003520,1003520,1147.75251565
2484.562269926071,0.08544922,0.5664865970611572,12.621202,1702.87,-0.0033209615,491,407,2.4569213,0.0075788065,1005568,1005568,1148.0708299100002
