policy_entropy,explained_variance,ep_reward_mean,clipfrac,fps,ep_len_mean,time_elapsed,approxkl,n_updates,serial_timesteps,policy_loss,value_loss,total_timesteps
1.7720274,0.18835413455963135,126.85158717000002,0.034277342,425,208.43,1598.1484024524689,0.0031985515,123,251904,-0.0033891846,21.949213,251904
1.7771833,0.7832220494747162,141.69644151,0.042041015,123,224.52,1602.9656467437744,0.0040427805,124,253952,-0.0025629483,21.107626,253952
1.7774734,0.6363062858581543,140.41136494999998,0.029736329,180,224.31,1619.5284011363983,0.003005765,125,256000,-0.002230208,26.061474,256000
1.7883348,0.8238802403211594,123.11818017,0.04433594,194,205.02,1630.8866136074066,0.004460477,126,258048,-0.005660315,17.662436,258048
1.7928711,0.4589715600013733,141.06213648999997,0.02241211,146,227.71,1641.4004244804382,0.0026475592,127,260096,-0.0010050796,27.011602,260096
1.7941811,0.3985198736190796,159.15512155,0.053222656,147,251.04,1655.3535277843475,0.00445277,128,262144,-0.0045035845,32.600723,262144
1.8152368,0.3877960443496704,175.17130436,0.07260742,292,269.84,1669.2151501178741,0.005980252,129,264192,-0.0040509524,19.930883,264192
1.832312,0.7947204560041428,175.19908006999998,0.053759765,142,270.28,1676.2072999477386,0.0043818774,130,266240,-0.004819099,20.905909,266240
1.8329437,0.7539228647947311,192.02197418,0.025048828,124,290.52,1690.5355017185211,0.0025296393,131,268288,-0.0019232752,26.296833,268288
1.8334465,0.5586715638637543,195.80194081,0.030566406,114,299.2,1706.9440801143646,0.0031871337,132,270336,-0.0039959503,33.96682,270336
1.8351612,0.7163607776165009,196.38212252000002,0.0375,172,300.77,1724.7839634418488,0.0035237442,133,272384,-0.0030215401,17.928976,272384
1.8439295,0.5798889696598053,213.29370595999998,0.043359376,219,321.36,1736.633098602295,0.0038356655,134,274432,-0.0035945221,22.17401,274432
1.8548008,0.330236554145813,229.89418321999997,0.048193358,272,340.74,1745.946110010147,0.0042703287,135,276480,-0.00028928832,18.785015,276480
1.8640829,0.28300410509109497,246.04008188999995,0.05332031,411,359.97,1753.4600586891174,0.0050766305,136,278528,-0.0021101378,19.094587,278528
1.865702,0.40880393981933594,262.43139217,0.05053711,299,379.37,1758.434982061386,0.0046169786,137,280576,-0.00372027,18.648203,280576
1.8702347,0.19935858249664307,278.87113897,0.04194336,308,398.62,1765.2678818702698,0.0035472128,138,282624,-0.0019965582,18.812284,282624
1.8825235,0.19185549020767212,295.35729346000005,0.038183592,378,417.58,1771.9148962497711,0.0034673787,139,284672,-0.0016881649,19.155132,284672
1.9016472,0.15291553735733032,312.15147543,0.061914064,306,436.89,1777.3297135829926,0.005163166,140,286720,-0.002894607,19.197287,286720
1.9010572,0.20934659242630005,329.11062839,0.046289064,257,456.13,1784.0050694942474,0.0042048553,141,288768,-0.0021490545,20.08291,288768
1.8941978,0.15510684251785278,346.29616952,0.05288086,308,475.42,1791.9504113197327,0.004767891,142,290816,-0.0020967112,19.471563,290816
1.8892219,0.15501058101654053,363.5522338299999,0.045703124,277,494.78,1798.5837330818176,0.0039060614,143,292864,-0.0042189313,18.798042,292864
1.9010719,0.16385650634765625,380.4996578899999,0.036230467,387,514.12,1805.9667754173279,0.0034921076,144,294912,-0.0018535865,17.695246,294912
1.9059687,0.15444564819335938,397.2063558599999,0.042578124,273,533.49,1811.2470488548279,0.0038796389,145,296960,-0.0014351925,18.562778,296960
1.9041729,0.21899867057800293,414.30145316999995,0.039941408,293,552.86,1818.7397227287292,0.003501562,146,299008,-0.0020293887,17.574062,299008
1.9068451,0.18071067333221436,430.95574025999997,0.04321289,422,572.23,1825.7124118804932,0.0035402186,147,301056,0.0001347123,18.839142,301056
1.9183409,0.19841647148132324,448.27401569,0.037841797,301,591.69,1830.5600106716156,0.003598174,148,303104,-0.002249092,19.065235,303104
1.9417369,0.1713375449180603,465.2879230000001,0.031396486,339,610.44,1837.3464405536652,0.0029771645,149,305152,-0.0025231214,18.15425,305152
1.9667593,0.28364497423171997,482.25620696000004,0.05654297,350,629.73,1843.3885242938995,0.004633948,150,307200,-0.0055681127,18.271233,307200
1.9877859,0.23049306869506836,499.19516892000007,0.020947266,362,648.89,1849.22722530365,0.0021314516,151,309248,-0.0010800187,18.628883,309248
1.9959902,0.18367242813110352,516.5386087,0.041552734,345,668.23,1854.8854758739471,0.0037952713,152,311296,-0.00050340337,18.3084,311296
1.9999707,0.15247058868408203,533.83111266,0.06357422,336,687.64,1860.813509464264,0.004990486,153,313344,-0.0024114517,17.548716,313344
2.0068965,0.2544603943824768,551.04937866,0.05131836,274,706.9,1866.8926222324371,0.0045774523,154,315392,-0.0038137175,16.938046,315392
2.002565,0.14906376600265503,567.89429731,0.033251952,254,725.69,1874.3463530540466,0.0033147063,155,317440,-0.0011418962,17.181536,317440
2.003866,0.12108677625656128,584.6684011899999,0.045166016,312,744.42,1882.3984088897705,0.003874007,156,319488,-0.0022945502,16.468765,319488
2.0077996,0.1130412220954895,601.75646521,0.040966798,277,763.79,1888.9575352668762,0.0036866474,157,321536,-0.0023490682,17.320042,321536
2.011268,0.1430385708808899,619.1648529299999,0.049462892,399,783.18,1896.3486733436584,0.004314691,158,323584,-0.004995656,17.266273,323584
2.0290852,0.18693816661834717,636.31642466,0.047607422,247,801.93,1901.4815969467163,0.004245589,159,325632,-0.0033071009,16.400225,325632
2.0431046,0.2620367407798767,652.8995329500001,0.05126953,369,820.68,1909.7660658359528,0.004271671,160,327680,-0.001591452,17.84872,327680
2.0439987,0.14253836870193481,670.19091474,0.033837892,414,839.45,1915.314171552658,0.0032863677,161,329728,-0.0037040927,18.599876,329728
2.0497355,0.13642966747283936,687.7247493499999,0.0340332,271,858.1,1920.2540357112885,0.0034052525,162,331776,-0.0016197041,18.59161,331776
2.0636237,0.1834632158279419,705.63896536,0.0234375,269,877.39,1927.8060224056244,0.0023842028,163,333824,-0.00085428933,18.776789,333824
2.0687957,0.22872895002365112,723.46717469,0.031396486,317,896.71,1935.3947563171387,0.0032003983,164,335872,-0.0037235622,18.277388,335872
2.0883837,0.14865773916244507,741.00083031,0.024121094,282,915.68,1941.8367903232574,0.0023172302,165,337920,-0.0013972092,18.948214,337920
2.1066833,0.2272939682006836,759.07079752,0.041796874,308,935.05,1949.08917593956,0.0036353297,166,339968,-0.0035285533,18.614822,339968
2.103722,0.33753645420074463,776.6197196400001,0.017089844,320,953.83,1955.73704123497,0.002382186,167,342016,-0.0028030125,18.059414,342016
2.1034482,0.36893367767333984,794.1102930000001,0.041503906,334,973.18,1962.1290595531464,0.0040470352,168,344064,-0.005272744,17.776562,344064
2.1165717,0.27612727880477905,811.6352451500002,0.032080077,283,992.51,1968.257090806961,0.0033029523,169,346112,-0.0028706135,18.683226,346112
2.1371484,0.3241628408432007,829.6709688800003,0.03725586,342,1011.93,1975.4727356433868,0.003686161,170,348160,-0.0043222937,17.82585,348160
2.1566968,0.1649714708328247,847.0587203700002,0.01875,278,1030.59,1981.4600400924683,0.0021993343,171,350208,-0.002410994,19.109264,350208
2.1640735,0.07235360145568848,869.0475550299999,0.012011719,162,1055.83,1988.8181846141815,0.0016132822,172,352256,-0.0021300602,53.392895,352256
2.1781282,0.3655373454093933,837.54966677,0.044677734,267,1019.9,2001.456463098526,0.0038372215,173,354304,-0.004800693,23.619793,354304
2.1905446,0.18192321062088013,842.5960127899999,0.028515626,155,1025.76,2009.121383190155,0.0029245855,174,356352,-0.0022869187,47.81118,356352
2.2064064,0.40594208240509033,860.6757513099999,0.06875,286,1045.23,2022.3002135753632,0.0060687056,175,358400,-0.0047917487,17.993387,358400
2.2195826,0.3712111711502075,862.64144196,0.010253906,190,1045.67,2029.4507949352264,0.0013018477,176,360448,-0.0011253497,32.069084,360448
2.2253165,0.2848377823829651,829.8961374700001,0.012597656,108,1004.86,2040.1972250938416,0.0017395036,177,362496,-0.0018271807,68.53947,362496
2.2295146,0.4377892017364502,815.70284006,0.023486327,91,988.77,2059.1308488845825,0.002333846,178,364544,-0.0019023765,47.034405,364544
2.2323909,0.4856342077255249,818.31784493,0.014550781,138,990.43,2081.510584831238,0.0018120182,179,366592,-0.002849447,39.98812,366592
2.2375302,-0.023210763931274414,821.43769603,0.019921875,115,993.94,2096.3166966438293,0.0023406665,180,368640,-0.003637834,71.05597,368640
2.248956,0.06236392259597778,809.01299118,0.029492188,113,979.0,2114.03254199028,0.0028402114,181,370688,-0.0019692394,57.339912,370688
2.2614868,0.046768784523010254,680.6284168300001,0.014697266,104,831.95,2132.1516087055206,0.0018881906,182,372736,-0.0007911902,56.71269,372736
2.2682536,0.1766718626022339,498.48160096999993,0.014404297,99,628.17,2151.78276515007,0.0016873492,183,374784,-0.0026201617,60.29406,374784
2.2828631,0.11802887916564941,366.78107862999997,0.041064452,129,483.27,2172.323287010193,0.0033280582,184,376832,-0.003088298,47.73441,376832
2.2965677,0.015041351318359375,195.77032814999998,0.01586914,100,300.62,2188.151252746582,0.0017906313,185,378880,-0.0011418369,63.052685,378880
2.31263,0.680355578660965,178.57743686999999,0.058398437,385,282.39,2208.4539461135864,0.004983616,186,380928,-0.005542928,15.61421,380928
2.3268886,0.24966150522232056,177.98898269,0.019677734,107,281.28,2213.769369840622,0.0024056146,187,382976,-0.0011139534,47.069405,382976
2.3318636,0.09529149532318115,143.3665739,0.016064454,94,244.8,2232.7638845443726,0.0020033852,188,385024,-0.003593566,49.469738,385024
2.3339818,0.22013145685195923,146.34494119,0.012109375,106,249.86,2254.455637216568,0.0016014704,189,387072,-0.0016702017,48.240852,387072
2.3352704,0.1952311396598816,150.84580084,0.034863282,115,256.92,2273.6882905960083,0.0031129334,190,389120,-0.003449504,45.86422,389120
2.341114,0.24726319313049316,135.7464608,0.033447266,120,241.51,2291.3463950157166,0.003134643,191,391168,-0.0049193143,41.735554,391168
2.350696,0.39405447244644165,152.59061192999997,0.041992188,308,259.52,2308.3573060035706,0.0039088144,192,393216,-0.0028861682,16.882318,393216
2.3505886,0.09673541784286499,155.26904534999997,0.010253906,99,263.4,2314.996647834778,0.0014856895,193,395264,-0.0014006445,49.922653,395264
2.3400085,0.26409846544265747,154.53483452999998,0.015820313,95,262.06,2335.6294083595276,0.0019464316,194,397312,-0.0018759856,49.319572,397312
