n_updates,policy_loss,fps,ep_len_mean,approxkl,policy_entropy,explained_variance,value_loss,time_elapsed,clipfrac,total_timesteps,serial_timesteps,ep_reward_mean
180,-0.0022825268,298,1838.23,0.005542377,2.613048,0.07492297887802124,18.55766,1194.3066716194153,0.070166014,368640,368640,1738.4036094999997
181,-0.003353383,299,1843.56,0.0038427028,2.6102493,0.06389516592025757,18.471123,1201.1799001693726,0.04638672,370688,370688,1743.3360164999997
182,3.4061348e-05,299,1844.8,0.002839888,2.6182752,0.10611695051193237,18.170168,1208.0230848789215,0.031689454,372736,372736,1744.8632547799998
183,0.00014754648,294,1854.74,0.0012398355,2.6230884,0.004839658737182617,19.29638,1214.8681964874268,0.005761719,374784,374784,1754.45667203
184,-0.0021962337,301,1854.74,0.0030742025,2.624744,0.06656849384307861,18.47569,1221.8142442703247,0.03237305,376832,376832,1754.54589944
185,-0.0048678173,296,1859.71,0.0039685247,2.625184,0.19429945945739746,15.87105,1228.613659620285,0.044921875,378880,378880,1759.2821552700002
186,-0.004843941,295,1866.93,0.004611464,2.6441886,0.05155247449874878,18.237453,1235.5187513828278,0.054003906,380928,380928,1766.4227939700004
187,-0.0013890186,297,1872.37,0.0034006734,2.6767259,0.09522813558578491,18.068455,1242.4439737796783,0.037890624,382976,382976,1771.67141282
188,-2.2486924e-05,293,1875.11,0.0012195336,2.687104,0.0027565956115722656,19.264322,1249.3363616466522,0.008447265,385024,385024,1774.7242024500001
189,-0.0017602335,297,1875.11,0.00304556,2.6927104,0.033996403217315674,18.878841,1256.314447402954,0.032324217,387072,387072,1774.8200893100002
190,-0.0011189621,295,1884.45,0.0024077331,2.687069,0.11694055795669556,18.53542,1263.192407131195,0.019189453,389120,389120,1783.9194254600004
191,-0.002269904,298,1884.45,0.0026121815,2.6947064,0.11472946405410767,17.753517,1270.1139302253723,0.025146484,391168,391168,1783.6030013700001
192,-4.070455e-05,295,1891.99,0.001610487,2.7123582,0.15512382984161377,17.45699,1276.9868507385254,0.01328125,393216,393216,1790.6802336100002
193,-0.0024583996,296,1895.14,0.004399727,2.7234907,0.12851113080978394,17.775667,1283.919764995575,0.04926758,395264,395264,1793.6665111300003
