clipfrac,time_elapsed,policy_entropy,value_loss,serial_timesteps,total_timesteps,n_updates,ep_len_mean,fps,approxkl,explained_variance,policy_loss,ep_reward_mean
0.038476564,679.6166958808899,0.7325491,3.2475467,262144,262144,128,186.53,395,0.0037002838,0.9829965438693762,-2.9576802e-05,71.65
0.03251953,684.7939529418945,0.727227,0.80673474,264192,264192,129,187.45,380,0.0030136958,0.9931947099976242,0.0006817912,72.35
0.035253905,690.1782817840576,0.7183309,1.5205941,266240,266240,130,186.35,398,0.003429429,0.9893174031749368,0.00035445084,71.29
0.04951172,695.3236262798309,0.7084193,0.9527868,268288,268288,131,185.06,397,0.004304289,0.9909685794264078,-0.0015167249,69.81
0.041796874,700.4729924201965,0.69865835,1.4349183,270336,270336,132,185.31,397,0.0038133287,0.9911054102703929,-4.7293735e-05,69.7
0.030566406,705.6228461265564,0.69012105,2.0017037,272384,272384,133,186.2,408,0.0031288571,0.988657008856535,9.766172e-05,70.05
0.03779297,710.6359932422638,0.68581355,1.7017332,274432,274432,134,183.1,367,0.003435947,0.9890542486682534,-0.0006811904,66.46
0.035986327,716.2131667137146,0.6890217,1.6077225,276480,276480,135,182.09,342,0.0033230805,0.9894806668162346,0.00053817715,65.13
0.054785155,722.1954963207245,0.67959857,1.979311,278528,278528,136,180.31,391,0.004771413,0.988041621632874,-0.00051409716,63.15
0.044384766,727.433679819107,0.6707042,0.36972338,280576,280576,137,178.0,368,0.003930404,0.9963623317889869,0.0012634064,60.57
0.046191406,732.9952816963196,0.6647524,1.111491,282624,282624,138,177.38,361,0.0041153072,0.9912513066083193,-0.0013553922,59.78
0.04526367,738.6641962528229,0.6563935,1.5611548,284672,284672,139,178.28,412,0.0041080243,0.989916168153286,-0.0010611993,59.95
0.054052733,743.6354281902313,0.64160717,0.83138674,286720,286720,140,180.49,386,0.0045503443,0.99391924822703,-0.0015158856,61.75
0.076367185,748.9399390220642,0.6289348,0.57952034,288768,288768,141,178.31,399,0.0066214004,0.9953006845898926,-0.00054446637,59.33
0.084228516,754.0728125572205,0.60998863,0.29645962,290816,290816,142,178.5,410,0.0069548176,0.9970561363734305,-0.004811964,59.81
0.045996092,759.0580184459686,0.5977912,1.4917551,292864,292864,143,177.18,427,0.004129144,0.9918421981856227,0.00072902936,58.9
0.046582032,763.8482398986816,0.59257346,1.1384398,294912,294912,144,178.57,445,0.0041483985,0.9935613484121859,0.00024527838,60.85
0.067871094,768.4488799571991,0.580451,0.49822634,296960,296960,145,177.51,369,0.00551557,0.9956981637515128,-0.0030359956,60.23
0.049462892,773.9984319210052,0.5538329,0.29846853,299008,299008,146,177.08,389,0.004792661,0.9975154588464648,-0.00047513322,60.37
0.051757812,779.2541444301605,0.5320069,2.3752863,301056,301056,147,176.3,362,0.0046599335,0.9895268008112907,-0.0012328197,60.17
0.08618164,784.908894777298,0.52531606,1.0296564,303104,303104,148,177.2,410,0.007077483,0.9948335643857718,-0.0020398023,62.11
0.04536133,789.9000754356384,0.5253979,1.0702807,305152,305152,149,179.8,384,0.0041202577,0.9950371636077762,-0.0006741001,65.66
0.059375,795.2246041297913,0.51740414,1.4775279,307200,307200,150,181.46,423,0.0049276976,0.9928691647946835,0.0011073134,67.75
