fps,time_elapsed,ep_len_mean,value_loss,approxkl,clipfrac,explained_variance,policy_entropy,n_updates,total_timesteps,serial_timesteps,policy_loss,ep_reward_mean
284,3062.2512855529785,1359.43,8.866491,0.0070879394,0.087402344,0.7873412668704987,2.3385167,438,897024,897024,-0.0035460014,891.8260093200001
296,3069.445651292801,1359.43,9.902342,0.0061250175,0.075488284,0.718955934047699,2.3487692,439,899072,899072,-0.0021083853,892.02167552
300,3076.35133600235,1376.22,9.178074,0.007438384,0.0959961,0.7729490101337433,2.3574016,440,901120,901120,-0.0034971305,903.99116024
288,3083.1718244552612,1392.92,12.42734,0.006989737,0.08095703,0.6684054136276245,2.3675532,441,903168,903168,-0.0024795677,915.46995097
296,3090.2658965587616,1405.6,11.654038,0.0039867824,0.04033203,0.7488117814064026,2.369243,442,905216,905216,0.0006891486,925.05735153
293,3097.177409887314,1422.2,8.770254,0.006395618,0.07900391,0.7734601944684982,2.3546276,443,907264,907264,-3.0607778e-05,937.1098114499999
292,3104.1506991386414,1438.99,10.088653,0.0042431643,0.051367186,0.7821834236383438,2.3558366,444,909312,909312,-0.0044151084,949.1265252000001
300,3111.156185865402,1454.6,11.739491,0.00542863,0.062060546,0.6728812158107758,2.3573666,445,911360,911360,-0.003990763,959.3909512400002
306,3117.9664783477783,1470.07,9.391992,0.006078149,0.07036133,0.7867280691862106,2.3671348,446,913408,913408,-0.0042603733,970.71936581
293,3124.6601123809814,1486.82,13.36597,0.005171346,0.059326172,0.681294858455658,2.3886762,447,915456,915456,-0.002070711,982.86555647
280,3131.6466677188873,1486.82,9.286554,0.007140779,0.0859375,0.7953750938177109,2.3891177,448,917504,917504,-0.0040606344,983.0622502800001
269,3138.9443860054016,1476.26,7.1449556,0.009025904,0.06870117,0.7836185693740845,2.3945537,449,919552,919552,-0.0046111983,975.77914308
280,3146.5482125282288,1492.19,20.603409,0.008131063,0.08325195,0.7175822854042053,2.4037895,450,921600,921600,-0.007263437,985.72811351
266,3153.8511242866516,1509.11,10.801628,0.006187672,0.07382812,0.6963406801223755,2.407767,451,923648,923648,-0.0012850685,996.77881262
287,3161.5479295253754,1523.62,10.317035,0.0069436766,0.0831543,0.6571318209171295,2.3941572,452,925696,925696,0.00046963274,1006.8301505000002
287,3168.727596759796,1530.44,18.513313,0.0054649943,0.058496095,0.6834214627742767,2.3922744,453,927744,927744,-0.00078742264,1011.14435761
300,3175.8534767627716,1538.82,12.592093,0.005781076,0.07192383,0.6382818222045898,2.4108834,454,929792,929792,-0.0025752774,1016.51265457
