serial_timesteps,explained_variance,total_timesteps,approxkl,policy_entropy,clipfrac,fps,policy_loss,n_updates,time_elapsed,value_loss,ep_len_mean,ep_reward_mean
116736,0.7256899476051331,116736,0.0024924916,1.3766488,0.018554688,205,-0.0017281756,57,568.8082683086395,1.6094345,3018.2894736842104,940.8979080789474
118784,0.7240077257156372,118784,0.0023140865,1.3740889,0.021533202,187,-0.0030691647,58,578.7563092708588,2.7859101,2993.5128205128203,933.8816956923076
120832,0.18396395444869995,120832,0.004411637,1.3753269,0.053222656,170,-0.004636089,59,589.6615700721741,2.4726484,2972.6,930.4948828
122880,0.6892480254173279,122880,0.008163594,1.367126,0.10849609,238,-0.008984169,60,601.6682319641113,0.11779871,2972.6,930.4948828
124928,0.682277649641037,124928,0.0038403557,1.3542047,0.041894533,239,-0.0027819027,61,610.2575604915619,5.207748,2972.6,930.4948828
126976,0.861124262213707,126976,0.003200755,1.3440031,0.03652344,187,-0.0038039435,62,618.822803735733,0.78987163,3047.3658536585367,950.5963462195123
129024,0.30974632501602173,129024,0.0026749466,1.3364865,0.025683593,237,-0.0012473449,63,629.7606043815613,10.467076,3047.3658536585367,950.5963462195123
131072,0.504924088716507,131072,0.0028465616,1.3360101,0.030371094,170,-0.0047290297,64,638.395471572876,8.055723,3081.809523809524,975.413332404762
133120,0.6249317526817322,133120,0.0026571138,1.3345679,0.026660156,192,-0.0021551154,65,650.3893253803253,8.355265,3048.906976744186,969.5917514651163
135168,0.728096216917038,135168,0.004074282,1.3282443,0.04633789,171,-0.004748226,66,661.0182917118073,6.1000433,3025.4772727272725,969.0030184772728
137216,-0.031531453132629395,137216,0.0032346726,1.3207866,0.03413086,238,-0.0040238155,67,672.9547605514526,14.485187,3025.4772727272725,969.0030184772728
139264,0.5832981467247009,139264,0.0025561887,1.3204533,0.02421875,164,-0.0014936543,68,681.5285918712616,7.612361,3050.688888888889,998.7928385555557
141312,0.5623441338539124,141312,0.0027337878,1.3183317,0.02475586,178,-0.002957522,69,693.9910004138947,6.500364,3036.2391304347825,1002.3514308913044
143360,0.35788488388061523,143360,0.0033805545,1.3094417,0.033496093,238,-0.0026856184,70,705.4605786800385,8.592146,3036.2391304347825,1002.3514308913044
145408,0.22718042135238647,145408,0.0038230927,1.317708,0.044677734,238,-0.0056072897,71,714.0526344776154,9.889236,3036.2391304347825,1002.3514308913044
147456,0.7064509093761444,147456,0.0025916304,1.333924,0.028076172,186,-0.0032780566,72,722.6564688682556,4.983245,3094.191489361702,1048.928129170213
149504,0.29645872116088867,149504,0.0024460305,1.3445448,0.023486327,238,-0.0026210889,73,733.6496539115906,10.014219,3094.191489361702,1048.928129170213
151552,0.7755096554756165,151552,0.0037515336,1.3447196,0.037158202,190,-0.0024763052,74,742.2257559299469,3.4509702,3114.75,1073.4042765416668
153600,0.1772274374961853,153600,0.00279648,1.3424052,0.025048828,238,-0.0012027691,75,752.9973270893097,8.888365,3114.75,1073.4042765416668
155648,0.22849202156066895,155648,0.0030560582,1.3454255,0.02866211,238,-0.0031716004,76,761.5713973045349,7.838801,3114.75,1073.4042765416668
157696,0.34512853622436523,157696,0.0030704192,1.3434874,0.027441407,238,-0.002637664,77,770.1575288772583,6.1985364,3114.75,1073.4042765416668
159744,0.28670960664749146,159744,0.0035035543,1.3480395,0.040771484,239,-0.0037821033,78,778.7297194004059,7.5487647,3114.75,1073.4042765416668
161792,0.8011490553617477,161792,0.0019424008,1.3611484,0.014404297,172,-0.0017040077,79,787.2946767807007,3.3115406,3260.1020408163267,1171.096524244898
163840,0.7320140898227692,163840,0.00444611,1.3538015,0.04736328,186,-0.0073371604,80,799.1350071430206,4.789014,3237.22,1166.9248672
165888,0.3637796640396118,165888,0.0037752516,1.3514862,0.0421875,238,-0.004070067,81,810.1247498989105,8.357007,3237.22,1166.9248672
167936,0.13201111555099487,167936,0.003418859,1.3536756,0.036621094,238,-0.0017817991,82,818.7028064727783,7.883191,3237.22,1166.9248672
169984,0.4446936249732971,169984,0.004154672,1.3592069,0.049707033,239,-0.003369477,83,827.2898514270782,5.7726965,3237.22,1166.9248672
172032,0.693930059671402,172032,0.0028595203,1.3640095,0.02602539,182,-0.003447334,84,835.8583650588989,4.695609,3343.6470588235293,1239.9418734705885
174080,0.7346131205558777,174080,0.0035810038,1.3615005,0.034863282,171,-0.0026548218,85,847.0920794010162,4.932657,3309.173076923077,1227.5686448269232
176128,0.7609178572893143,176128,0.0026115444,1.3641989,0.027294923,174,-0.003063235,86,859.0358421802521,5.009765,3299.867924528302,1229.4861033207549
178176,0.7783896178007126,178176,0.0044023716,1.3652412,0.0519043,174,-0.0062846234,87,870.7429587841034,7.3936815,3290.296296296296,1233.2153464814817
180224,0.8143725246191025,180224,0.002523653,1.3727119,0.023095703,152,-0.0015362233,88,882.4743552207947,3.7442098,3204.3214285714284,1200.2682268214287
182272,0.8055125772953033,182272,0.002764106,1.3747104,0.023730468,148,-0.0016103251,89,895.9396483898163,4.596606,3132.396551724138,1175.1328899310347
184320,0.8142032772302628,184320,0.0032807856,1.3693719,0.032470703,152,-0.004767605,90,909.750804901123,5.561026,3069.9,1155.4616699000003
186368,0.8222867995500565,186368,0.004017238,1.3717613,0.044433594,145,-0.0020112041,91,923.2107381820679,5.482314,2995.0,1127.9026492903229
188416,0.6581800878047943,188416,0.0036458285,1.381263,0.04145508,119,-0.0032781977,92,937.3201336860657,9.962172,2895.476923076923,1091.3539603076922
190464,0.7864425927400589,190464,0.0028835204,1.3956661,0.03173828,150,-0.0020918776,93,954.5110285282135,5.6964846,2827.955223880597,1065.4071711492536
