ep_len_mean,n_updates,fps,value_loss,total_timesteps,time_elapsed,policy_entropy,approxkl,explained_variance,ep_reward_mean,serial_timesteps,clipfrac,policy_loss
278.55,181,102,6.288797e-07,370688,3040.6875610351562,0.7023094,0.005882176,0.31704550981521606,0.0,370688,0.07109375,-0.0024247183
278.19,182,152,5.023366e-06,372736,3060.6445569992065,0.6969503,0.0070380233,0.07207846641540527,0.0,372736,0.090185545,-0.0037142434
276.78,183,118,1.2085273e-07,374784,3074.0811381340027,0.7118596,0.0078079575,-0.26649022102355957,0.0,374784,0.08588867,-0.003326518
274.92,184,114,1.0710967e-07,376832,3091.402134656906,0.71010745,0.006907462,-0.46162092685699463,0.0,376832,0.08271484,-0.0020096393
272.59,185,104,5.376446e-07,378880,3109.2780718803406,0.6979364,0.0077536614,0.073081374168396,0.0,378880,0.09350586,-0.0029966757
270.88,186,131,5.959617e-07,380928,3128.8080270290375,0.70185214,0.009982957,0.4995651841163635,0.0,380928,0.121435545,-0.004173764
268.9,187,137,3.3026104e-06,382976,3144.3310713768005,0.70712227,0.007031519,0.6113627254962921,0.0,382976,0.085351564,-0.0040600817
267.25,188,102,1.1663034e-07,385024,3159.242109775543,0.7091601,0.006881494,0.6306493878364563,0.0,385024,0.07783203,-0.0015585942
265.44,189,124,2.7039331e-07,387072,3179.152373790741,0.71418655,0.0065250844,0.6113448739051819,0.0,387072,0.08115234,-0.002789348
263.48,190,131,1.0758869e-05,389120,3195.6292362213135,0.7285139,0.0066878675,0.47527462244033813,0.0,389120,0.080029294,-0.0051846327
261.35,191,173,2.1789765e-07,391168,3211.2272429466248,0.73505175,0.0068610027,0.46312761306762695,0.0,391168,0.088330075,0.0012011726
261.26,192,126,1.6994832e-07,393216,3223.055425643921,0.73245907,0.0063053677,0.6448312401771545,0.0,393216,0.076367185,-0.0011246634
261.13,193,116,1.912919e-07,395264,3239.231771707535,0.7213549,0.0076097148,0.6436148583889008,0.0,395264,0.08862305,-0.0034783059
