approxkl,time_elapsed,ep_len_mean,total_timesteps,policy_entropy,fps,explained_variance,policy_loss,clipfrac,ep_reward_mean,serial_timesteps,value_loss,n_updates
0.007942408,3995.644760131836,1553.12,1613824,3.5973155,374,0.7600636929273605,-0.009575384,0.10078125,1005.3717469800001,1613824,9.379728,788
0.007564932,4001.114371061325,1553.12,1615872,3.606834,413,0.5720026195049286,-0.0054715364,0.091308594,1005.2101575300002,1615872,10.29456,789
0.00386796,4006.0710957050323,1553.12,1617920,3.6207623,360,0.6181147694587708,-0.005134476,0.043164063,1005.1053369200001,1617920,11.869471,790
0.0049638553,4011.752849817276,1542.78,1619968,3.627514,405,0.839943990111351,-0.006729505,0.054589845,997.7466702,1619968,5.975034,791
0.0028911743,4016.79859995842,1552.12,1622016,3.6279998,417,0.8377287536859512,-0.005054417,0.030566406,1003.7155794099999,1622016,6.5721903,792
0.0042444384,4021.699947118759,1568.79,1624064,3.6449025,406,0.6802727282047272,-0.0018535515,0.0453125,1015.22489925,1624064,10.699981,793
0.0027629673,4026.738784313202,1568.79,1626112,3.6566787,393,0.6521023511886597,-0.0017426284,0.030810546,1014.9047284200001,1626112,11.299444,794
0.005719843,4031.9464938640594,1568.79,1628160,3.6658573,387,0.6294364929199219,-0.00051635306,0.06782226,1014.7886129499999,1628160,11.59733,795
0.0063609267,4037.233049631119,1568.79,1630208,3.6840057,350,0.6987766325473785,-0.010021934,0.070898436,1014.53196596,1630208,7.9339967,796
0.0032083236,4043.0818123817444,1568.79,1632256,3.6898994,392,0.585595041513443,-0.0036428005,0.03540039,1013.0815280800001,1632256,12.354357,797
0.0025410175,4048.3052825927734,1585.14,1634304,3.6852105,408,0.7349290251731873,-0.0018144023,0.027880859,1024.41154405,1634304,8.411055,798
0.0047662305,4053.3256628513336,1591.56,1636352,3.6897998,424,0.6710837483406067,-0.0033165817,0.058789063,1028.8415003599998,1636352,9.154073,799
0.0048319446,4058.152046918869,1591.91,1638400,3.7022052,388,0.6787434816360474,-0.0034217797,0.050048828,1028.63309154,1638400,15.091883,800
0.0039525777,4063.4259264469147,1580.26,1640448,3.7079132,413,0.50810706615448,-0.004293592,0.04501953,1019.04828953,1640448,28.313995,801
0.0026637595,4068.382914543152,1593.89,1642496,3.707383,373,0.7886545807123184,-0.0027331195,0.024951171,1028.82740455,1642496,9.28058,802
0.0046281787,4073.871166229248,1593.89,1644544,3.700894,380,0.6420993506908417,-0.005081278,0.053466797,1027.74110469,1644544,9.794128,803
0.0024265447,4079.261345386505,1593.89,1646592,3.7059562,412,0.6719633638858795,-0.0020621263,0.022558594,1027.82391796,1646592,12.617038,804
0.0031727839,4084.2255415916443,1597.1,1648640,3.719546,396,0.8653033226728439,-0.0025120336,0.038720705,1029.47746603,1648640,6.4319153,805
0.0041505354,4089.3869535923004,1597.22,1650688,3.7337728,406,0.6794365644454956,-0.0032224867,0.04472656,1028.6324158199998,1650688,17.447382,806
0.0029652163,4094.4236612319946,1614.92,1652736,3.7322152,405,0.7089728713035583,-0.00089264044,0.03237305,1040.8179876399997,1652736,8.79654,807
0.00421292,4099.472180366516,1627.19,1654784,3.71894,388,0.7239019870758057,-0.003656006,0.046679687,1048.9506477699997,1654784,8.998051,808
0.004367953,4104.748896360397,1627.19,1656832,3.7079265,389,0.596109539270401,-0.0022932312,0.049121093,1048.5808874699997,1656832,11.356948,809
0.0047434317,4110.011504650116,1627.19,1658880,3.7074192,397,0.6645169854164124,-0.0043335897,0.057861328,1048.4185975299997,1658880,10.475925,810
